name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_date_str,correct_answer
Scott,2019-01-09,Bob,2019-01-25,Matt,2019-02-22,Scott renovated the kitchen on the 9th of January. Bob renovated the kitchen on the 25th of January. Matt renovated the kitchen on the 22nd of February. The first person that renovated the kitchen was,2019-01-09,9th of January,Scott
Max,2019-02-20,Hope,2019-01-29,Andrew,2019-01-08,Max reorganized the closet on the 20th of February. Hope reorganized the closet on the 29th of January. Andrew reorganized the closet on the 8th of January. The first person that reorganized the closet was,2019-01-08,8th of January,Andrew
Charlie,2019-01-23,Hope,2019-02-11,Matt,2019-01-07,Charlie took a train on the 23rd of January. Hope took a train on the 11th of February. Matt took a train on the 7th of January. The first person that took a train was,2019-01-07,7th of January,Matt
Charlie,2019-02-16,Laura,2019-01-13,Blake,2019-02-28,Charlie washed the car on the 16th of February. Laura washed the car on the 13th of January. Blake washed the car on the 28th of February. The first person that washed the car was,2019-01-13,13th of January,Laura
Dallas,2019-02-11,Rachel,2019-01-17,Frank,2019-01-20,Dallas took a train on the 11th of February. Rachel took a train on the 17th of January. Frank took a train on the 20th of January. The first person that took a train was,2019-01-17,17th of January,Rachel
Bob,2019-01-10,Leon,2019-01-09,Mark,2019-02-03,Bob filled out the application on the 10th of January. Leon filled out the application on the 9th of January. Mark filled out the application on the 3rd of February. The first person that filled out the application was,2019-01-09,9th of January,Leon
Dallas,2019-02-11,Martin,2019-02-13,Peter,2019-02-12,Dallas bought a new phone on the 11th of February. Martin bought a new phone on the 13th of February. Peter bought a new phone on the 12th of February. The first person that bought a new phone was,2019-02-11,11th of February,Dallas
Blake,2019-02-28,Connor,2019-02-16,Alex,2019-02-01,Blake attended a funeral on the 28th of February. Connor attended a funeral on the 16th of February. Alex attended a funeral on the 1st of February. The first person that attended a funeral was,2019-02-01,1st of February,Alex
Martin,2019-01-17,Dean,2019-01-23,Walker,2019-02-14,Martin arrived in Germany on the 17th of January. Dean arrived in Germany on the 23rd of January. Walker arrived in Germany on the 14th of February. The first person that arrived in Germany was,2019-01-17,17th of January,Martin
Rachel,2019-02-22,Hunter,2019-02-15,Josh,2019-02-25,Rachel took a ferry on the 22nd of February. Hunter took a ferry on the 15th of February. Josh took a ferry on the 25th of February. The first person that took a ferry was,2019-02-15,15th of February,Hunter
Martin,2019-02-13,Grant,2019-01-14,Maria,2019-01-25,Martin watered the plants on the 13th of February. Grant watered the plants on the 14th of January. Maria watered the plants on the 25th of January. The first person that watered the plants was,2019-01-14,14th of January,Grant
Frank,2019-02-11,Charlie,2019-01-07,Max,2019-01-18,Frank watched a movie on the 11th of February. Charlie watched a movie on the 7th of January. Max watched a movie on the 18th of January. The first person that watched a movie was,2019-01-07,7th of January,Charlie
Matt,2019-02-22,Hunter,2019-01-16,Dean,2019-02-14,Matt left for vacation on the 22nd of February. Hunter left for vacation on the 16th of January. Dean left for vacation on the 14th of February. The first person that left for vacation was,2019-01-16,16th of January,Hunter
Steve,2019-02-13,Tyler,2019-01-25,Hunter,2019-01-16,Steve took an exam on the 13th of February. Tyler took an exam on the 25th of January. Hunter took an exam on the 16th of January. The first person that took an exam was,2019-01-16,16th of January,Hunter
Leon,2019-01-14,Ian,2019-01-27,Ryan,2019-02-04,Leon returned from vacation on the 14th of January. Ian returned from vacation on the 27th of January. Ryan returned from vacation on the 4th of February. The first person that returned from vacation was,2019-01-14,14th of January,Leon
Henry,2019-01-25,Rachel,2019-01-17,Leon,2019-02-23,Henry washed the car on the 25th of January. Rachel washed the car on the 17th of January. Leon washed the car on the 23rd of February. The first person that washed the car was,2019-01-17,17th of January,Rachel
Matt,2019-02-22,Steve,2019-02-13,Dean,2019-02-14,Matt went camping on the 22nd of February. Steve went camping on the 13th of February. Dean went camping on the 14th of February. The first person that went camping was,2019-02-13,13th of February,Steve
Leon,2019-01-09,Jason,2019-02-14,Steve,2019-01-16,Leon wrote a letter on the 9th of January. Jason wrote a letter on the 14th of February. Steve wrote a letter on the 16th of January. The first person that wrote a letter was,2019-01-09,9th of January,Leon
Jason,2019-01-23,Matt,2019-01-14,Jerry,2019-02-28,Jason got a massage on the 23rd of January. Matt got a massage on the 14th of January. Jerry got a massage on the 28th of February. The first person that got a massage was,2019-01-14,14th of January,Matt
Charlie,2019-02-16,Frank,2019-02-27,Max,2019-01-18,Charlie ironed the clothes on the 16th of February. Frank ironed the clothes on the 27th of February. Max ironed the clothes on the 18th of January. The first person that ironed the clothes was,2019-01-18,18th of January,Max
Martin,2019-01-17,Steve,2019-01-01,Bob,2019-01-23,Martin painted a portrait on the 17th of January. Steve painted a portrait on the 1st of January. Bob painted a portrait on the 23rd of January. The first person that painted a portrait was,2019-01-01,1st of January,Steve
Grant,2019-01-23,Robert,2019-01-18,Matt,2019-01-09,Grant arrived in Canada on the 23rd of January. Robert arrived in Canada on the 18th of January. Matt arrived in Canada on the 9th of January. The first person that arrived in Canada was,2019-01-09,9th of January,Matt
Bob,2019-01-24,Andrew,2019-02-11,Charlie,2019-01-23,Bob took a plane on the 24th of January. Andrew took a plane on the 11th of February. Charlie took a plane on the 23rd of January. The first person that took a plane was,2019-01-23,23rd of January,Charlie
George,2019-02-19,Jerry,2019-02-04,Bob,2019-01-24,George passed an exam on the 19th of February. Jerry passed an exam on the 4th of February. Bob passed an exam on the 24th of January. The first person that passed an exam was,2019-01-24,24th of January,Bob
Emily,2019-01-01,Bob,2019-01-25,Ryan,2019-02-04,Emily passed an exam on the 1st of January. Bob passed an exam on the 25th of January. Ryan passed an exam on the 4th of February. The first person that passed an exam was,2019-01-01,1st of January,Emily
Jack,2019-01-02,Leon,2019-02-23,Dallas,2019-02-11,Jack threw a party on the 2nd of January. Leon threw a party on the 23rd of February. Dallas threw a party on the 11th of February. The first person that threw a party was,2019-01-02,2nd of January,Jack
Leon,2019-02-23,Jerry,2019-02-22,Emily,2019-02-27,Leon took a boat on the 23rd of February. Jerry took a boat on the 22nd of February. Emily took a boat on the 27th of February. The first person that took a boat was,2019-02-22,22nd of February,Jerry
Tyler,2019-01-25,Maria,2019-01-27,Dean,2019-01-23,Tyler attended a wedding on the 25th of January. Maria attended a wedding on the 27th of January. Dean attended a wedding on the 23rd of January. The first person that attended a wedding was,2019-01-23,23rd of January,Dean
Bob,2019-01-23,Mark,2019-02-03,Marco,2019-01-27,Bob got a manicure on the 23rd of January. Mark got a manicure on the 3rd of February. Marco got a manicure on the 27th of January. The first person that got a manicure was,2019-01-23,23rd of January,Bob
Martin,2019-01-17,George,2019-01-23,Alex,2019-01-30,Martin visited a new country on the 17th of January. George visited a new country on the 23rd of January. Alex visited a new country on the 30th of January. The first person that visited a new country was,2019-01-17,17th of January,Martin
Mark,2019-02-13,Rachel,2019-01-17,Matt,2019-01-14,Mark went to the museum on the 13th of February. Rachel went to the museum on the 17th of January. Matt went to the museum on the 14th of January. The first person that went to the museum was,2019-01-14,14th of January,Matt
Frank,2019-02-11,Brandon,2019-02-23,Bob,2019-01-25,Frank washed the dog on the 11th of February. Brandon washed the dog on the 23rd of February. Bob washed the dog on the 25th of January. The first person that washed the dog was,2019-01-25,25th of January,Bob
Steve,2019-02-21,Frank,2019-01-20,Walker,2019-02-14,Steve donated blood on the 21st of February. Frank donated blood on the 20th of January. Walker donated blood on the 14th of February. The first person that donated blood was,2019-01-20,20th of January,Frank
Marco,2019-01-10,Dean,2019-01-23,Mark,2019-02-13,Marco sent a postcard on the 10th of January. Dean sent a postcard on the 23rd of January. Mark sent a postcard on the 13th of February. The first person that sent a postcard was,2019-01-10,10th of January,Marco
Hope,2019-01-29,Charlie,2019-01-07,Leon,2019-01-09,Hope won a prize on the 29th of January. Charlie won a prize on the 7th of January. Leon won a prize on the 9th of January. The first person that won a prize was,2019-01-07,7th of January,Charlie
Alice,2019-01-16,Jack,2019-01-19,Andrew,2019-01-01,Alice called a friend on the 16th of January. Jack called a friend on the 19th of January. Andrew called a friend on the 1st of January. The first person that called a friend was,2019-01-01,1st of January,Andrew
Frank,2019-02-11,Steve,2019-01-10,Peter,2019-01-27,Frank watched TV on the 11th of February. Steve watched TV on the 10th of January. Peter watched TV on the 27th of January. The first person that watched TV was,2019-01-10,10th of January,Steve
Peter,2019-01-27,Fred,2019-01-09,Alex,2019-01-19,Peter cooked cheesecake on the 27th of January. Fred cooked cheesecake on the 9th of January. Alex cooked cheesecake on the 19th of January. The first person that cooked cheesecake was,2019-01-09,9th of January,Fred
Marco,2019-01-27,Richard,2019-02-24,Bob,2019-01-10,Marco sent a postcard on the 27th of January. Richard sent a postcard on the 24th of February. Bob sent a postcard on the 10th of January. The first person that sent a postcard was,2019-01-10,10th of January,Bob
Rachel,2019-02-22,Steve,2019-01-10,Frank,2019-02-27,Rachel planted a tree on the 22nd of February. Steve planted a tree on the 10th of January. Frank planted a tree on the 27th of February. The first person that planted a tree was,2019-01-10,10th of January,Steve
Bob,2019-01-25,Dallas,2019-02-11,Jerry,2019-01-10,Bob had a barbecue on the 25th of January. Dallas had a barbecue on the 11th of February. Jerry had a barbecue on the 10th of January. The first person that had a barbecue was,2019-01-10,10th of January,Jerry
Leon,2019-01-14,Jack,2019-01-16,William,2019-02-08,Leon sent a package on the 14th of January. Jack sent a package on the 16th of January. William sent a package on the 8th of February. The first person that sent a package was,2019-01-14,14th of January,Leon
George,2019-01-23,Rachel,2019-01-09,Hunter,2019-02-15,George won a prize on the 23rd of January. Rachel won a prize on the 9th of January. Hunter won a prize on the 15th of February. The first person that won a prize was,2019-01-09,9th of January,Rachel
Hope,2019-01-29,Bob,2019-01-10,John,2019-01-07,Hope sold their car on the 29th of January. Bob sold their car on the 10th of January. John sold their car on the 7th of January. The first person that sold their car was,2019-01-07,7th of January,John
Charlie,2019-01-23,Dean,2019-01-02,Martin,2019-01-17,Charlie arrived in Italy on the 23rd of January. Dean arrived in Italy on the 2nd of January. Martin arrived in Italy on the 17th of January. The first person that arrived in Italy was,2019-01-02,2nd of January,Dean
Leon,2019-01-14,Richard,2019-01-12,Jerry,2019-02-15,Leon won the lottery on the 14th of January. Richard won the lottery on the 12th of January. Jerry won the lottery on the 15th of February. The first person that won the lottery was,2019-01-12,12th of January,Richard
Bob,2019-02-19,Max,2019-01-18,Jack,2019-01-02,Bob got a haircut on the 19th of February. Max got a haircut on the 18th of January. Jack got a haircut on the 2nd of January. The first person that got a haircut was,2019-01-02,2nd of January,Jack
Emily,2019-01-01,Hope,2019-02-11,Kevin,2019-01-08,Emily refinanced the mortgage on the 1st of January. Hope refinanced the mortgage on the 11th of February. Kevin refinanced the mortgage on the 8th of January. The first person that refinanced the mortgage was,2019-01-01,1st of January,Emily
Dean,2019-02-14,Alex,2019-01-30,Frank,2019-01-20,Dean attended a graduation on the 14th of February. Alex attended a graduation on the 30th of January. Frank attended a graduation on the 20th of January. The first person that attended a graduation was,2019-01-20,20th of January,Frank
Richard,2019-02-24,Rachel,2019-01-09,Matt,2019-01-14,Richard purchased a new laptop on the 24th of February. Rachel purchased a new laptop on the 9th of January. Matt purchased a new laptop on the 14th of January. The first person that purchased a new laptop was,2019-01-09,9th of January,Rachel
Dean,2019-01-23,Matt,2019-01-09,John,2019-02-09,Dean took a train on the 23rd of January. Matt took a train on the 9th of January. John took a train on the 9th of February. The first person that took a train was,2019-01-09,9th of January,Matt
Walker,2019-02-02,Jason,2019-01-23,Henry,2019-01-24,Walker won a prize on the 2nd of February. Jason won a prize on the 23rd of January. Henry won a prize on the 24th of January. The first person that won a prize was,2019-01-23,23rd of January,Jason
Matt,2019-01-14,Aaron,2019-01-10,Hope,2019-02-10,Matt watered the plants on the 14th of January. Aaron watered the plants on the 10th of January. Hope watered the plants on the 10th of February. The first person that watered the plants was,2019-01-10,10th of January,Aaron
Frank,2019-01-20,Peter,2019-01-13,George,2019-01-23,Frank cleaned the attic on the 20th of January. Peter cleaned the attic on the 13th of January. George cleaned the attic on the 23rd of January. The first person that cleaned the attic was,2019-01-13,13th of January,Peter
Jack,2019-01-16,Richard,2019-01-12,Dallas,2019-02-11,Jack cooked cheesecake on the 16th of January. Richard cooked cheesecake on the 12th of January. Dallas cooked cheesecake on the 11th of February. The first person that cooked cheesecake was,2019-01-12,12th of January,Richard
Jerry,2019-01-13,Emily,2019-02-27,Matt,2019-02-22,Jerry passed an exam on the 13th of January. Emily passed an exam on the 27th of February. Matt passed an exam on the 22nd of February. The first person that passed an exam was,2019-01-13,13th of January,Jerry
Frank,2019-02-27,Jason,2019-01-11,Charlie,2019-01-07,Frank baked a cake on the 27th of February. Jason baked a cake on the 11th of January. Charlie baked a cake on the 7th of January. The first person that baked a cake was,2019-01-07,7th of January,Charlie
Mark,2019-02-03,Hope,2019-01-29,Grant,2019-01-10,Mark received a promotion on the 3rd of February. Hope received a promotion on the 29th of January. Grant received a promotion on the 10th of January. The first person that received a promotion was,2019-01-10,10th of January,Grant
Grant,2019-01-14,William,2019-02-08,Ryan,2019-02-02,Grant cleaned the shed on the 14th of January. William cleaned the shed on the 8th of February. Ryan cleaned the shed on the 2nd of February. The first person that cleaned the shed was,2019-01-14,14th of January,Grant
Emily,2019-01-01,Henry,2019-01-25,Kevin,2019-01-04,Emily went to a festival on the 1st of January. Henry went to a festival on the 25th of January. Kevin went to a festival on the 4th of January. The first person that went to a festival was,2019-01-01,1st of January,Emily
Dean,2019-01-02,Brandon,2019-02-18,Matt,2019-01-07,Dean renovated the bathroom on the 2nd of January. Brandon renovated the bathroom on the 18th of February. Matt renovated the bathroom on the 7th of January. The first person that renovated the bathroom was,2019-01-02,2nd of January,Dean
Max,2019-01-26,Grant,2019-01-23,Ryan,2019-01-31,Max donated clothes on the 26th of January. Grant donated clothes on the 23rd of January. Ryan donated clothes on the 31st of January. The first person that donated clothes was,2019-01-23,23rd of January,Grant
April,2019-02-07,Frank,2019-01-23,Emily,2019-02-27,April visited their family on the 7th of February. Frank visited their family on the 23rd of January. Emily visited their family on the 27th of February. The first person that visited their family was,2019-01-23,23rd of January,Frank
Joy,2019-02-25,Jason,2019-01-23,Andrew,2019-01-01,Joy donated toys on the 25th of February. Jason donated toys on the 23rd of January. Andrew donated toys on the 1st of January. The first person that donated toys was,2019-01-01,1st of January,Andrew
Leon,2019-01-09,Steve,2019-01-10,Maria,2019-01-27,Leon won a contest on the 9th of January. Steve won a contest on the 10th of January. Maria won a contest on the 27th of January. The first person that won a contest was,2019-01-09,9th of January,Leon
Jason,2019-01-11,Charlie,2019-01-23,Hunter,2019-01-10,Jason visited their family on the 11th of January. Charlie visited their family on the 23rd of January. Hunter visited their family on the 10th of January. The first person that visited their family was,2019-01-10,10th of January,Hunter
Bob,2019-01-24,Grant,2019-01-14,Jason,2019-01-11,Bob went to the museum on the 24th of January. Grant went to the museum on the 14th of January. Jason went to the museum on the 11th of January. The first person that went to the museum was,2019-01-11,11th of January,Jason
Richard,2019-02-24,Maria,2019-01-27,Charlie,2019-01-07,Richard left for vacation on the 24th of February. Maria left for vacation on the 27th of January. Charlie left for vacation on the 7th of January. The first person that left for vacation was,2019-01-07,7th of January,Charlie
Leon,2019-01-14,Hunter,2019-01-10,Hope,2019-01-29,Leon bought a new phone on the 14th of January. Hunter bought a new phone on the 10th of January. Hope bought a new phone on the 29th of January. The first person that bought a new phone was,2019-01-10,10th of January,Hunter
Rachel,2019-01-17,Richard,2019-02-24,Ian,2019-01-27,Rachel received a letter on the 17th of January. Richard received a letter on the 24th of February. Ian received a letter on the 27th of January. The first person that received a letter was,2019-01-17,17th of January,Rachel
Alice,2019-01-24,Hunter,2019-01-16,Steve,2019-01-10,Alice bought a new car on the 24th of January. Hunter bought a new car on the 16th of January. Steve bought a new car on the 10th of January. The first person that bought a new car was,2019-01-10,10th of January,Steve
Hope,2019-02-10,Fred,2019-01-18,Grant,2019-01-26,Hope arrived in Italy on the 10th of February. Fred arrived in Italy on the 18th of January. Grant arrived in Italy on the 26th of January. The first person that arrived in Italy was,2019-01-18,18th of January,Fred
Jason,2019-02-23,Alice,2019-01-24,Jerry,2019-02-28,Jason participated in a triathlon on the 23rd of February. Alice participated in a triathlon on the 24th of January. Jerry participated in a triathlon on the 28th of February. The first person that participated in a triathlon was,2019-01-24,24th of January,Alice
Grant,2019-01-23,Henry,2019-01-24,Josh,2019-01-21,Grant won the lottery on the 23rd of January. Henry won the lottery on the 24th of January. Josh won the lottery on the 21st of January. The first person that won the lottery was,2019-01-21,21st of January,Josh
Steve,2019-01-01,Leon,2019-01-14,Grant,2019-01-10,Steve arrived in the UK on the 1st of January. Leon arrived in the UK on the 14th of January. Grant arrived in the UK on the 10th of January. The first person that arrived in the UK was,2019-01-01,1st of January,Steve
Jack,2019-01-02,Alice,2019-01-16,Bob,2019-01-10,Jack bought a new phone on the 2nd of January. Alice bought a new phone on the 16th of January. Bob bought a new phone on the 10th of January. The first person that bought a new phone was,2019-01-02,2nd of January,Jack
John,2019-01-21,Connor,2019-01-06,Joy,2019-02-25,John refinanced the mortgage on the 21st of January. Connor refinanced the mortgage on the 6th of January. Joy refinanced the mortgage on the 25th of February. The first person that refinanced the mortgage was,2019-01-06,6th of January,Connor
Frank,2019-02-08,Walker,2019-02-14,Emily,2019-01-01,Frank received a letter on the 8th of February. Walker received a letter on the 14th of February. Emily received a letter on the 1st of January. The first person that received a letter was,2019-01-01,1st of January,Emily
Ian,2019-02-01,Max,2019-01-26,Jerry,2019-02-04,Ian got a raise on the 1st of February. Max got a raise on the 26th of January. Jerry got a raise on the 4th of February. The first person that got a raise was,2019-01-26,26th of January,Max
Luke,2019-01-10,George,2019-01-23,Grant,2019-02-03,Luke took an exam on the 10th of January. George took an exam on the 23rd of January. Grant took an exam on the 3rd of February. The first person that took an exam was,2019-01-10,10th of January,Luke
Alice,2019-01-16,George,2019-01-23,Hunter,2019-01-10,Alice took a walk in the park on the 16th of January. George took a walk in the park on the 23rd of January. Hunter took a walk in the park on the 10th of January. The first person that took a walk in the park was,2019-01-10,10th of January,Hunter
Alex,2019-01-20,Marco,2019-01-27,Charlie,2019-01-23,Alex cleaned the shed on the 20th of January. Marco cleaned the shed on the 27th of January. Charlie cleaned the shed on the 23rd of January. The first person that cleaned the shed was,2019-01-20,20th of January,Alex
Hunter,2019-02-15,Peter,2019-01-13,Mark,2019-02-13,Hunter went to a Chinese restaurant on the 15th of February. Peter went to a Chinese restaurant on the 13th of January. Mark went to a Chinese restaurant on the 13th of February. The first person that went to a Chinese restaurant was,2019-01-13,13th of January,Peter
April,2019-02-07,Frank,2019-02-18,Leon,2019-02-20,April attended a wedding on the 7th of February. Frank attended a wedding on the 18th of February. Leon attended a wedding on the 20th of February. The first person that attended a wedding was,2019-02-07,7th of February,April
Alex,2019-02-01,Henry,2019-01-24,Dallas,2019-02-03,Alex ironed the clothes on the 1st of February. Henry ironed the clothes on the 24th of January. Dallas ironed the clothes on the 3rd of February. The first person that ironed the clothes was,2019-01-24,24th of January,Henry
Bob,2019-01-10,Jerry,2019-02-24,John,2019-01-07,Bob got surgery on the 10th of January. Jerry got surgery on the 24th of February. John got surgery on the 7th of January. The first person that got surgery was,2019-01-07,7th of January,John
William,2019-02-11,Leon,2019-01-09,Dean,2019-02-14,William went to the cinema on the 11th of February. Leon went to the cinema on the 9th of January. Dean went to the cinema on the 14th of February. The first person that went to the cinema was,2019-01-09,9th of January,Leon
William,2019-02-08,Leon,2019-01-09,Grant,2019-01-26,William watched TV on the 8th of February. Leon watched TV on the 9th of January. Grant watched TV on the 26th of January. The first person that watched TV was,2019-01-09,9th of January,Leon
Mark,2019-02-22,Josh,2019-02-25,Scott,2019-01-09,Mark built a desktop computer on the 22nd of February. Josh built a desktop computer on the 25th of February. Scott built a desktop computer on the 9th of January. The first person that built a desktop computer was,2019-01-09,9th of January,Scott
Marco,2019-01-27,Jason,2019-02-14,Ian,2019-01-29,Marco repotted the plants on the 27th of January. Jason repotted the plants on the 14th of February. Ian repotted the plants on the 29th of January. The first person that repotted the plants was,2019-01-27,27th of January,Marco
Alex,2019-01-19,Frank,2019-01-23,Kevin,2019-01-04,Alex took an exam on the 19th of January. Frank took an exam on the 23rd of January. Kevin took an exam on the 4th of January. The first person that took an exam was,2019-01-04,4th of January,Kevin
Steve,2019-01-16,Rachel,2019-01-25,Alex,2019-02-01,Steve moved to a new city on the 16th of January. Rachel moved to a new city on the 25th of January. Alex moved to a new city on the 1st of February. The first person that moved to a new city was,2019-01-16,16th of January,Steve
Robert,2019-01-18,Scott,2019-02-28,Leon,2019-02-23,Robert went to the cinema on the 18th of January. Scott went to the cinema on the 28th of February. Leon went to the cinema on the 23rd of February. The first person that went to the cinema was,2019-01-18,18th of January,Robert
Jack,2019-01-16,Ian,2019-02-01,Frank,2019-02-27,Jack took a bus on the 16th of January. Ian took a bus on the 1st of February. Frank took a bus on the 27th of February. The first person that took a bus was,2019-01-16,16th of January,Jack
Leon,2019-02-23,Marco,2019-01-10,Alice,2019-01-24,Leon ironed the clothes on the 23rd of February. Marco ironed the clothes on the 10th of January. Alice ironed the clothes on the 24th of January. The first person that ironed the clothes was,2019-01-10,10th of January,Marco
Ryan,2019-01-31,Leon,2019-02-23,Jason,2019-01-23,Ryan cleaned the shed on the 31st of January. Leon cleaned the shed on the 23rd of February. Jason cleaned the shed on the 23rd of January. The first person that cleaned the shed was,2019-01-23,23rd of January,Jason
Walker,2019-02-02,Hunter,2019-01-10,Kevin,2019-01-04,Walker received a promotion on the 2nd of February. Hunter received a promotion on the 10th of January. Kevin received a promotion on the 4th of January. The first person that received a promotion was,2019-01-04,4th of January,Kevin
Alice,2019-01-16,Dean,2019-01-23,Scott,2019-01-26,Alice washed the car on the 16th of January. Dean washed the car on the 23rd of January. Scott washed the car on the 26th of January. The first person that washed the car was,2019-01-16,16th of January,Alice
Jack,2019-01-19,Matt,2019-01-14,Aaron,2019-01-10,Jack arrived in Germany on the 19th of January. Matt arrived in Germany on the 14th of January. Aaron arrived in Germany on the 10th of January. The first person that arrived in Germany was,2019-01-10,10th of January,Aaron
Luke,2019-01-10,John,2019-01-21,Kevin,2019-01-08,Luke compiled the spreadsheet on the 10th of January. John compiled the spreadsheet on the 21st of January. Kevin compiled the spreadsheet on the 8th of January. The first person that compiled the spreadsheet was,2019-01-08,8th of January,Kevin
Grant,2019-02-03,Jason,2019-01-11,Hope,2019-02-11,Grant went to the cinema on the 3rd of February. Jason went to the cinema on the 11th of January. Hope went to the cinema on the 11th of February. The first person that went to the cinema was,2019-01-11,11th of January,Jason
Scott,2019-02-28,Jerry,2019-02-22,Peter,2019-01-27,Scott visited their family on the 28th of February. Jerry visited their family on the 22nd of February. Peter visited their family on the 27th of January. The first person that visited their family was,2019-01-27,27th of January,Peter
Jason,2019-02-23,Andrew,2019-02-16,Dallas,2019-02-11,Jason won a prize on the 23rd of February. Andrew won a prize on the 16th of February. Dallas won a prize on the 11th of February. The first person that won a prize was,2019-02-11,11th of February,Dallas
Dean,2019-02-14,Hope,2019-02-10,Matt,2019-02-02,Dean participated in a triathlon on the 14th of February. Hope participated in a triathlon on the 10th of February. Matt participated in a triathlon on the 2nd of February. The first person that participated in a triathlon was,2019-02-02,2nd of February,Matt
Richard,2019-02-21,Grant,2019-01-14,Jerry,2019-02-28,Richard returned from vacation on the 21st of February. Grant returned from vacation on the 14th of January. Jerry returned from vacation on the 28th of February. The first person that returned from vacation was,2019-01-14,14th of January,Grant
Frank,2019-02-11,Ryan,2019-02-04,Dean,2019-01-02,Frank got a massage on the 11th of February. Ryan got a massage on the 4th of February. Dean got a massage on the 2nd of January. The first person that got a massage was,2019-01-02,2nd of January,Dean
Dean,2019-01-11,Alex,2019-01-30,Leon,2019-01-09,Dean watched TV on the 11th of January. Alex watched TV on the 30th of January. Leon watched TV on the 9th of January. The first person that watched TV was,2019-01-09,9th of January,Leon
