name_1,period_length_1,period_str_1,name_2,period_length_2,period_str_2,name_3,period_length_3,period_str_3,context,period_type,correct_period_str,correct_period_length,correct_answer
John,1.0,daily,Maria,1.1666666666666667,six times a week,Emily,6.0,every 6 days,John reads the newspaper daily. Maria reads the newspaper six times a week. Emily reads the newspaper every 6 days. The person who reads the newspaper more often is,days,daily,1.0,John
Neil,28.0,every 4 weeks,Dallas,15.0,twice a month,Emily,14.0,every other week,Neil plays volleyball every 4 weeks. Dallas plays volleyball twice a month. Emily plays volleyball every other week. The person who plays volleyball more often is,weeks,every other week,14.0,Emily
Grant,365.0,every other year,Richard,1460.0,every 4 years,Blake,1095.0,every 3 years,Grant renews their driver's license every other year. Richard renews their driver's license every 4 years. Blake renews their driver's license every 3 years. The person who renews their driver's license more often is,years,every other year,365.0,Grant
Max,365.0,every year,George,120.0,every 4 months,Hunter,73.0,five times a year,Max attends a workshop every year. George attends a workshop every 4 months. Hunter attends a workshop five times a year. The person who attends a workshop more often is,months,five times a year,73.0,Hunter
April,150.0,every 5 months,Max,120.0,every 4 months,Henry,180.0,every 6 months,April throws a party every 5 months. Max throws a party every 4 months. Henry throws a party every 6 months. The person who throws a party more often is,months,every 4 months,120.0,Max
Robert,120.0,every 4 months,Alex,180.0,every 6 months,Tyler,182.5,twice a year,Robert attends a conference every 4 months. Alex attends a conference every 6 months. Tyler attends a conference twice a year. The person who attends a conference more often is,months,every 4 months,120.0,Robert
Richard,60.0,every other month,Josh,121.66666666666667,three times a year,Andrew,150.0,every 5 months,Richard visits their grandparents every other month. Josh visits their grandparents three times a year. Andrew visits their grandparents every 5 months. The person who visits their grandparents more often is,months,every other month,60.0,Richard
Alex,3.5,twice a week,Michael,2.3333333333333335,three times a week,Max,6.0,every 6 days,Alex reads the newspaper twice a week. Michael reads the newspaper three times a week. Max reads the newspaper every 6 days. The person who reads the newspaper more often is,days,three times a week,2.3333333333333335,Michael
Rachel,121.66666666666667,three times a year,Brandon,90.0,every 3 months,Richard,60.0,every other month,Rachel votes in the elections three times a year. Brandon votes in the elections every 3 months. Richard votes in the elections every other month. The person who votes in the elections more often is,months,every other month,60.0,Richard
Rachel,42.0,every 6 weeks,Hunter,28.0,every 4 weeks,Peter,7.5,four times a month,Rachel bakes a cake every 6 weeks. Hunter bakes a cake every 4 weeks. Peter bakes a cake four times a month. The person who bakes a cake more often is,weeks,four times a month,7.5,Peter
Michael,1825.0,every 5 years,Frank,365.0,every year,Jerry,2190.0,every 6 years,Michael visits India every 5 years. Frank visits India every year. Jerry visits India every 6 years. The person who visits India more often is,years,every year,365.0,Frank
Walker,365.0,every year,Mark,180.0,every 6 months,Rose,60.833333333333336,six times a year,Walker visits the doctor every year. Mark visits the doctor every 6 months. Rose visits the doctor six times a year. The person who visits the doctor more often is,months,six times a year,60.833333333333336,Rose
John,90.0,every 3 months,Peter,150.0,every 5 months,Matt,30.0,monthly,John visits their grandparents every 3 months. Peter visits their grandparents every 5 months. Matt visits their grandparents monthly. The person who visits their grandparents more often is,months,monthly,30.0,Matt
Joy,5.0,six times a month,Marco,21.0,every 3 weeks,Matt,7.0,every week,Joy attends the yoga class six times a month. Marco attends the yoga class every 3 weeks. Matt attends the yoga class every week. The person who attends th yoga class more often is,weeks,six times a month,5.0,Joy
Ian,60.833333333333336,six times a year,April,30.0,monthly,Mark,180.0,every 6 months,Ian throws a party six times a year. April throws a party monthly. Mark throws a party every 6 months. The person who throws a party more often is,months,monthly,30.0,April
Kevin,73.0,five times a year,Walker,91.25,four times a year,Bob,182.5,twice a year,Kevin visits France five times a year. Walker visits France four times a year. Bob visits France twice a year. The person who visits France more often is,months,five times a year,73.0,Kevin
Alex,14.0,every other week,Leon,5.0,six times a month,Mark,15.0,twice a month,Alex refuels the car every other week. Leon refuels the car six times a month. Mark refuels the car twice a month. The person who refuels the car more often is,weeks,six times a month,5.0,Leon
Josh,365.0,every other year,Henry,1095.0,every 3 years,Dean,2190.0,every 6 years,Josh visits the US every other year. Henry visits the US every 3 years. Dean visits the US every 6 years. The person who visits the US more often is,years,every other year,365.0,Josh
Richard,2.3333333333333335,three times a week,Aaron,7.0,every week,Rachel,3.0,every 3 days,Richard walks the dog three times a week. Aaron walks the dog every week. Rachel walks the dog every 3 days. The person who walks the dog more often is,days,three times a week,2.3333333333333335,Richard
Hunter,365.0,every year,Dean,1095.0,every 3 years,Laura,1460.0,every 4 years,Hunter goes to a wedding every year. Dean goes to a wedding every 3 years. Laura goes to a wedding every 4 years. The person who goes to a wedding more often is,years,every year,365.0,Hunter
Max,10.0,three times a month,Fred,6.0,five times a month,Matt,42.0,every 6 weeks,Max waters the plants three times a month. Fred waters the plants five times a month. Matt waters the plants every 6 weeks. The person who waters the plants more often is,weeks,five times a month,6.0,Fred
Brandon,1.0,every day,Blake,2.3333333333333335,three times a week,Marco,6.0,every 6 days,Brandon plays soccer every day. Blake plays soccer three times a week. Marco plays soccer every 6 days. The person who plays soccer more often is,days,every day,1.0,Brandon
Peter,1.4,five times a week,Aaron,3.5,twice a week,Jason,1.1666666666666667,six times a week,Peter plays basketball five times a week. Aaron plays basketball twice a week. Jason plays basketball six times a week. The person who plays basketball more often is,days,six times a week,1.1666666666666667,Jason
Laura,1.0,daily,Jack,7.0,every week,Maria,2.3333333333333335,three times a week,Laura goes to the gym daily. Jack goes to the gym every week. Maria goes to the gym three times a week. The person who goes to the gym more often is,days,daily,1.0,Laura
Steve,91.25,four times a year,Ian,90.0,every 3 months,Hope,60.0,every two months,Steve visits their grandparents four times a year. Ian visits their grandparents every 3 months. Hope visits their grandparents every two months. The person who visits their grandparents more often is,months,every two months,60.0,Hope
Jerry,7.5,four times a month,Fred,5.0,six times a month,Hunter,30.0,every month,Jerry walks the dog four times a month. Fred walks the dog six times a month. Hunter walks the dog every month. The person who walks the dog more often is,weeks,six times a month,5.0,Fred
Marco,1095.0,every 3 years,Frank,365.0,every other year,Josh,2190.0,every 6 years,Marco visits India every 3 years. Frank visits India every other year. Josh visits India every 6 years. The person who visits India more often is,years,every other year,365.0,Frank
Martin,60.833333333333336,six times a year,Richard,30.0,monthly,Bob,120.0,every 4 months,Martin votes in the elections six times a year. Richard votes in the elections monthly. Bob votes in the elections every 4 months. The person who votes in the elections more often is,months,monthly,30.0,Richard
Hunter,150.0,every 5 months,Kyle,30.0,monthly,Grant,121.66666666666667,three times a year,Hunter goes hiking every 5 months. Kyle goes hiking monthly. Grant goes hiking three times a year. The person who goes hiking more often is,months,monthly,30.0,Kyle
Andrew,150.0,every 5 months,Fred,90.0,every 3 months,Grant,60.0,every other month,Andrew visits their grandparents every 5 months. Fred visits their grandparents every 3 months. Grant visits their grandparents every other month. The person who visits their grandparents more often is,months,every other month,60.0,Grant
Robert,2.0,every other day,John,3.5,twice a week,Walker,4.0,every 4 days,Robert cleans the house every other day. John cleans the house twice a week. Walker cleans the house every 4 days. The person who cleans the house more often is,days,every other day,2.0,Robert
Dallas,7.0,every week,Charlie,1.0,every day,Jack,3.5,twice a week,Dallas goes shopping every week. Charlie goes shopping every day. Jack goes shopping twice a week. The person who goes shopping more often is,days,every day,1.0,Charlie
Hope,73.0,five times a year,Jason,30.0,monthly,Connor,60.0,every other month,Hope watches a movie five times a year. Jason watches a movie monthly. Connor watches a movie every other month. The person who watches a movie more often is,months,monthly,30.0,Jason
Henry,7.0,every week,George,1.4,five times a week,Blake,2.3333333333333335,three times a week,Henry plays tennis every week. George plays tennis five times a week. Blake plays tennis three times a week. The person who plays tennis more often is,days,five times a week,1.4,George
Emily,10.0,three times a month,Michael,5.0,six times a month,Neil,6.0,five times a month,Emily does the laundry three times a month. Michael does the laundry six times a month. Neil does the laundry five times a month. The person who does the laundry more often is,weeks,six times a month,5.0,Michael
Rachel,2.0,every other day,Frank,1.4,five times a week,Jerry,4.0,every 4 days,Rachel goes for a run every other day. Frank goes for a run five times a week. Jerry goes for a run every 4 days. The person who goes for a run more often is,days,five times a week,1.4,Frank
Martin,42.0,every 6 weeks,Jason,35.0,every 5 weeks,Joy,7.0,every week,Martin goes on a business trip every 6 weeks. Jason goes on a business trip every 5 weeks. Joy goes on a business trip every week. The person who goes on a business trip more often is,weeks,every week,7.0,Joy
Ryan,2.3333333333333335,three times a week,Rose,1.0,every day,Joy,3.5,twice a week,Ryan plays tennis three times a week. Rose plays tennis every day. Joy plays tennis twice a week. The person who plays tennis more often is,days,every day,1.0,Rose
Grant,1460.0,every 4 years,William,1825.0,every 5 years,Neil,730.0,every two years,Grant donates to charity every 4 years. William donates to charity every 5 years. Neil donates to charity every two years. The person who donates to charity more often is,years,every two years,730.0,Neil
Mark,1825.0,every 5 years,Martin,365.0,every year,Kevin,730.0,every two years,Mark votes in the elections every 5 years. Martin votes in the elections every year. Kevin votes in the elections every two years. The person who votes in the elections more often is,years,every year,365.0,Martin
Tyler,7.5,four times a month,Ryan,30.0,every month,Martin,6.0,five times a month,Tyler refuels the car four times a month. Ryan refuels the car every month. Martin refuels the car five times a month. The person who refuels the car more often is,weeks,five times a month,6.0,Martin
Tyler,120.0,every 4 months,Fred,60.833333333333336,six times a year,Neil,60.0,every two months,Tyler votes in the elections every 4 months. Fred votes in the elections six times a year. Neil votes in the elections every two months. The person who votes in the elections more often is,months,every two months,60.0,Neil
Neil,3.0,every 3 days,Jack,7.0,every week,Laura,1.75,four times a week,Neil goes to the gym every 3 days. Jack goes to the gym every week. Laura goes to the gym four times a week. The person who goes to the gym more often is,days,four times a week,1.75,Laura
Michael,42.0,every 6 weeks,Marco,35.0,every 5 weeks,Hope,5.0,six times a month,Michael waters the plants every 6 weeks. Marco waters the plants every 5 weeks. Hope waters the plants six times a month. The person who waters the plants more often is,weeks,six times a month,5.0,Hope
Max,7.5,four times a month,Grant,21.0,every 3 weeks,Rachel,15.0,twice a month,Max takes out the trash four times a month. Grant takes out the trash every 3 weeks. Rachel takes out the trash twice a month. The person who takes out the trash more often is,weeks,four times a month,7.5,Max
Mark,10.0,three times a month,Alex,14.0,every other week,Marco,35.0,every 5 weeks,Mark throws a party three times a month. Alex throws a party every other week. Marco throws a party every 5 weeks. The person who throws a party more often is,weeks,three times a month,10.0,Mark
Alice,30.0,monthly,Jerry,121.66666666666667,three times a year,Grant,60.833333333333336,six times a year,Alice throws a party monthly. Jerry throws a party three times a year. Grant throws a party six times a year. The person who throws a party more often is,months,monthly,30.0,Alice
Alice,90.0,every 3 months,Brandon,60.0,every two months,Jason,150.0,every 5 months,Alice donates to charity every 3 months. Brandon donates to charity every two months. Jason donates to charity every 5 months. The person who donates to charity more often is,months,every two months,60.0,Brandon
Connor,30.0,every month,Peter,35.0,every 5 weeks,Martin,10.0,three times a month,Connor plays volleyball every month. Peter plays volleyball every 5 weeks. Martin plays volleyball three times a month. The person who plays volleyball more often is,weeks,three times a month,10.0,Martin
Joy,6.0,five times a month,Mark,5.0,six times a month,Josh,35.0,every 5 weeks,Joy walks the dog five times a month. Mark walks the dog six times a month. Josh walks the dog every 5 weeks. The person who walks the dog more often is,weeks,six times a month,5.0,Mark
Laura,1.0,daily,Richard,2.3333333333333335,three times a week,Dean,7.0,every week,Laura waters the plants daily. Richard waters the plants three times a week. Dean waters the plants every week. The person who waters the plants more often is,days,daily,1.0,Laura
Andrew,1460.0,every 4 years,Ian,2190.0,every 6 years,Kevin,730.0,every two years,Andrew visits India every 4 years. Ian visits India every 6 years. Kevin visits India every two years. The person who visits India more often is,years,every two years,730.0,Kevin
Andrew,1.0,daily,Martin,1.1666666666666667,six times a week,Jerry,6.0,every 6 days,Andrew changes the bed sheets daily. Martin changes the bed sheets six times a week. Jerry changes the bed sheets every 6 days. The person who changes the bed sheets more often is,days,daily,1.0,Andrew
Hunter,28.0,every 4 weeks,Dallas,5.0,six times a month,Robert,7.0,every week,Hunter walks the dog every 4 weeks. Dallas walks the dog six times a month. Robert walks the dog every week. The person who walks the dog more often is,weeks,six times a month,5.0,Dallas
Martin,1.1666666666666667,six times a week,Jerry,4.0,every 4 days,Henry,3.5,twice a week,Martin watches a movie six times a week. Jerry watches a movie every 4 days. Henry watches a movie twice a week. The person who watches a movie more often is,days,six times a week,1.1666666666666667,Martin
Aaron,15.0,twice a month,Tyler,6.0,five times a month,Steve,42.0,every 6 weeks,Aaron mows the lawn twice a month. Tyler mows the lawn five times a month. Steve mows the lawn every 6 weeks. The person who mows the lawn more often is,weeks,five times a month,6.0,Tyler
Max,14.0,every other week,Matt,5.0,six times a month,Hope,7.0,every week,Max refuels the car every other week. Matt refuels the car six times a month. Hope refuels the car every week. The person who refuels the car more often is,weeks,six times a month,5.0,Matt
Luke,150.0,every 5 months,George,120.0,every 4 months,Dallas,73.0,five times a year,Luke attends a conference every 5 months. George attends a conference every 4 months. Dallas attends a conference five times a year. The person who attends a conference more often is,months,five times a year,73.0,Dallas
Michael,4.0,every 4 days,Rose,3.0,every 3 days,Blake,2.3333333333333335,three times a week,Michael plays basketball every 4 days. Rose plays basketball every 3 days. Blake plays basketball three times a week. The person who plays basketball more often is,days,three times a week,2.3333333333333335,Blake
Frank,73.0,five times a year,Ian,90.0,every 3 months,Brandon,91.25,four times a year,Frank visits France five times a year. Ian visits France every 3 months. Brandon visits France four times a year. The person who visits France more often is,months,five times a year,73.0,Frank
Fred,90.0,every 3 months,George,120.0,every 4 months,Max,91.25,four times a year,Fred mows the lawn every 3 months. George mows the lawn every 4 months. Max mows the lawn four times a year. The person who mows the lawn more often is,months,every 3 months,90.0,Fred
Peter,35.0,every 5 weeks,Richard,6.0,five times a month,Michael,42.0,every 6 weeks,Peter attends a concert every 5 weeks. Richard attends a concert five times a month. Michael attends a concert every 6 weeks. The person who attends a concert more often is,weeks,five times a month,6.0,Richard
Fred,6.0,five times a month,Andrew,7.0,every week,Neil,28.0,every 4 weeks,Fred visits the doctor five times a month. Andrew visits the doctor every week. Neil visits the doctor every 4 weeks. The person who visits the doctor more often is,weeks,five times a month,6.0,Fred
Rachel,1.0,every day,Mark,1.75,four times a week,Dallas,3.0,every 3 days,Rachel plays soccer every day. Mark plays soccer four times a week. Dallas plays soccer every 3 days. The person who plays soccer more often is,days,every day,1.0,Rachel
Alex,3.0,every 3 days,Josh,4.0,every 4 days,Charlie,6.0,every 6 days,Alex waters the plants every 3 days. Josh waters the plants every 4 days. Charlie waters the plants every 6 days. The person who waters the plants more often is,days,every 3 days,3.0,Alex
Jerry,10.0,three times a month,Alice,15.0,twice a month,Jason,28.0,every 4 weeks,Jerry visits their grandparents three times a month. Alice visits their grandparents twice a month. Jason visits their grandparents every 4 weeks. The person who visits their grandparents more often is,weeks,three times a month,10.0,Jerry
Martin,150.0,every 5 months,Hunter,180.0,every 6 months,Jason,90.0,every 3 months,Martin visits Italy every 5 months. Hunter visits Italy every 6 months. Jason visits Italy every 3 months. The person who visits Italy more often is,months,every 3 months,90.0,Jason
Charlie,120.0,every 4 months,Rachel,150.0,every 5 months,Marco,73.0,five times a year,Charlie visits India every 4 months. Rachel visits India every 5 months. Marco visits India five times a year. The person who visits India more often is,months,five times a year,73.0,Marco
Charlie,5.0,six times a month,Rachel,7.5,four times a month,Marco,35.0,every 5 weeks,Charlie visits Italy six times a month. Rachel visits Italy four times a month. Marco visits Italy every 5 weeks. The person who visits Italy more often is,weeks,six times a month,5.0,Charlie
Hunter,2.3333333333333335,three times a week,Blake,1.0,every day,Peter,3.5,twice a week,Hunter goes to the gym three times a week. Blake goes to the gym every day. Peter goes to the gym twice a week. The person who goes to the gym more often is,days,every day,1.0,Blake
Scott,3.0,every 3 days,Joy,6.0,every 6 days,Leon,1.75,four times a week,Scott walks the dog every 3 days. Joy walks the dog every 6 days. Leon walks the dog four times a week. The person who walks the dog more often is,days,four times a week,1.75,Leon
Andrew,1.75,four times a week,Kevin,6.0,every 6 days,Jason,1.0,daily,Andrew watches a movie four times a week. Kevin watches a movie every 6 days. Jason watches a movie daily. The person who watches a movie more often is,days,daily,1.0,Jason
Dallas,60.0,every two months,Neil,365.0,every year,Joy,30.0,monthly,Dallas attends a concert every two months. Neil attends a concert every year. Joy attends a concert monthly. The person who attends a concert more often is,months,monthly,30.0,Joy
Michael,60.833333333333336,six times a year,Rachel,121.66666666666667,three times a year,Hunter,90.0,every 3 months,Michael visits India six times a year. Rachel visits India three times a year. Hunter visits India every 3 months. The person who visits India more often is,months,six times a year,60.833333333333336,Michael
Peter,1.75,four times a week,Brandon,2.0,every other day,Richard,1.0,every day,Peter plays soccer four times a week. Brandon plays soccer every other day. Richard plays soccer every day. The person who plays soccer more often is,days,every day,1.0,Richard
Matt,7.5,four times a month,Joy,6.0,five times a month,John,28.0,every 4 weeks,Matt goes hiking four times a month. Joy goes hiking five times a month. John goes hiking every 4 weeks. The person who goes hiking more often is,weeks,five times a month,6.0,Joy
Josh,1095.0,every 3 years,Fred,730.0,every two years,Hunter,1460.0,every 4 years,Josh renews their passport every 3 years. Fred renews their passport every two years. Hunter renews their passport every 4 years. The person who renews their passport more often is,years,every two years,730.0,Fred
Peter,2.3333333333333335,three times a week,Rose,3.0,every 3 days,Robert,2.0,every other day,Peter goes for a run three times a week. Rose goes for a run every 3 days. Robert goes for a run every other day. The person who goes for a run more often is,days,every other day,2.0,Robert
