name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_month,correct_month_label,correct_answer
Hunter,2019-06-28,Jason,2019-03-31,Martin,2019-04-25,"['Hunter', 'Jason', 'Martin']",Hunter cleaned the shed on the 28th of June. Jason cleaned the shed on the 31st of March. Martin cleaned the shed on the 25th of April. The only person that cleaned the shed in March is,2019-03-31,March,2,Jason
Scott,2019-03-02,John,2019-12-04,Blake,2019-03-11,"['Scott', 'John', 'Blake']",Scott reorganized the closet on the 2nd of March. John reorganized the closet on the 4th of December. Blake reorganized the closet on the 11th of March. The only person that reorganized the closet in December is,2019-12-04,December,11,John
Walker,2019-03-27,Joy,2019-03-30,Alice,2019-10-14,"['Walker', 'Joy', 'Alice']",Walker planted a tree on the 27th of March. Joy planted a tree on the 30th of March. Alice planted a tree on the 14th of October. The only person that planted a tree in October is,2019-10-14,October,9,Alice
Martin,2019-11-15,Luke,2019-02-17,Dallas,2019-04-02,"['Martin', 'Luke', 'Dallas']",Martin went fishing on the 15th of November. Luke went fishing on the 17th of February. Dallas went fishing on the 2nd of April. The only person that went fishing in February is,2019-02-17,February,1,Luke
Luke,2019-05-17,Charlie,2019-02-28,Neil,2019-01-17,"['Luke', 'Charlie', 'Neil']",Luke watched a movie on the 17th of May. Charlie watched a movie on the 28th of February. Neil watched a movie on the 17th of January. The only person that watched a movie in February is,2019-02-28,February,1,Charlie
Jerry,2019-01-19,Steve,2019-01-25,Kyle,2019-03-12,"['Jerry', 'Steve', 'Kyle']",Jerry went camping on the 19th of January. Steve went camping on the 25th of January. Kyle went camping on the 12th of March. The only person that went camping in March is,2019-03-12,March,2,Kyle
Jason,2019-12-02,Matt,2019-02-17,Henry,2019-05-20,"['Jason', 'Matt', 'Henry']",Jason cleaned the basement on the 2nd of December. Matt cleaned the basement on the 17th of February. Henry cleaned the basement on the 20th of May. The only person that cleaned the basement in February is,2019-02-17,February,1,Matt
Dean,2019-07-24,Kevin,2019-12-16,Dallas,2019-04-24,"['Dean', 'Kevin', 'Dallas']",Dean cleaned the basement on the 24th of July. Kevin cleaned the basement on the 16th of December. Dallas cleaned the basement on the 24th of April. The only person that cleaned the basement in April is,2019-04-24,April,3,Dallas
Leon,2019-11-10,Grant,2019-09-27,Tyler,2019-06-19,"['Leon', 'Grant', 'Tyler']",Leon arrived in Canada on the 10th of November. Grant arrived in Canada on the 27th of September. Tyler arrived in Canada on the 19th of June. The only person that arrived in Canada in November is,2019-11-10,November,10,Leon
Kevin,2019-02-06,Max,2019-02-03,Henry,2019-09-27,"['Kevin', 'Max', 'Henry']",Kevin washed the car on the 6th of February. Max washed the car on the 3rd of February. Henry washed the car on the 27th of September. The only person that washed the car in September is,2019-09-27,September,8,Henry
Luke,2019-05-28,Tyler,2019-05-27,Jason,2019-02-10,"['Luke', 'Tyler', 'Jason']",Luke moved to a new city on the 28th of May. Tyler moved to a new city on the 27th of May. Jason moved to a new city on the 10th of February. The only person that moved to a new city in February is,2019-02-10,February,1,Jason
Mark,2019-03-07,Tyler,2019-11-25,Emily,2019-10-16,"['Mark', 'Tyler', 'Emily']",Mark mowed the lawn on the 7th of March. Tyler mowed the lawn on the 25th of November. Emily mowed the lawn on the 16th of October. The only person that mowed the lawn in November is,2019-11-25,November,10,Tyler
Mark,2019-01-12,Josh,2019-06-16,Tyler,2019-03-26,"['Mark', 'Josh', 'Tyler']",Mark passed an exam on the 12th of January. Josh passed an exam on the 16th of June. Tyler passed an exam on the 26th of March. The only person that passed an exam in January is,2019-01-12,January,0,Mark
Brandon,2019-03-15,Michael,2019-11-18,Alex,2019-01-16,"['Brandon', 'Michael', 'Alex']",Brandon arrived in Canada on the 15th of March. Michael arrived in Canada on the 18th of November. Alex arrived in Canada on the 16th of January. The only person that arrived in Canada in January is,2019-01-16,January,0,Alex
Rachel,2019-11-04,Michael,2019-07-24,Tyler,2019-06-23,"['Rachel', 'Michael', 'Tyler']",Rachel donated clothes on the 4th of November. Michael donated clothes on the 24th of July. Tyler donated clothes on the 23rd of June. The only person that donated clothes in July is,2019-07-24,July,6,Michael
Alice,2019-04-04,Hunter,2019-01-22,Josh,2019-12-07,"['Alice', 'Hunter', 'Josh']",Alice arrived in Spain on the 4th of April. Hunter arrived in Spain on the 22nd of January. Josh arrived in Spain on the 7th of December. The only person that arrived in Spain in December is,2019-12-07,December,11,Josh
Ian,2019-09-28,Laura,2019-03-25,Andrew,2019-05-27,"['Ian', 'Laura', 'Andrew']",Ian called a friend on the 28th of September. Laura called a friend on the 25th of March. Andrew called a friend on the 27th of May. The only person that called a friend in May is,2019-05-27,May,4,Andrew
Kevin,2019-11-12,Marco,2019-07-23,Scott,2019-08-29,"['Kevin', 'Marco', 'Scott']",Kevin took a plane on the 12th of November. Marco took a plane on the 23rd of July. Scott took a plane on the 29th of August. The only person that took a plane in August is,2019-08-29,August,7,Scott
Hunter,2019-10-16,Emily,2019-02-20,Neil,2019-01-16,"['Hunter', 'Emily', 'Neil']",Hunter played beer pong on the 16th of October. Emily played beer pong on the 20th of February. Neil played beer pong on the 16th of January. The only person that played beer pong in October is,2019-10-16,October,9,Hunter
Steve,2019-03-03,Rose,2019-06-10,Bob,2019-06-11,"['Steve', 'Rose', 'Bob']",Steve got a birthday gift on the 3rd of March. Rose got a birthday gift on the 10th of June. Bob got a birthday gift on the 11th of June. The only person that got a birthday gift in March is,2019-03-03,March,2,Steve
Kevin,2019-03-31,Grant,2019-04-03,Rachel,2019-06-01,"['Kevin', 'Grant', 'Rachel']",Kevin went to the gym on the 31st of March. Grant went to the gym on the 3rd of April. Rachel went to the gym on the 1st of June. The only person that went to the gym in April is,2019-04-03,April,3,Grant
Rose,2019-01-17,Jason,2019-01-30,Laura,2019-10-07,"['Rose', 'Jason', 'Laura']",Rose went to the beach on the 17th of January. Jason went to the beach on the 30th of January. Laura went to the beach on the 7th of October. The only person that went to the beach in October is,2019-10-07,October,9,Laura
Mark,2019-02-02,Scott,2019-11-01,Steve,2019-12-10,"['Mark', 'Scott', 'Steve']",Mark baked a cake on the 2nd of February. Scott baked a cake on the 1st of November. Steve baked a cake on the 10th of December. The only person that baked a cake in December is,2019-12-10,December,11,Steve
Bob,2019-10-07,Walker,2019-03-17,Rachel,2019-04-10,"['Bob', 'Walker', 'Rachel']",Bob harvested a garden on the 7th of October. Walker harvested a garden on the 17th of March. Rachel harvested a garden on the 10th of April. The only person that harvested a garden in April is,2019-04-10,April,3,Rachel
Connor,2019-08-24,Emily,2019-10-30,Walker,2019-07-26,"['Connor', 'Emily', 'Walker']",Connor refinanced the mortgage on the 24th of August. Emily refinanced the mortgage on the 30th of October. Walker refinanced the mortgage on the 26th of July. The only person that refinanced the mortgage in October is,2019-10-30,October,9,Emily
Charlie,2019-02-28,William,2019-04-15,Bob,2019-06-07,"['Charlie', 'William', 'Bob']",Charlie went hiking on the 28th of February. William went hiking on the 15th of April. Bob went hiking on the 7th of June. The only person that went hiking in February is,2019-02-28,February,1,Charlie
William,2019-01-15,Alice,2019-05-06,Dallas,2019-11-18,"['William', 'Alice', 'Dallas']",William sent a package on the 15th of January. Alice sent a package on the 6th of May. Dallas sent a package on the 18th of November. The only person that sent a package in May is,2019-05-06,May,4,Alice
Luke,2019-03-22,Rachel,2019-12-08,Bob,2019-06-26,"['Luke', 'Rachel', 'Bob']",Luke went camping on the 22nd of March. Rachel went camping on the 8th of December. Bob went camping on the 26th of June. The only person that went camping in March is,2019-03-22,March,2,Luke
Maria,2019-06-20,Mark,2019-06-23,Frank,2019-04-12,"['Maria', 'Mark', 'Frank']",Maria took a bus on the 20th of June. Mark took a bus on the 23rd of June. Frank took a bus on the 12th of April. The only person that took a bus in April is,2019-04-12,April,3,Frank
Andrew,2019-01-19,Dean,2019-07-12,Neil,2019-08-16,"['Andrew', 'Dean', 'Neil']",Andrew had a picnic on the 19th of January. Dean had a picnic on the 12th of July. Neil had a picnic on the 16th of August. The only person that had a picnic in August is,2019-08-16,August,7,Neil
Josh,2019-02-25,Aaron,2019-11-16,Jack,2019-07-29,"['Josh', 'Aaron', 'Jack']",Josh took a taxi on the 25th of February. Aaron took a taxi on the 16th of November. Jack took a taxi on the 29th of July. The only person that took a taxi in February is,2019-02-25,February,1,Josh
Bob,2019-02-27,Hunter,2019-02-02,Mark,2019-05-22,"['Bob', 'Hunter', 'Mark']",Bob went to the beach on the 27th of February. Hunter went to the beach on the 2nd of February. Mark went to the beach on the 22nd of May. The only person that went to the beach in May is,2019-05-22,May,4,Mark
April,2019-08-17,Luke,2019-11-20,Maria,2019-11-18,"['April', 'Luke', 'Maria']",April donated blood on the 17th of August. Luke donated blood on the 20th of November. Maria donated blood on the 18th of November. The only person that donated blood in August is,2019-08-17,August,7,April
Tyler,2019-03-26,Frank,2019-10-02,Neil,2019-03-01,"['Tyler', 'Frank', 'Neil']",Tyler bought a new phone on the 26th of March. Frank bought a new phone on the 2nd of October. Neil bought a new phone on the 1st of March. The only person that bought a new phone in October is,2019-10-02,October,9,Frank
Tyler,2019-11-25,Leon,2019-01-29,Hope,2019-04-06,"['Tyler', 'Leon', 'Hope']",Tyler donated toys on the 25th of November. Leon donated toys on the 29th of January. Hope donated toys on the 6th of April. The only person that donated toys in April is,2019-04-06,April,3,Hope
Mark,2019-04-14,Michael,2019-02-05,Ian,2019-09-28,"['Mark', 'Michael', 'Ian']",Mark donated clothes on the 14th of April. Michael donated clothes on the 5th of February. Ian donated clothes on the 28th of September. The only person that donated clothes in September is,2019-09-28,September,8,Ian
Ryan,2019-09-03,Hope,2019-05-25,Charlie,2019-06-10,"['Ryan', 'Hope', 'Charlie']",Ryan baked a cake on the 3rd of September. Hope baked a cake on the 25th of May. Charlie baked a cake on the 10th of June. The only person that baked a cake in June is,2019-06-10,June,5,Charlie
Martin,2019-05-18,William,2019-01-15,Bob,2019-02-16,"['Martin', 'William', 'Bob']",Martin arrived in Canada on the 18th of May. William arrived in Canada on the 15th of January. Bob arrived in Canada on the 16th of February. The only person that arrived in Canada in May is,2019-05-18,May,4,Martin
Scott,2019-10-14,Matt,2019-10-05,Neil,2019-12-16,"['Scott', 'Matt', 'Neil']",Scott went to the gym on the 14th of October. Matt went to the gym on the 5th of October. Neil went to the gym on the 16th of December. The only person that went to the gym in December is,2019-12-16,December,11,Neil
Andrew,2019-08-25,Marco,2019-07-09,Hope,2019-05-23,"['Andrew', 'Marco', 'Hope']",Andrew went to the cinema on the 25th of August. Marco went to the cinema on the 9th of July. Hope went to the cinema on the 23rd of May. The only person that went to the cinema in August is,2019-08-25,August,7,Andrew
Dean,2019-03-17,Neil,2019-01-16,Robert,2019-08-01,"['Dean', 'Neil', 'Robert']",Dean went to the beach on the 17th of March. Neil went to the beach on the 16th of January. Robert went to the beach on the 1st of August. The only person that went to the beach in August is,2019-08-01,August,7,Robert
Laura,2019-09-12,Leon,2019-11-22,William,2019-02-22,"['Laura', 'Leon', 'William']",Laura watched a documentary on the 12th of September. Leon watched a documentary on the 22nd of November. William watched a documentary on the 22nd of February. The only person that watched a documentary in February is,2019-02-22,February,1,William
Henry,2019-05-13,Luke,2019-02-01,Rose,2019-10-01,"['Henry', 'Luke', 'Rose']",Henry went to a Chinese restaurant on the 13th of May. Luke went to a Chinese restaurant on the 1st of February. Rose went to a Chinese restaurant on the 1st of October. The only person that went to a Chinese restaurant in February is,2019-02-01,February,1,Luke
Dean,2019-02-07,Fred,2019-01-16,Martin,2019-03-08,"['Dean', 'Fred', 'Martin']",Dean bought a new car on the 7th of February. Fred bought a new car on the 16th of January. Martin bought a new car on the 8th of March. The only person that bought a new car in February is,2019-02-07,February,1,Dean
Alice,2019-06-28,Josh,2019-06-16,Jason,2019-07-26,"['Alice', 'Josh', 'Jason']",Alice took a boat on the 28th of June. Josh took a boat on the 16th of June. Jason took a boat on the 26th of July. The only person that took a boat in July is,2019-07-26,July,6,Jason
Laura,2019-08-26,Grant,2019-11-21,Richard,2019-04-10,"['Laura', 'Grant', 'Richard']",Laura went to a Mexican restaurant on the 26th of August. Grant went to a Mexican restaurant on the 21st of November. Richard went to a Mexican restaurant on the 10th of April. The only person that went to a Mexican restaurant in November is,2019-11-21,November,10,Grant
Steve,2019-07-30,Dean,2019-12-24,Grant,2019-09-27,"['Steve', 'Dean', 'Grant']",Steve moved to a new city on the 30th of July. Dean moved to a new city on the 24th of December. Grant moved to a new city on the 27th of September. The only person that moved to a new city in December is,2019-12-24,December,11,Dean
Peter,2019-10-21,Maria,2019-07-24,Dallas,2019-06-05,"['Peter', 'Maria', 'Dallas']",Peter left for vacation on the 21st of October. Maria left for vacation on the 24th of July. Dallas left for vacation on the 5th of June. The only person that left for vacation in October is,2019-10-21,October,9,Peter
Marco,2019-11-16,Andrew,2019-12-13,Jack,2019-03-25,"['Marco', 'Andrew', 'Jack']",Marco washed the dog on the 16th of November. Andrew washed the dog on the 13th of December. Jack washed the dog on the 25th of March. The only person that washed the dog in November is,2019-11-16,November,10,Marco
Jason,2019-01-30,Josh,2019-10-04,Rose,2019-03-29,"['Jason', 'Josh', 'Rose']",Jason won a prize on the 30th of January. Josh won a prize on the 4th of October. Rose won a prize on the 29th of March. The only person that won a prize in March is,2019-03-29,March,2,Rose
Neil,2019-12-16,Laura,2019-12-22,Richard,2019-03-07,"['Neil', 'Laura', 'Richard']",Neil moved to a new city on the 16th of December. Laura moved to a new city on the 22nd of December. Richard moved to a new city on the 7th of March. The only person that moved to a new city in March is,2019-03-07,March,2,Richard
Blake,2019-06-15,Marco,2019-04-06,Kevin,2019-09-10,"['Blake', 'Marco', 'Kevin']",Blake bought a new phone on the 15th of June. Marco bought a new phone on the 6th of April. Kevin bought a new phone on the 10th of September. The only person that bought a new phone in September is,2019-09-10,September,8,Kevin
George,2019-02-08,Grant,2019-01-25,Jason,2019-09-19,"['George', 'Grant', 'Jason']",George took a ferry on the 8th of February. Grant took a ferry on the 25th of January. Jason took a ferry on the 19th of September. The only person that took a ferry in January is,2019-01-25,January,0,Grant
Connor,2019-06-11,Ryan,2019-09-27,Brandon,2019-07-06,"['Connor', 'Ryan', 'Brandon']",Connor bought a new car on the 11th of June. Ryan bought a new car on the 27th of September. Brandon bought a new car on the 6th of July. The only person that bought a new car in July is,2019-07-06,July,6,Brandon
Hope,2019-11-23,Maria,2019-03-17,Robert,2019-08-30,"['Hope', 'Maria', 'Robert']",Hope went camping on the 23rd of November. Maria went camping on the 17th of March. Robert went camping on the 30th of August. The only person that went camping in March is,2019-03-17,March,2,Maria
Andrew,2019-11-11,Scott,2019-05-23,Neil,2019-09-27,"['Andrew', 'Scott', 'Neil']",Andrew got a birthday gift on the 11th of November. Scott got a birthday gift on the 23rd of May. Neil got a birthday gift on the 27th of September. The only person that got a birthday gift in May is,2019-05-23,May,4,Scott
Laura,2019-03-17,Kevin,2019-01-11,Peter,2019-02-27,"['Laura', 'Kevin', 'Peter']",Laura renovated the bathroom on the 17th of March. Kevin renovated the bathroom on the 11th of January. Peter renovated the bathroom on the 27th of February. The only person that renovated the bathroom in March is,2019-03-17,March,2,Laura
Jack,2019-01-18,Ryan,2019-12-02,Marco,2019-12-23,"['Jack', 'Ryan', 'Marco']",Jack went camping on the 18th of January. Ryan went camping on the 2nd of December. Marco went camping on the 23rd of December. The only person that went camping in January is,2019-01-18,January,0,Jack
Michael,2019-09-23,Dallas,2019-04-21,Fred,2019-03-27,"['Michael', 'Dallas', 'Fred']",Michael played chess on the 23rd of September. Dallas played chess on the 21st of April. Fred played chess on the 27th of March. The only person that played chess in September is,2019-09-23,September,8,Michael
Alice,2019-12-25,Robert,2019-08-30,Aaron,2019-07-16,"['Alice', 'Robert', 'Aaron']",Alice cleaned the windows on the 25th of December. Robert cleaned the windows on the 30th of August. Aaron cleaned the windows on the 16th of July. The only person that cleaned the windows in July is,2019-07-16,July,6,Aaron
Frank,2019-02-04,Mark,2019-08-08,Maria,2019-03-07,"['Frank', 'Mark', 'Maria']",Frank washed the car on the 4th of February. Mark washed the car on the 8th of August. Maria washed the car on the 7th of March. The only person that washed the car in February is,2019-02-04,February,1,Frank
Martin,2019-04-24,Richard,2019-09-17,Emily,2019-03-30,"['Martin', 'Richard', 'Emily']",Martin went fishing on the 24th of April. Richard went fishing on the 17th of September. Emily went fishing on the 30th of March. The only person that went fishing in March is,2019-03-30,March,2,Emily
Scott,2019-12-07,Alex,2019-12-24,Richard,2019-03-30,"['Scott', 'Alex', 'Richard']",Scott washed the dog on the 7th of December. Alex washed the dog on the 24th of December. Richard washed the dog on the 30th of March. The only person that washed the dog in March is,2019-03-30,March,2,Richard
Connor,2019-10-21,Walker,2019-03-17,Alice,2019-04-08,"['Connor', 'Walker', 'Alice']",Connor left for vacation on the 21st of October. Walker left for vacation on the 17th of March. Alice left for vacation on the 8th of April. The only person that left for vacation in March is,2019-03-17,March,2,Walker
Laura,2019-06-26,Matt,2019-10-29,Max,2019-01-12,"['Laura', 'Matt', 'Max']",Laura bought a new car on the 26th of June. Matt bought a new car on the 29th of October. Max bought a new car on the 12th of January. The only person that bought a new car in January is,2019-01-12,January,0,Max
Ryan,2019-04-23,Aaron,2019-02-04,William,2019-02-17,"['Ryan', 'Aaron', 'William']",Ryan repaired the bike on the 23rd of April. Aaron repaired the bike on the 4th of February. William repaired the bike on the 17th of February. The only person that repaired the bike in April is,2019-04-23,April,3,Ryan
Rachel,2019-11-19,Alice,2019-06-28,Fred,2019-05-26,"['Rachel', 'Alice', 'Fred']",Rachel went to the cinema on the 19th of November. Alice went to the cinema on the 28th of June. Fred went to the cinema on the 26th of May. The only person that went to the cinema in May is,2019-05-26,May,4,Fred
Max,2019-11-26,Emily,2019-08-12,Dallas,2019-01-18,"['Max', 'Emily', 'Dallas']",Max washed the dog on the 26th of November. Emily washed the dog on the 12th of August. Dallas washed the dog on the 18th of January. The only person that washed the dog in November is,2019-11-26,November,10,Max
Dean,2019-07-24,Kevin,2019-09-10,Scott,2019-03-15,"['Dean', 'Kevin', 'Scott']",Dean attended a funeral on the 24th of July. Kevin attended a funeral on the 10th of September. Scott attended a funeral on the 15th of March. The only person that attended a funeral in March is,2019-03-15,March,2,Scott
Luke,2019-12-21,Matt,2019-01-23,Jack,2019-09-09,"['Luke', 'Matt', 'Jack']",Luke took an exam on the 21st of December. Matt took an exam on the 23rd of January. Jack took an exam on the 9th of September. The only person that took an exam in December is,2019-12-21,December,11,Luke
Kevin,2019-05-19,Alice,2019-04-08,Richard,2019-03-07,"['Kevin', 'Alice', 'Richard']",Kevin played beer pong on the 19th of May. Alice played beer pong on the 8th of April. Richard played beer pong on the 7th of March. The only person that played beer pong in April is,2019-04-08,April,3,Alice
Emily,2019-03-30,John,2019-02-11,Henry,2019-05-20,"['Emily', 'John', 'Henry']",Emily ironed the clothes on the 30th of March. John ironed the clothes on the 11th of February. Henry ironed the clothes on the 20th of May. The only person that ironed the clothes in February is,2019-02-11,February,1,John
Richard,2019-05-30,Scott,2019-06-21,Matt,2019-05-28,"['Richard', 'Scott', 'Matt']",Richard took a taxi on the 30th of May. Scott took a taxi on the 21st of June. Matt took a taxi on the 28th of May. The only person that took a taxi in June is,2019-06-21,June,5,Scott
Henry,2019-06-27,Marco,2019-09-18,Maria,2019-07-24,"['Henry', 'Marco', 'Maria']",Henry donated clothes on the 27th of June. Marco donated clothes on the 18th of September. Maria donated clothes on the 24th of July. The only person that donated clothes in July is,2019-07-24,July,6,Maria
Robert,2019-07-16,Connor,2019-02-24,Neil,2019-04-03,"['Robert', 'Connor', 'Neil']",Robert cleaned the windows on the 16th of July. Connor cleaned the windows on the 24th of February. Neil cleaned the windows on the 3rd of April. The only person that cleaned the windows in April is,2019-04-03,April,3,Neil
Jason,2019-02-27,Bob,2019-10-07,Steve,2019-03-03,"['Jason', 'Bob', 'Steve']",Jason went to a concert on the 27th of February. Bob went to a concert on the 7th of October. Steve went to a concert on the 3rd of March. The only person that went to a concert in February is,2019-02-27,February,1,Jason
Mark,2019-09-21,Josh,2019-01-29,Leon,2019-07-24,"['Mark', 'Josh', 'Leon']",Mark took a ferry on the 21st of September. Josh took a ferry on the 29th of January. Leon took a ferry on the 24th of July. The only person that took a ferry in January is,2019-01-29,January,0,Josh
Matt,2019-05-03,Grant,2019-02-06,Rachel,2019-05-18,"['Matt', 'Grant', 'Rachel']",Matt ran a marathon on the 3rd of May. Grant ran a marathon on the 6th of February. Rachel ran a marathon on the 18th of May. The only person that ran a marathon in February is,2019-02-06,February,1,Grant
Frank,2019-11-02,Leon,2019-10-25,Kyle,2019-01-26,"['Frank', 'Leon', 'Kyle']",Frank went to the zoo on the 2nd of November. Leon went to the zoo on the 25th of October. Kyle went to the zoo on the 26th of January. The only person that went to the zoo in October is,2019-10-25,October,9,Leon
Ian,2019-05-11,Charlie,2019-08-08,Tyler,2019-03-26,"['Ian', 'Charlie', 'Tyler']",Ian repotted the plants on the 11th of May. Charlie repotted the plants on the 8th of August. Tyler repotted the plants on the 26th of March. The only person that repotted the plants in August is,2019-08-08,August,7,Charlie
Michael,2019-04-24,Aaron,2019-05-23,Mark,2019-06-18,"['Michael', 'Aaron', 'Mark']",Michael got a birthday gift on the 24th of April. Aaron got a birthday gift on the 23rd of May. Mark got a birthday gift on the 18th of June. The only person that got a birthday gift in June is,2019-06-18,June,5,Mark
Dallas,2019-06-19,Matt,2019-04-22,Bob,2019-12-30,"['Dallas', 'Matt', 'Bob']",Dallas mowed the lawn on the 19th of June. Matt mowed the lawn on the 22nd of April. Bob mowed the lawn on the 30th of December. The only person that mowed the lawn in December is,2019-12-30,December,11,Bob
Hope,2019-07-08,Marco,2019-04-03,Ian,2019-05-21,"['Hope', 'Marco', 'Ian']",Hope watched a movie on the 8th of July. Marco watched a movie on the 3rd of April. Ian watched a movie on the 21st of May. The only person that watched a movie in July is,2019-07-08,July,6,Hope
Peter,2019-11-03,Rose,2019-06-18,Neil,2019-10-07,"['Peter', 'Rose', 'Neil']",Peter won a contest on the 3rd of November. Rose won a contest on the 18th of June. Neil won a contest on the 7th of October. The only person that won a contest in June is,2019-06-18,June,5,Rose
Frank,2019-08-19,Laura,2019-03-25,Richard,2019-03-30,"['Frank', 'Laura', 'Richard']",Frank went hiking on the 19th of August. Laura went hiking on the 25th of March. Richard went hiking on the 30th of March. The only person that went hiking in August is,2019-08-19,August,7,Frank
Peter,2019-10-21,Kevin,2019-12-25,Andrew,2019-04-07,"['Peter', 'Kevin', 'Andrew']",Peter cleaned the windows on the 21st of October. Kevin cleaned the windows on the 25th of December. Andrew cleaned the windows on the 7th of April. The only person that cleaned the windows in April is,2019-04-07,April,3,Andrew
Joy,2019-05-01,Mark,2019-01-12,Luke,2019-12-21,"['Joy', 'Mark', 'Luke']",Joy went to a concert on the 1st of May. Mark went to a concert on the 12th of January. Luke went to a concert on the 21st of December. The only person that went to a concert in May is,2019-05-01,May,4,Joy
Kevin,2019-12-10,Jason,2019-07-26,Rose,2019-03-08,"['Kevin', 'Jason', 'Rose']",Kevin went camping on the 10th of December. Jason went camping on the 26th of July. Rose went camping on the 8th of March. The only person that went camping in July is,2019-07-26,July,6,Jason
Matt,2019-05-22,George,2019-06-23,Hunter,2019-05-19,"['Matt', 'George', 'Hunter']",Matt left for vacation on the 22nd of May. George left for vacation on the 23rd of June. Hunter left for vacation on the 19th of May. The only person that left for vacation in June is,2019-06-23,June,5,George
Grant,2019-07-15,Walker,2019-03-24,Fred,2019-08-29,"['Grant', 'Walker', 'Fred']",Grant painted a mural on the 15th of July. Walker painted a mural on the 24th of March. Fred painted a mural on the 29th of August. The only person that painted a mural in March is,2019-03-24,March,2,Walker
Peter,2019-05-17,Charlie,2019-10-03,John,2019-03-23,"['Peter', 'Charlie', 'John']",Peter arrived in Spain on the 17th of May. Charlie arrived in Spain on the 3rd of October. John arrived in Spain on the 23rd of March. The only person that arrived in Spain in May is,2019-05-17,May,4,Peter
Martin,2019-08-23,Ian,2019-05-21,Kevin,2019-05-31,"['Martin', 'Ian', 'Kevin']",Martin attended a graduation on the 23rd of August. Ian attended a graduation on the 21st of May. Kevin attended a graduation on the 31st of May. The only person that attended a graduation in August is,2019-08-23,August,7,Martin
Steve,2019-10-25,April,2019-02-22,Rachel,2019-05-16,"['Steve', 'April', 'Rachel']",Steve took a boat on the 25th of October. April took a boat on the 22nd of February. Rachel took a boat on the 16th of May. The only person that took a boat in May is,2019-05-16,May,4,Rachel
Connor,2019-07-27,Robert,2019-07-02,Scott,2019-10-15,"['Connor', 'Robert', 'Scott']",Connor moved to a new city on the 27th of July. Robert moved to a new city on the 2nd of July. Scott moved to a new city on the 15th of October. The only person that moved to a new city in October is,2019-10-15,October,9,Scott
Dallas,2019-05-01,Max,2019-05-19,Robert,2019-10-02,"['Dallas', 'Max', 'Robert']",Dallas participated in a triathlon on the 1st of May. Max participated in a triathlon on the 19th of May. Robert participated in a triathlon on the 2nd of October. The only person that participated in a triathlon in October is,2019-10-02,October,9,Robert
