name_1,time_1,name_2,time_2,name_3,time_3,context,alternatives,correct_time,correct_time_expr,correct_answer,correct_phase,correct_phase_og,correct_phase_label,correct_phase_og_label,time_idx_start,time_idx_end
Jack,03:00:00,Charlie,05:30:00,Frank,16:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack loads the laundry at 3:00. Charlie loads the laundry at 5:30. Frank loads the laundry at 16:15. The only person that loads the laundry in the afternoon is","['Jack', 'Charlie', 'Frank']",03:00:00,3:00,Jack,afternoon,night,2,0,116,120
Joy,13:45:00,Frank,06:15:00,Dallas,16:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Joy goes for a run at 13:45. Frank goes for a run at 6:15. Dallas goes for a run at 16:00. The only person that goes for a run in the evening is","['Joy', 'Frank', 'Dallas']",06:15:00,6:15,Frank,evening,morning,3,1,143,147
Jack,20:15:00,Max,10:45:00,Blake,03:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack takes a shower at 20:15. Max takes a shower at 10:45. Blake takes a shower at 3:15. The only person that takes a shower in the morning is","['Jack', 'Max', 'Blake']",20:15:00,20:15,Jack,morning,evening,1,3,113,118
Charlie,04:00:00,Alice,06:15:00,Rachel,20:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Charlie calls a friend at 4:00. Alice calls a friend at 6:15. Rachel calls a friend at 20:15. The only person that calls a friend in the morning is","['Charlie', 'Alice', 'Rachel']",20:15:00,20:15,Rachel,morning,evening,1,3,177,182
Neil,10:00:00,Martin,17:45:00,Walker,13:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Neil packs the bag at 10:00. Martin packs the bag at 17:45. Walker packs the bag at 13:15. The only person that packs the bag in the morning is","['Neil', 'Martin', 'Walker']",17:45:00,17:45,Martin,morning,afternoon,1,2,143,148
Frank,11:15:00,Connor,23:15:00,Alice,02:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Frank drinks water at 11:15. Connor drinks water at 23:15. Alice drinks water at 2:45. The only person that drinks water in the night is","['Frank', 'Connor', 'Alice']",11:15:00,11:15,Frank,night,morning,0,1,112,117
Connor,02:15:00,Maria,15:45:00,Scott,05:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Connor washes the dishes at 2:15. Maria washes the dishes at 15:45. Scott washes the dishes at 5:15. The only person that washes the dishes in the afternoon is","['Connor', 'Maria', 'Scott']",02:15:00,2:15,Connor,afternoon,night,2,0,118,122
Marco,12:15:00,Joy,15:00:00,Jerry,22:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Marco makes a phone call at 12:15. Joy makes a phone call at 15:00. Jerry makes a phone call at 22:15. The only person that makes a phone call in the morning is","['Marco', 'Joy', 'Jerry']",22:15:00,22:15,Jerry,morning,evening,1,3,186,191
Josh,10:30:00,Aaron,07:30:00,Joy,10:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Josh plays video games at 10:30. Aaron plays video games at 7:30. Joy plays video games at 10:15. The only person that plays video games in the evening is","['Josh', 'Aaron', 'Joy']",07:30:00,7:30,Aaron,evening,morning,3,1,150,154
Joy,14:15:00,Robert,23:00:00,Connor,02:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Joy wakes up at 14:15. Robert wakes up at 23:00. Connor wakes up at 2:15. The only person that wakes up in the night is","['Joy', 'Robert', 'Connor']",14:15:00,14:15,Joy,night,afternoon,0,2,106,111
Michael,03:30:00,Henry,04:15:00,Marco,23:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Michael drinks tea at 3:30. Henry drinks tea at 4:15. Marco drinks tea at 23:15. The only person that drinks tea in the evening is","['Michael', 'Henry', 'Marco']",04:15:00,4:15,Henry,evening,night,3,0,138,142
Leon,19:45:00,Brandon,12:45:00,Blake,11:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Leon looks at social media at 19:45. Brandon looks at social media at 12:45. Blake looks at social media at 11:30. The only person that looks at social media in the morning is","['Leon', 'Brandon', 'Blake']",19:45:00,19:45,Leon,morning,evening,1,3,120,125
Josh,23:30:00,Hunter,23:15:00,Matt,18:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Josh reads a novel at 23:30. Hunter reads a novel at 23:15. Matt reads a novel at 18:30. The only person that reads a novel in the morning is","['Josh', 'Hunter', 'Matt']",18:30:00,18:30,Matt,morning,evening,1,3,172,177
Maria,11:15:00,Dallas,22:45:00,Jack,18:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Maria prepares food at 11:15. Dallas prepares food at 22:45. Jack prepares food at 18:45. The only person that prepares food in the night is","['Maria', 'Dallas', 'Jack']",11:15:00,11:15,Maria,night,morning,0,1,113,118
Jack,13:45:00,April,19:15:00,Max,23:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack eats a meal at 13:45. April eats a meal at 19:15. Max eats a meal at 23:30. The only person that eats a meal in the night is","['Jack', 'April', 'Max']",13:45:00,13:45,Jack,night,afternoon,0,2,110,115
Michael,18:15:00,Maria,19:45:00,Matt,03:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Michael goes for a walk at 18:15. Maria goes for a walk at 19:45. Matt goes for a walk at 3:00. The only person that goes for a walk in the afternoon is","['Michael', 'Maria', 'Matt']",03:00:00,3:00,Matt,afternoon,night,2,0,180,184
Peter,01:00:00,Josh,08:30:00,Blake,11:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Peter wakes up at 1:00. Josh wakes up at 8:30. Blake wakes up at 11:30. The only person that wakes up in the afternoon is","['Peter', 'Josh', 'Blake']",01:00:00,1:00,Peter,afternoon,night,2,0,108,112
Max,23:30:00,Bob,19:30:00,Neil,11:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Max washes the dishes at 23:30. Bob washes the dishes at 19:30. Neil washes the dishes at 11:45. The only person that washes the dishes in the afternoon is","['Max', 'Bob', 'Neil']",23:30:00,23:30,Max,afternoon,evening,2,3,115,120
Alex,04:45:00,Jack,07:45:00,Aaron,18:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Alex meditates at 4:45. Jack meditates at 7:45. Aaron meditates at 18:00. The only person that meditates in the morning is","['Alex', 'Jack', 'Aaron']",18:00:00,18:00,Aaron,morning,evening,1,3,157,162
Rachel,18:45:00,Laura,04:00:00,Max,10:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Rachel tidies up the room at 18:45. Laura tidies up the room at 4:00. Max tidies up the room at 10:45. The only person that tidies up the room in the morning is","['Rachel', 'Laura', 'Max']",18:45:00,18:45,Rachel,morning,evening,1,3,119,124
Mark,02:15:00,Kevin,08:15:00,Bob,03:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Mark drinks tea at 2:15. Kevin drinks tea at 8:15. Bob drinks tea at 3:30. The only person that drinks tea in the evening is","['Mark', 'Kevin', 'Bob']",08:15:00,8:15,Kevin,evening,morning,3,1,135,139
Marco,23:15:00,Alex,18:00:00,Emily,12:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Marco listens to music at 23:15. Alex listens to music at 18:00. Emily listens to music at 12:15. The only person that listens to music in the afternoon is","['Marco', 'Alex', 'Emily']",23:15:00,23:15,Marco,afternoon,evening,2,3,116,121
Henry,15:45:00,Jason,14:15:00,Hunter,22:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Henry leaves for work at 15:45. Jason leaves for work at 14:15. Hunter leaves for work at 22:45. The only person that leaves for work in the afternoon is","['Henry', 'Jason', 'Hunter']",22:45:00,22:45,Hunter,afternoon,evening,2,3,180,185
Marco,21:45:00,Brandon,23:00:00,Connor,21:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Marco reads a novel at 21:45. Brandon reads a novel at 23:00. Connor reads a novel at 21:15. The only person that reads a novel in the afternoon is","['Marco', 'Brandon', 'Connor']",23:00:00,23:00,Brandon,afternoon,evening,2,3,145,150
Rose,04:45:00,Kyle,17:30:00,Scott,20:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Rose goes for a walk at 4:45. Kyle goes for a walk at 17:30. Scott goes for a walk at 20:30. The only person that goes for a walk in the evening is","['Rose', 'Kyle', 'Scott']",04:45:00,4:45,Rose,evening,night,3,0,114,118
Bob,14:15:00,Ian,16:30:00,Dallas,20:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Bob reads the mail at 14:15. Ian reads the mail at 16:30. Dallas reads the mail at 20:15. The only person that reads the mail in the morning is","['Bob', 'Ian', 'Dallas']",20:15:00,20:15,Dallas,morning,evening,1,3,173,178
Jason,18:30:00,Kevin,01:15:00,George,09:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jason goes for a run at 18:30. Kevin goes for a run at 1:15. George goes for a run at 9:15. The only person that goes for a run in the morning is","['Jason', 'Kevin', 'George']",18:30:00,18:30,Jason,morning,evening,1,3,114,119
Luke,22:30:00,Rose,12:30:00,Andrew,14:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Luke listens to a podcast at 22:30. Rose listens to a podcast at 12:30. Andrew listens to a podcast at 14:30. The only person that listens to a podcast in the afternoon is","['Luke', 'Rose', 'Andrew']",22:30:00,22:30,Luke,afternoon,evening,2,3,119,124
Luke,21:00:00,Laura,11:00:00,Joy,23:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Luke wakes up at 21:00. Laura wakes up at 11:00. Joy wakes up at 23:30. The only person that wakes up in the morning is","['Luke', 'Laura', 'Joy']",21:00:00,21:00,Luke,morning,evening,1,3,107,112
Leon,18:30:00,Alex,18:45:00,Mark,09:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Leon loads the laundry at 18:30. Alex loads the laundry at 18:45. Mark loads the laundry at 9:30. The only person that loads the laundry in the night is","['Leon', 'Alex', 'Mark']",09:30:00,9:30,Mark,night,morning,0,1,182,186
William,13:00:00,Hunter,20:00:00,Marco,01:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. William rides a bike at 13:00. Hunter rides a bike at 20:00. Marco rides a bike at 1:00. The only person that rides a bike in the night is","['William', 'Hunter', 'Marco']",13:00:00,13:00,William,night,afternoon,0,2,114,119
Henry,04:15:00,Jerry,12:30:00,Aaron,16:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Henry uses the computer at 4:15. Jerry uses the computer at 12:30. Aaron uses the computer at 16:15. The only person that uses the computer in the evening is","['Henry', 'Jerry', 'Aaron']",04:15:00,4:15,Henry,evening,night,3,0,117,121
Kyle,12:15:00,Maria,07:45:00,Alex,07:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Kyle eats a meal at 12:15. Maria eats a meal at 7:45. Alex eats a meal at 7:15. The only person that eats a meal in the night is","['Kyle', 'Maria', 'Alex']",12:15:00,12:15,Kyle,night,afternoon,0,2,110,115
Luke,14:15:00,Rachel,18:45:00,Peter,21:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Luke packs the bag at 14:15. Rachel packs the bag at 18:45. Peter packs the bag at 21:30. The only person that packs the bag in the night is","['Luke', 'Rachel', 'Peter']",14:15:00,14:15,Luke,night,afternoon,0,2,112,117
Andrew,08:15:00,Leon,05:15:00,Marco,17:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Andrew wakes up at 8:15. Leon wakes up at 5:15. Marco wakes up at 17:00. The only person that wakes up in the morning is","['Andrew', 'Leon', 'Marco']",17:00:00,17:00,Marco,morning,afternoon,1,2,72,77
Frank,20:00:00,Grant,14:00:00,Dallas,16:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Frank calls a friend at 20:00. Grant calls a friend at 14:00. Dallas calls a friend at 16:00. The only person that calls a friend in the morning is","['Frank', 'Grant', 'Dallas']",20:00:00,20:00,Frank,morning,evening,1,3,114,119
Martin,03:45:00,Alice,16:00:00,Frank,06:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Martin prepares for work at 3:45. Alice prepares for work at 16:00. Frank prepares for work at 6:15. The only person that prepares for work in the night is","['Martin', 'Alice', 'Frank']",16:00:00,16:00,Alice,night,afternoon,0,2,151,156
Henry,00:15:00,George,20:45:00,Marco,23:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Henry calls their partner at 00:15. George calls their partner at 20:45. Marco calls their partner at 23:15. The only person that calls their partner in the morning is","['Henry', 'George', 'Marco']",20:45:00,20:45,George,morning,evening,1,3,156,161
Martin,12:15:00,Frank,03:30:00,Grant,14:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Martin listens to a podcast at 12:15. Frank listens to a podcast at 3:30. Grant listens to a podcast at 14:00. The only person that listens to a podcast in the afternoon is","['Martin', 'Frank', 'Grant']",03:30:00,3:30,Frank,afternoon,night,2,0,158,162
Maria,17:00:00,Brandon,18:00:00,Emily,14:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Maria eats a meal at 17:00. Brandon eats a meal at 18:00. Emily eats a meal at 14:45. The only person that eats a meal in the night is","['Maria', 'Brandon', 'Emily']",14:45:00,14:45,Emily,night,afternoon,0,2,169,174
Luke,18:00:00,Emily,10:45:00,Henry,11:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Luke looks at social media at 18:00. Emily looks at social media at 10:45. Henry looks at social media at 11:45. The only person that looks at social media in the morning is","['Luke', 'Emily', 'Henry']",18:00:00,18:00,Luke,morning,evening,1,3,120,125
Michael,20:45:00,Max,15:45:00,Rachel,16:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Michael checks the news at 20:45. Max checks the news at 15:45. Rachel checks the news at 16:00. The only person that checks the news in the morning is","['Michael', 'Max', 'Rachel']",20:45:00,20:45,Michael,morning,evening,1,3,117,122
Laura,16:15:00,Josh,07:00:00,Bob,00:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Laura watches a movie at 16:15. Josh watches a movie at 7:00. Bob watches a movie at 00:45. The only person that watches a movie in the night is","['Laura', 'Josh', 'Bob']",16:15:00,16:15,Laura,night,afternoon,0,2,115,120
Hope,03:30:00,Henry,08:45:00,John,10:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Hope eats a meal at 3:30. Henry eats a meal at 8:45. John eats a meal at 10:00. The only person that eats a meal in the afternoon is","['Hope', 'Henry', 'John']",03:30:00,3:30,Hope,afternoon,night,2,0,110,114
Henry,00:15:00,Jerry,10:30:00,Walker,09:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Henry does yoga at 00:15. Jerry does yoga at 10:30. Walker does yoga at 9:30. The only person that does yoga in the afternoon is","['Henry', 'Jerry', 'Walker']",00:15:00,0:15,Henry,afternoon,night,2,0,110,114
Max,13:00:00,Martin,23:00:00,Jason,19:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Max reads the mail at 13:00. Martin reads the mail at 23:00. Jason reads the mail at 19:15. The only person that reads the mail in the night is","['Max', 'Martin', 'Jason']",13:00:00,13:00,Max,night,afternoon,0,2,112,117
Richard,18:45:00,Ian,16:30:00,Laura,02:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Richard reads a book at 18:45. Ian reads a book at 16:30. Laura reads a book at 2:15. The only person that reads a book in the morning is","['Richard', 'Ian', 'Laura']",18:45:00,18:45,Richard,morning,evening,1,3,114,119
Leon,02:00:00,Fred,13:30:00,Connor,20:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Leon drinks coffee at 2:00. Fred drinks coffee at 13:30. Connor drinks coffee at 20:45. The only person that drinks coffee in the afternoon is","['Leon', 'Fred', 'Connor']",02:00:00,2:00,Leon,afternoon,night,2,0,112,116
Leon,20:30:00,Frank,03:30:00,Connor,09:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Leon checks the stock market at 20:30. Frank checks the stock market at 3:30. Connor checks the stock market at 9:30. The only person that checks the stock market in the morning is","['Leon', 'Frank', 'Connor']",20:30:00,20:30,Leon,morning,evening,1,3,122,127
John,11:45:00,April,05:30:00,Rachel,18:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. John reads a book at 11:45. April reads a book at 5:30. Rachel reads a book at 18:30. The only person that reads a book in the night is","['John', 'April', 'Rachel']",11:45:00,11:45,John,night,morning,0,1,111,116
Blake,13:15:00,Peter,12:30:00,Jack,19:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Blake reads a novel at 13:15. Peter reads a novel at 12:30. Jack reads a novel at 19:15. The only person that reads a novel in the morning is","['Blake', 'Peter', 'Jack']",19:15:00,19:15,Jack,morning,evening,1,3,172,177
Jerry,04:45:00,Max,06:30:00,Jack,13:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jerry uses the computer at 4:45. Max uses the computer at 6:30. Jack uses the computer at 13:15. The only person that uses the computer in the night is","['Jerry', 'Max', 'Jack']",13:15:00,13:15,Jack,night,afternoon,0,2,180,185
Emily,09:00:00,Dallas,18:30:00,Dean,10:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Emily goes for a walk at 9:00. Dallas goes for a walk at 18:30. Dean goes for a walk at 10:15. The only person that goes for a walk in the morning is","['Emily', 'Dallas', 'Dean']",18:30:00,18:30,Dallas,morning,evening,1,3,147,152
Bob,10:30:00,Kevin,05:00:00,Connor,03:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Bob checks the news at 10:30. Kevin checks the news at 5:00. Connor checks the news at 3:00. The only person that checks the news in the night is","['Bob', 'Kevin', 'Connor']",10:30:00,10:30,Bob,night,morning,0,1,113,118
Walker,21:45:00,Josh,08:30:00,Emily,08:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Walker prepares food at 21:45. Josh prepares food at 8:30. Emily prepares food at 8:45. The only person that prepares food in the morning is","['Walker', 'Josh', 'Emily']",21:45:00,21:45,Walker,morning,evening,1,3,114,119
Ian,16:30:00,Michael,16:00:00,Grant,07:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Ian plays a musical instrument at 16:30. Michael plays a musical instrument at 16:00. Grant plays a musical instrument at 7:30. The only person that plays a musical instrument in the evening is","['Ian', 'Michael', 'Grant']",07:30:00,7:30,Grant,evening,morning,3,1,212,216
Kyle,17:30:00,Max,09:45:00,Matt,16:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Kyle eats a meal at 17:30. Max eats a meal at 9:45. Matt eats a meal at 16:30. The only person that eats a meal in the morning is","['Kyle', 'Max', 'Matt']",17:30:00,17:30,Kyle,morning,afternoon,1,2,110,115
Peter,21:15:00,Martin,23:00:00,Joy,22:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Peter looks at social media at 21:15. Martin looks at social media at 23:00. Joy looks at social media at 22:15. The only person that looks at social media in the afternoon is","['Peter', 'Martin', 'Joy']",23:00:00,23:00,Martin,afternoon,evening,2,3,160,165
Steve,07:00:00,Alice,19:00:00,Leon,10:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Steve goes to bed at 7:00. Alice goes to bed at 19:00. Leon goes to bed at 10:30. The only person that goes to bed in the evening is","['Steve', 'Alice', 'Leon']",07:00:00,7:00,Steve,evening,morning,3,1,73,77
Bob,19:30:00,Leon,05:45:00,William,23:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Bob drinks tea at 19:30. Leon drinks tea at 5:45. William drinks tea at 23:00. The only person that drinks tea in the morning is","['Bob', 'Leon', 'William']",19:30:00,19:30,Bob,morning,evening,1,3,108,113
Fred,08:45:00,Walker,20:00:00,Steve,17:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Fred prepares for bed at 8:45. Walker prepares for bed at 20:00. Steve prepares for bed at 17:45. The only person that prepares for bed in the evening is","['Fred', 'Walker', 'Steve']",08:45:00,8:45,Fred,evening,morning,3,1,115,119
Bob,09:45:00,Max,03:45:00,Robert,07:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Bob takes a break at 9:45. Max takes a break at 3:45. Robert takes a break at 7:00. The only person that takes a break in the night is","['Bob', 'Max', 'Robert']",09:45:00,9:45,Bob,night,morning,0,1,111,115
Dean,18:45:00,Walker,12:15:00,Alex,18:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Dean eats a meal at 18:45. Walker eats a meal at 12:15. Alex eats a meal at 18:00. The only person that eats a meal in the night is","['Dean', 'Walker', 'Alex']",12:15:00,12:15,Walker,night,afternoon,0,2,139,144
Jack,17:45:00,Laura,10:00:00,Frank,20:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack naps at 17:45. Laura naps at 10:00. Frank naps at 20:00. The only person that naps in the night is","['Jack', 'Laura', 'Frank']",10:00:00,10:00,Laura,night,morning,0,1,124,129
Jack,07:45:00,Martin,01:15:00,April,05:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack reads the mail at 7:45. Martin reads the mail at 1:15. April reads the mail at 5:00. The only person that reads the mail in the afternoon is","['Jack', 'Martin', 'April']",01:15:00,1:15,Martin,afternoon,night,2,0,144,148
Scott,14:45:00,Blake,05:45:00,Hunter,23:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Scott listens to music at 14:45. Blake listens to music at 5:45. Hunter listens to music at 23:30. The only person that listens to music in the night is","['Scott', 'Blake', 'Hunter']",14:45:00,14:45,Scott,night,afternoon,0,2,116,121
Martin,23:30:00,John,07:15:00,Kevin,00:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Martin uses the phone at 23:30. John uses the phone at 7:15. Kevin uses the phone at 00:30. The only person that uses the phone in the evening is","['Martin', 'John', 'Kevin']",07:15:00,7:15,John,evening,morning,3,1,145,149
Martin,23:30:00,Michael,11:15:00,Mark,02:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Martin plays a musical instrument at 23:30. Michael plays a musical instrument at 11:15. Mark plays a musical instrument at 2:30. The only person that plays a musical instrument in the night is","['Martin', 'Michael', 'Mark']",11:15:00,11:15,Michael,night,morning,0,1,172,177
Aaron,00:45:00,Max,10:45:00,Alice,22:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Aaron does some chores at 00:45. Max does some chores at 10:45. Alice does some chores at 22:00. The only person that does some chores in the afternoon is","['Aaron', 'Max', 'Alice']",00:45:00,0:45,Aaron,afternoon,night,2,0,117,121
Henry,14:15:00,Ian,02:30:00,Neil,01:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Henry washes the dishes at 14:15. Ian washes the dishes at 2:30. Neil washes the dishes at 1:30. The only person that washes the dishes in the night is","['Henry', 'Ian', 'Neil']",14:15:00,14:15,Henry,night,afternoon,0,2,117,122
Walker,16:30:00,Alice,23:15:00,Blake,12:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Walker uses the computer at 16:30. Alice uses the computer at 23:15. Blake uses the computer at 12:45. The only person that uses the computer in the afternoon is","['Walker', 'Alice', 'Blake']",23:15:00,23:15,Alice,afternoon,evening,2,3,152,157
Maria,13:00:00,Mark,23:00:00,Joy,09:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Maria reads the mail at 13:00. Mark reads the mail at 23:00. Joy reads the mail at 9:30. The only person that reads the mail in the afternoon is","['Maria', 'Mark', 'Joy']",23:00:00,23:00,Mark,afternoon,evening,2,3,144,149
Maria,23:15:00,Alex,07:15:00,Ian,11:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Maria washes the dishes at 23:15. Alex washes the dishes at 7:15. Ian washes the dishes at 11:45. The only person that washes the dishes in the afternoon is","['Maria', 'Alex', 'Ian']",23:15:00,23:15,Maria,afternoon,evening,2,3,117,122
