name_1,date_1,duration_str_1,name_2,date_2,duration_str_2,name_3,date_3,duration_str_3,context,duration_type,correct_date,correct_date_expr,correct_end_date,correct_duration,correct_duration_str,correct_duration_length,correct_month,correct_answer
Hunter,2019-02-07,7 days,Maria,2019-02-01,7 days,Fred,2019-02-23,30 days,Hunter's treatment begins on the 7th of February and is scheduled to last for 7 days. Maria's treatment begins on the 1st of February and is scheduled to last for 7 days. Fred's treatment begins on the 23rd of February and is scheduled to last for 30 days. The person whose treatment ends first is,weeks,2019-02-01,the 1st of February,2019-02-08,7 days,7 days,7,February,Maria
Jerry,2019-02-08,12 months,Robert,2019-01-26,18 months,Scott,2019-02-27,12 months,Jerry is beginning a research fellowship on the 8th of February and will last for 12 months. Robert is beginning a research fellowship on the 26th of January and will last for 18 months. Scott is beginning a research fellowship on the 27th of February and will last for 12 months. The person whose fellowship ends first is,years,2019-02-08,the 8th of February,2020-02-03,360 days,12 months,360,February,Jerry
Steve,2019-02-11,30 days,Rose,2019-01-18,3 weeks,Blake,2019-02-16,10 days,Steve's conference kicks off on the 11th of February and continues for 30 days. Rose's conference kicks off on the 18th of January and continues for 3 weeks. Blake's conference kicks off on the 16th of February and continues for 10 days. The person whose conference ends first is,weeks,2019-01-18,the 18th of January,2019-02-08,21 days,3 weeks,21,January,Rose
Laura,2019-02-25,3 years,Richard,2019-02-19,24 months,Steve,2019-02-04,4 years,Laura is starting a remote assignment on the 25th of February and will work for 3 years. Richard is starting a remote assignment on the 19th of February and will work for 24 months. Steve is starting a remote assignment on the 4th of February and will work for 4 years. The person whose remote work ends first is,years,2019-02-19,the 19th of February,2021-02-08,720 days,24 months,720,February,Richard
Blake,2019-01-13,7 days,Maria,2019-02-01,7 days,Mark,2019-01-21,14 days,"Blake is beginning a short course on the 13th of January, running over 7 days. Maria is beginning a short course on the 1st of February, running over 7 days. Mark is beginning a short course on the 21st of January, running over 14 days. The person whose course ends first is",weeks,2019-01-13,the 13th of January,2019-01-20,7 days,7 days,7,January,Blake
Rose,2019-01-18,3 weeks,Joy,2019-01-11,7 days,Fred,2019-01-25,4 weeks,Rose is taking a parenting leave starting on the 18th of January and it will last for 3 weeks. Joy is taking a parenting leave starting on the 11th of January and it will last for 7 days. Fred is taking a parenting leave starting on the 25th of January and it will last for 4 weeks. The person whose parenting leave ends first is,weeks,2019-01-11,the 11th of January,2019-01-18,7 days,7 days,7,January,Joy
Ian,2019-01-24,2 years,Robert,2019-01-26,18 months,Max,2019-02-15,3 years,Ian is moving abroad on the 24th of January and intends to stay for 2 years. Robert is moving abroad on the 26th of January and intends to stay for 18 months. Max is moving abroad on the 15th of February and intends to stay for 3 years. The person whose relocation ends first is,years,2019-01-26,the 26th of January,2020-07-19,540 days,18 months,540,January,Robert
Hunter,2019-02-07,7 days,Walker,2019-01-28,2 weeks,Jason,2019-02-26,14 days,Hunter's intensive course starts on the 7th of February and lasts for 7 days. Walker's intensive course starts on the 28th of January and lasts for 2 weeks. Jason's intensive course starts on the 26th of February and lasts for 14 days. The person whose intensive course ends first is,weeks,2019-01-28,the 28th of January,2019-02-11,14 days,2 weeks,14,January,Walker
Richard,2019-02-19,24 months,Emily,2019-02-21,36 months,Ryan,2019-02-17,4 years,Richard is starting a consultancy role on the 19th of February and will serve for 24 months. Emily is starting a consultancy role on the 21st of February and will serve for 36 months. Ryan is starting a consultancy role on the 17th of February and will serve for 4 years. The person whose consultancy ends first is,years,2019-02-19,the 19th of February,2021-02-08,720 days,24 months,720,February,Richard
Kyle,2019-02-09,7 days,Martin,2019-01-24,1 week,Blake,2019-01-13,7 days,Kyle is enrolled in a cooking class beginning on the 9th of February and lasting 7 days. Martin is enrolled in a cooking class beginning on the 24th of January and lasting 1 week. Blake is enrolled in a cooking class beginning on the 13th of January and lasting 7 days. The person whose cooking class ends first is,weeks,2019-01-13,the 13th of January,2019-01-20,7 days,7 days,7,January,Blake
Martin,2019-02-08,24 months,William,2019-01-14,2 years,Steve,2019-02-04,4 years,Martin is beginning a writing project on the 8th of February and will be working on it for 24 months. William is beginning a writing project on the 14th of January and will be working on it for 2 years. Steve is beginning a writing project on the 4th of February and will be working on it for 4 years. The person whose writing project ends first is,years,2019-01-14,the 14th of January,2021-01-13,730 days,2 years,730,January,William
Scott,2019-01-26,6 weeks,Charlie,2019-01-28,4 weeks,Walker,2019-01-20,8 months,"Scott starts a sabbatical on the 26th of January, which will continue for the next 6 weeks. Charlie starts a sabbatical on the 28th of January, which will continue for the next 4 weeks. Walker starts a sabbatical on the 20th of January, which will continue for the next 8 months. The person whose sabbatical ends first is",months,2019-01-28,the 28th of January,2019-02-25,28 days,4 weeks,28,January,Charlie
Blake,2019-01-13,7 days,George,2019-02-23,14 days,Hope,2019-01-05,7 days,Blake runs a festival booth on the 13th of January staying open for 7 days. George runs a festival booth on the 23rd of February staying open for 14 days. Hope runs a festival booth on the 5th of January staying open for 7 days. The person whose festival booth ends first is,weeks,2019-01-05,the 5th of January,2019-01-12,7 days,7 days,7,January,Hope
Jason,2019-02-26,14 days,Marco,2019-01-22,25 days,Rose,2019-01-18,3 weeks,"Jason is attending a first aid course on the 26th of February, lasting 14 days. Marco is attending a first aid course on the 22nd of January, lasting 25 days. Rose is attending a first aid course on the 18th of January, lasting 3 weeks. The person whose first aid course ends first is",weeks,2019-01-18,the 18th of January,2019-02-08,21 days,3 weeks,21,January,Rose
Brandon,2019-02-12,4 weeks,Kyle,2019-02-26,25 days,Blake,2019-02-19,10 days,Brandon's conference kicks off on the 12th of February and continues for 4 weeks. Kyle's conference kicks off on the 26th of February and continues for 25 days. Blake's conference kicks off on the 19th of February and continues for 10 days. The person whose conference ends first is,weeks,2019-02-19,the 19th of February,2019-03-01,10 days,10 days,10,February,Blake
Rose,2019-01-11,21 days,Aaron,2019-01-29,14 days,Neil,2019-02-12,10 days,Rose's conference kicks off on the 11th of January and continues for 21 days. Aaron's conference kicks off on the 29th of January and continues for 14 days. Neil's conference kicks off on the 12th of February and continues for 10 days. The person whose conference ends first is,weeks,2019-01-11,the 11th of January,2019-02-01,21 days,21 days,21,January,Rose
Jason,2019-02-26,14 days,Steve,2019-02-11,30 days,William,2019-02-07,7 days,Jason is starting their internship on the 26th of February and is set to run for 14 days. Steve is starting their internship on the 11th of February and is set to run for 30 days. William is starting their internship on the 7th of February and is set to run for 7 days. The person whose internship ends first is,weeks,2019-02-07,the 7th of February,2019-02-14,7 days,7 days,7,February,William
Rose,2019-01-11,21 days,Fred,2019-01-25,4 weeks,Tyler,2019-01-30,7 days,Rose's treatment begins on the 11th of January and is scheduled to last for 21 days. Fred's treatment begins on the 25th of January and is scheduled to last for 4 weeks. Tyler's treatment begins on the 30th of January and is scheduled to last for 7 days. The person whose treatment ends first is,weeks,2019-01-11,the 11th of January,2019-02-01,21 days,21 days,21,January,Rose
April,2019-02-05,10 days,Joy,2019-02-24,3 weeks,Robert,2019-02-18,2 weeks,April is going camping on the 5th of February and will be out for 10 days. Joy is going camping on the 24th of February and will be out for 3 weeks. Robert is going camping on the 18th of February and will be out for 2 weeks. The person whose camping ends first is,weeks,2019-02-05,the 5th of February,2019-02-15,10 days,10 days,10,February,April
Alex,2019-02-05,6 days,Josh,2019-02-15,10 days,Luke,2019-01-30,2 days,Alex is going camping on the 5th of February and will be out for 6 days. Josh is going camping on the 15th of February and will be out for 10 days. Luke is going camping on the 30th of January and will be out for 2 days. The person whose camping ends first is,days,2019-01-30,the 30th of January,2019-02-01,2 days,2 days,2,January,Luke
William,2019-02-07,7 days,Mark,2019-02-24,21 days,Max,2019-01-20,4 weeks,William is going on vacation starting on the 7th of February and will be away for 7 days. Mark is going on vacation starting on the 24th of February and will be away for 21 days. Max is going on vacation starting on the 20th of January and will be away for 4 weeks. The person whose vacation ends first is,weeks,2019-02-07,the 7th of February,2019-02-14,7 days,7 days,7,February,William
Steve,2019-01-15,24 months,Emily,2019-02-21,36 months,Max,2019-02-04,24 months,Steve's probation period starts on the 15th of January and will complete it in 24 months. Emily's probation period starts on the 21st of February and will complete it in 36 months. Max's probation period starts on the 4th of February and will complete it in 24 months. The person whose probation period ends first is,years,2019-01-15,the 15th of January,2021-01-04,720 days,24 months,720,January,Steve
Michael,2019-02-08,6 days,Maria,2019-01-20,5 days,Kyle,2019-01-13,3 days,"Michael is beginning a short course on the 8th of February, running over 6 days. Maria is beginning a short course on the 20th of January, running over 5 days. Kyle is beginning a short course on the 13th of January, running over 3 days. The person whose course ends first is",days,2019-01-13,the 13th of January,2019-01-16,3 days,3 days,3,January,Kyle
George,2019-01-24,4 years,Fred,2019-02-13,1 year,Brandon,2019-01-07,18 months,"George begins a renovation project on the 24th of January, scheduled to take 4 years to complete. Fred begins a renovation project on the 13th of February, scheduled to take 1 year to complete. Brandon begins a renovation project on the 7th of January, scheduled to take 18 months to complete. The person whose renovation project ends first is",years,2019-02-13,the 13th of February,2020-02-13,365 days,1 year,365,February,Fred
Emily,2019-02-21,36 months,Max,2019-02-15,3 years,Jerry,2019-01-17,36 months,Emily's subscription starts on the 21st of February and lasts for 36 months. Max's subscription starts on the 15th of February and lasts for 3 years. Jerry's subscription starts on the 17th of January and lasts for 36 months. The person whose subscription ends first is,years,2019-01-17,the 17th of January,2022-01-01,1080 days,36 months,1080,January,Jerry
Dallas,2019-01-02,6 days,William,2019-01-27,1 day,Dean,2019-02-26,1 day,"Dallas is beginning a sailing trip on the 2nd of January, lasting roughly 6 days. William is beginning a sailing trip on the 27th of January, lasting roughly 1 day. Dean is beginning a sailing trip on the 26th of February, lasting roughly 1 day. The person whose sailing trip ends first is",days,2019-01-02,the 2nd of January,2019-01-08,6 days,6 days,6,January,Dallas
George,2019-01-15,14 days,Hope,2019-02-01,1 week,April,2019-02-05,10 days,"George starts a data science course on the 15th of January, continuing for 14 days. Hope starts a data science course on the 1st of February, continuing for 1 week. April starts a data science course on the 5th of February, continuing for 10 days. The person whose data science course ends first is",weeks,2019-01-15,the 15th of January,2019-01-29,14 days,14 days,14,January,George
Blake,2019-01-13,7 days,Joy,2019-01-11,7 days,April,2019-02-05,10 days,Blake is starting a volunteer program on the 13th of January and will be active for 7 days. Joy is starting a volunteer program on the 11th of January and will be active for 7 days. April is starting a volunteer program on the 5th of February and will be active for 10 days. The person whose volunteer program ends first is,weeks,2019-01-11,the 11th of January,2019-01-18,7 days,7 days,7,January,Joy
Ryan,2019-01-31,5 days,Rachel,2019-01-08,2 days,Michael,2019-02-08,6 days,Ryan's music tour starts on the 31st of January and lasts for 5 days. Rachel's music tour starts on the 8th of January and lasts for 2 days. Michael's music tour starts on the 8th of February and lasts for 6 days. The person whose music tour ends first is,days,2019-01-08,the 8th of January,2019-01-10,2 days,2 days,2,January,Rachel
Jack,2019-01-17,3 weeks,Rose,2019-01-18,3 weeks,Kyle,2019-02-26,25 days,Jack is starting a community service project on the 17th of January and will be involved for 3 weeks. Rose is starting a community service project on the 18th of January and will be involved for 3 weeks. Kyle is starting a community service project on the 26th of February and will be involved for 25 days. The person whose community service ends first is,weeks,2019-01-17,the 17th of January,2019-02-07,21 days,3 weeks,21,January,Jack
Michael,2019-02-08,6 days,George,2019-02-23,3 days,Rose,2019-01-13,7 days,"Michael is beginning a short course on the 8th of February, running over 6 days. George is beginning a short course on the 23rd of February, running over 3 days. Rose is beginning a short course on the 13th of January, running over 7 days. The person whose course ends first is",days,2019-01-13,the 13th of January,2019-01-20,7 days,7 days,7,January,Rose
Brandon,2019-02-12,4 weeks,Jack,2019-01-02,25 days,Hunter,2019-02-07,7 days,Brandon runs a festival booth on the 12th of February staying open for 4 weeks. Jack runs a festival booth on the 2nd of January staying open for 25 days. Hunter runs a festival booth on the 7th of February staying open for 7 days. The person whose festival booth ends first is,weeks,2019-01-02,the 2nd of January,2019-01-27,25 days,25 days,25,January,Jack
Tyler,2019-01-30,7 days,Hunter,2019-02-07,7 days,Jack,2019-01-17,3 weeks,Tyler is going on vacation starting on the 30th of January and will be away for 7 days. Hunter is going on vacation starting on the 7th of February and will be away for 7 days. Jack is going on vacation starting on the 17th of January and will be away for 3 weeks. The person whose vacation ends first is,weeks,2019-01-30,the 30th of January,2019-02-06,7 days,7 days,7,January,Tyler
Hunter,2019-01-09,18 months,Martin,2019-02-08,24 months,Richard,2019-02-19,24 months,"Hunter begins their employment contract on the 9th of January, with a term of 18 months. Martin begins their employment contract on the 8th of February, with a term of 24 months. Richard begins their employment contract on the 19th of February, with a term of 24 months. The person whose employment contract ends first is",years,2019-01-09,the 9th of January,2020-07-02,540 days,18 months,540,January,Hunter
Max,2019-02-15,3 years,Hunter,2019-01-09,18 months,Steve,2019-02-04,4 years,Max is starting a language course on the 15th of February and will last for 3 years. Hunter is starting a language course on the 9th of January and will last for 18 months. Steve is starting a language course on the 4th of February and will last for 4 years. The person whose language course ends first is,years,2019-01-09,the 9th of January,2020-07-02,540 days,18 months,540,January,Hunter
Tyler,2019-01-30,7 days,Hope,2019-01-11,2 weeks,Robert,2019-02-13,21 days,Tyler leaves for a retreat on the 30th of January and will be away for 7 days. Hope leaves for a retreat on the 11th of January and will be away for 2 weeks. Robert leaves for a retreat on the 13th of February and will be away for 21 days. The person whose retreat ends first is,weeks,2019-01-11,the 11th of January,2019-01-25,14 days,2 weeks,14,January,Hope
Aaron,2019-02-11,30 days,Blake,2019-02-19,10 days,Neil,2019-02-12,10 days,Aaron runs a festival booth on the 11th of February staying open for 30 days. Blake runs a festival booth on the 19th of February staying open for 10 days. Neil runs a festival booth on the 12th of February staying open for 10 days. The person whose festival booth ends first is,weeks,2019-02-12,the 12th of February,2019-02-22,10 days,10 days,10,February,Neil
Leon,2019-02-11,5 days,Alex,2019-01-18,8 days,Maria,2019-02-28,3 days,"Leon is starting a coding sprint on the 11th of February, running for 5 days. Alex is starting a coding sprint on the 18th of January, running for 8 days. Maria is starting a coding sprint on the 28th of February, running for 3 days. The person whose coding sprint ends first is",days,2019-01-18,the 18th of January,2019-01-26,8 days,8 days,8,January,Alex
George,2019-02-27,2 days,April,2019-01-08,7 days,Charlie,2019-02-19,6 days,George is going on a road trip starting on the 27th of February and will be traveling for 2 days. April is going on a road trip starting on the 8th of January and will be traveling for 7 days. Charlie is going on a road trip starting on the 19th of February and will be traveling for 6 days. The person whose road trip ends first is,days,2019-01-08,the 8th of January,2019-01-15,7 days,7 days,7,January,April
Marco,2019-01-14,21 days,Jack,2019-01-17,3 weeks,Blake,2019-02-19,10 days,Marco is starting a mentorship program on the 14th of January and will be engaged for 21 days. Jack is starting a mentorship program on the 17th of January and will be engaged for 3 weeks. Blake is starting a mentorship program on the 19th of February and will be engaged for 10 days. The person whose mentorship program ends first is,weeks,2019-01-14,the 14th of January,2019-02-04,21 days,21 days,21,January,Marco
Fred,2019-02-23,30 days,Marco,2019-01-25,14 days,Max,2019-01-01,4 weeks,Fred is taking a parenting leave starting on the 23rd of February and it will last for 30 days. Marco is taking a parenting leave starting on the 25th of January and it will last for 14 days. Max is taking a parenting leave starting on the 1st of January and it will last for 4 weeks. The person whose parenting leave ends first is,weeks,2019-01-01,the 1st of January,2019-01-29,28 days,4 weeks,28,January,Max
Maria,2019-02-01,7 days,Blake,2019-02-16,10 days,Martin,2019-01-24,1 week,Maria's trial period begins on the 1st of February and lasts for 7 days. Blake's trial period begins on the 16th of February and lasts for 10 days. Martin's trial period begins on the 24th of January and lasts for 1 week. The person whose trial period ends first is,weeks,2019-01-24,the 24th of January,2019-01-31,7 days,1 week,7,January,Martin
Maria,2019-02-01,7 days,Robert,2019-02-13,21 days,Neil,2019-02-12,10 days,Maria's conference kicks off on the 1st of February and continues for 7 days. Robert's conference kicks off on the 13th of February and continues for 21 days. Neil's conference kicks off on the 12th of February and continues for 10 days. The person whose conference ends first is,weeks,2019-02-01,the 1st of February,2019-02-08,7 days,7 days,7,February,Maria
Luke,2019-02-12,2 years,Martin,2019-02-08,24 months,Fred,2019-02-13,1 year,Luke's subscription starts on the 12th of February and lasts for 2 years. Martin's subscription starts on the 8th of February and lasts for 24 months. Fred's subscription starts on the 13th of February and lasts for 1 year. The person whose subscription ends first is,years,2019-02-13,the 13th of February,2020-02-13,365 days,1 year,365,February,Fred
Mark,2019-01-23,2 months,April,2019-01-08,2 months,Rose,2019-01-11,8 weeks,Mark's treatment begins on the 23rd of January and is scheduled to last for 2 months. April's treatment begins on the 8th of January and is scheduled to last for 2 months. Rose's treatment begins on the 11th of January and is scheduled to last for 8 weeks. The person whose treatment ends first is,months,2019-01-11,the 11th of January,2019-03-08,56 days,8 weeks,56,January,Rose
Hope,2019-02-01,1 week,Walker,2019-01-28,2 weeks,Joy,2019-01-11,7 days,Hope is taking a parenting leave starting on the 1st of February and it will last for 1 week. Walker is taking a parenting leave starting on the 28th of January and it will last for 2 weeks. Joy is taking a parenting leave starting on the 11th of January and it will last for 7 days. The person whose parenting leave ends first is,weeks,2019-01-11,the 11th of January,2019-01-18,7 days,7 days,7,January,Joy
Mark,2019-02-24,21 days,Jason,2019-02-26,14 days,Jack,2019-01-02,25 days,Mark's intensive course starts on the 24th of February and lasts for 21 days. Jason's intensive course starts on the 26th of February and lasts for 14 days. Jack's intensive course starts on the 2nd of January and lasts for 25 days. The person whose intensive course ends first is,weeks,2019-01-02,the 2nd of January,2019-01-27,25 days,25 days,25,January,Jack
Blake,2019-02-19,10 days,Aaron,2019-01-29,14 days,William,2019-02-07,7 days,Blake is starting a language course on the 19th of February and will last for 10 days. Aaron is starting a language course on the 29th of January and will last for 14 days. William is starting a language course on the 7th of February and will last for 7 days. The person whose language course ends first is,weeks,2019-01-29,the 29th of January,2019-02-12,14 days,14 days,14,January,Aaron
Dean,2019-01-19,10 weeks,Jack,2019-01-02,1 month,William,2019-01-16,10 weeks,Dean is starting a community service project on the 19th of January and will be involved for 10 weeks. Jack is starting a community service project on the 2nd of January and will be involved for 1 month. William is starting a community service project on the 16th of January and will be involved for 10 weeks. The person whose community service ends first is,months,2019-01-02,the 2nd of January,2019-02-01,30 days,1 month,30,January,Jack
Dallas,2019-02-24,8 days,Rachel,2019-01-08,2 days,Fred,2019-02-10,8 days,"Dallas is starting a hiking expedition on the 24th of February, which will last for 8 days. Rachel is starting a hiking expedition on the 8th of January, which will last for 2 days. Fred is starting a hiking expedition on the 10th of February, which will last for 8 days. The person whose expedition ends first is",days,2019-01-08,the 8th of January,2019-01-10,2 days,2 days,2,January,Rachel
Marco,2019-01-14,10 weeks,Jason,2019-01-04,6 weeks,Laura,2019-01-18,10 weeks,Marco's probation period starts on the 14th of January and will complete it in 10 weeks. Jason's probation period starts on the 4th of January and will complete it in 6 weeks. Laura's probation period starts on the 18th of January and will complete it in 10 weeks. The person whose probation period ends first is,months,2019-01-04,the 4th of January,2019-02-15,42 days,6 weeks,42,January,Jason
Rose,2019-01-11,8 weeks,Ian,2019-01-26,4 weeks,Josh,2019-02-16,8 months,Rose's treatment begins on the 11th of January and is scheduled to last for 8 weeks. Ian's treatment begins on the 26th of January and is scheduled to last for 4 weeks. Josh's treatment begins on the 16th of February and is scheduled to last for 8 months. The person whose treatment ends first is,months,2019-01-26,the 26th of January,2019-02-23,28 days,4 weeks,28,January,Ian
Hope,2019-01-05,7 days,George,2019-01-26,30 days,Frank,2019-02-28,14 days,Hope is starting their internship on the 5th of January and is set to run for 7 days. George is starting their internship on the 26th of January and is set to run for 30 days. Frank is starting their internship on the 28th of February and is set to run for 14 days. The person whose internship ends first is,weeks,2019-01-05,the 5th of January,2019-01-12,7 days,7 days,7,January,Hope
Rose,2019-01-17,10 days,Connor,2019-02-15,4 days,Michael,2019-02-08,6 days,"Rose is beginning a short course on the 17th of January, running over 10 days. Connor is beginning a short course on the 15th of February, running over 4 days. Michael is beginning a short course on the 8th of February, running over 6 days. The person whose course ends first is",days,2019-01-17,the 17th of January,2019-01-27,10 days,10 days,10,January,Rose
Josh,2019-02-15,10 days,Neil,2019-02-16,7 days,Rose,2019-01-17,10 days,"Josh is beginning a short course on the 15th of February, running over 10 days. Neil is beginning a short course on the 16th of February, running over 7 days. Rose is beginning a short course on the 17th of January, running over 10 days. The person whose course ends first is",days,2019-01-17,the 17th of January,2019-01-27,10 days,10 days,10,January,Rose
Ryan,2019-02-17,4 years,Richard,2019-02-19,24 months,Luke,2019-02-12,2 years,Ryan's probation period starts on the 17th of February and will complete it in 4 years. Richard's probation period starts on the 19th of February and will complete it in 24 months. Luke's probation period starts on the 12th of February and will complete it in 2 years. The person whose probation period ends first is,years,2019-02-19,the 19th of February,2021-02-08,720 days,24 months,720,February,Richard
William,2019-02-07,7 days,Frank,2019-02-28,14 days,Hope,2019-01-11,2 weeks,"William starts a data science course on the 7th of February, continuing for 7 days. Frank starts a data science course on the 28th of February, continuing for 14 days. Hope starts a data science course on the 11th of January, continuing for 2 weeks. The person whose data science course ends first is",weeks,2019-01-11,the 11th of January,2019-01-25,14 days,2 weeks,14,January,Hope
Peter,2019-01-06,7 days,Matt,2019-02-17,3 days,Alex,2019-01-18,8 days,Peter leaves for a retreat on the 6th of January and will be away for 7 days. Matt leaves for a retreat on the 17th of February and will be away for 3 days. Alex leaves for a retreat on the 18th of January and will be away for 8 days. The person whose retreat ends first is,days,2019-01-06,the 6th of January,2019-01-13,7 days,7 days,7,January,Peter
Marco,2019-01-25,14 days,Hope,2019-01-05,7 days,Josh,2019-02-13,30 days,Marco is starting a language course on the 25th of January and will last for 14 days. Hope is starting a language course on the 5th of January and will last for 7 days. Josh is starting a language course on the 13th of February and will last for 30 days. The person whose language course ends first is,weeks,2019-01-05,the 5th of January,2019-01-12,7 days,7 days,7,January,Hope
Blake,2019-02-16,10 days,Tyler,2019-01-30,7 days,Frank,2019-02-28,14 days,"Blake is beginning a short course on the 16th of February, running over 10 days. Tyler is beginning a short course on the 30th of January, running over 7 days. Frank is beginning a short course on the 28th of February, running over 14 days. The person whose course ends first is",weeks,2019-01-30,the 30th of January,2019-02-06,7 days,7 days,7,January,Tyler
Josh,2019-01-31,25 days,Grant,2019-02-05,25 days,Tyler,2019-01-30,7 days,Josh is leaving for a business trip on the 31st of January and will be gone for 25 days. Grant is leaving for a business trip on the 5th of February and will be gone for 25 days. Tyler is leaving for a business trip on the 30th of January and will be gone for 7 days. The person whose business trip ends first is,weeks,2019-01-30,the 30th of January,2019-02-06,7 days,7 days,7,January,Tyler
Leon,2019-02-11,5 days,Alex,2019-02-05,6 days,Matt,2019-02-17,3 days,Leon is going camping on the 11th of February and will be out for 5 days. Alex is going camping on the 5th of February and will be out for 6 days. Matt is going camping on the 17th of February and will be out for 3 days. The person whose camping ends first is,days,2019-02-05,the 5th of February,2019-02-11,6 days,6 days,6,February,Alex
Marco,2019-01-14,21 days,Aaron,2019-02-11,30 days,Mark,2019-02-13,2 weeks,"Marco is attending a first aid course on the 14th of January, lasting 21 days. Aaron is attending a first aid course on the 11th of February, lasting 30 days. Mark is attending a first aid course on the 13th of February, lasting 2 weeks. The person whose first aid course ends first is",weeks,2019-01-14,the 14th of January,2019-02-04,21 days,21 days,21,January,Marco
Hope,2019-01-11,2 weeks,Marco,2019-01-22,25 days,Max,2019-01-20,4 weeks,Hope is taking a parenting leave starting on the 11th of January and it will last for 2 weeks. Marco is taking a parenting leave starting on the 22nd of January and it will last for 25 days. Max is taking a parenting leave starting on the 20th of January and it will last for 4 weeks. The person whose parenting leave ends first is,weeks,2019-01-11,the 11th of January,2019-01-25,14 days,2 weeks,14,January,Hope
Marco,2019-01-14,21 days,Blake,2019-02-16,10 days,Josh,2019-02-13,30 days,Marco is enrolled in a cooking class beginning on the 14th of January and lasting 21 days. Blake is enrolled in a cooking class beginning on the 16th of February and lasting 10 days. Josh is enrolled in a cooking class beginning on the 13th of February and lasting 30 days. The person whose cooking class ends first is,weeks,2019-01-14,the 14th of January,2019-02-04,21 days,21 days,21,January,Marco
