name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_og_season,correct_og_season_label,correct_answer
Leon,2019-09-08,Alice,2019-09-01,George,2019-02-09,"['Leon', 'Alice', 'George']",The following events take place in the southern hemisphere. Leon left for vacation on the 8th of September. Alice left for vacation on the 1st of September. George left for vacation on the 9th of February. The only person that left for vacation in summer is,2019-02-09,9th of February,summer,2,winter,0,George
Grant,2019-07-25,Richard,2019-01-05,Charlie,2019-07-26,"['Grant', 'Richard', 'Charlie']",The following events take place in the southern hemisphere. Grant went to a French restaurant on the 25th of July. Richard went to a French restaurant on the 5th of January. Charlie went to a French restaurant on the 26th of July. The only person that went to a French restaurant in summer is,2019-01-05,5th of January,summer,2,winter,0,Richard
Marco,2019-12-13,Maria,2019-01-02,Connor,2019-01-15,"['Marco', 'Maria', 'Connor']",The following events take place in the southern hemisphere. Marco got a massage on the 13th of December. Maria got a massage on the 2nd of January. Connor got a massage on the 15th of January. The only person that got a massage in spring is,2019-12-13,13th of December,spring,1,fall,3,Marco
Andrew,2019-05-06,Martin,2019-08-09,Aaron,2019-02-13,"['Andrew', 'Martin', 'Aaron']",The following events take place in the southern hemisphere. Andrew sent a postcard on the 6th of May. Martin sent a postcard on the 9th of August. Aaron sent a postcard on the 13th of February. The only person that sent a postcard in fall is,2019-05-06,6th of May,fall,3,spring,1,Andrew
Henry,2019-04-30,Connor,2019-09-11,Michael,2019-10-11,"['Henry', 'Connor', 'Michael']",The following events take place in the southern hemisphere. Henry donated clothes on the 30th of April. Connor donated clothes on the 11th of September. Michael donated clothes on the 11th of October. The only person that donated clothes in fall is,2019-04-30,30th of April,fall,3,spring,1,Henry
Alice,2019-11-22,Mark,2019-09-05,Blake,2019-03-23,"['Alice', 'Mark', 'Blake']",The following events take place in the southern hemisphere. Alice got a manicure on the 22nd of November. Mark got a manicure on the 5th of September. Blake got a manicure on the 23rd of March. The only person that got a manicure in spring is,2019-11-22,22nd of November,spring,1,fall,3,Alice
Luke,2019-06-11,Emily,2019-05-06,Fred,2019-10-23,"['Luke', 'Emily', 'Fred']",The following events take place in the southern hemisphere. Luke got a manicure on the 11th of June. Emily got a manicure on the 6th of May. Fred got a manicure on the 23rd of October. The only person that got a manicure in spring is,2019-10-23,23rd of October,spring,1,fall,3,Fred
Michael,2019-05-08,Hope,2019-09-16,April,2019-06-27,"['Michael', 'Hope', 'April']",The following events take place in the southern hemisphere. Michael got surgery on the 8th of May. Hope got surgery on the 16th of September. April got surgery on the 27th of June. The only person that got surgery in fall is,2019-05-08,8th of May,fall,3,spring,1,Michael
Josh,2019-03-14,Charlie,2019-06-06,Connor,2019-10-24,"['Josh', 'Charlie', 'Connor']",The following events take place in the southern hemisphere. Josh played chess on the 14th of March. Charlie played chess on the 6th of June. Connor played chess on the 24th of October. The only person that played chess in summer is,2019-03-14,14th of March,summer,2,winter,0,Josh
Grant,2019-08-27,Bob,2019-09-04,Ian,2019-12-22,"['Grant', 'Bob', 'Ian']",The following events take place in the southern hemisphere. Grant arrived in the US on the 27th of August. Bob arrived in the US on the 4th of September. Ian arrived in the US on the 22nd of December. The only person that arrived in the US in summer is,2019-12-22,22nd of December,summer,2,winter,0,Ian
Rose,2019-03-20,Alice,2019-08-26,Grant,2019-08-19,"['Rose', 'Alice', 'Grant']",The following events take place in the southern hemisphere. Rose mowed the lawn on the 20th of March. Alice mowed the lawn on the 26th of August. Grant mowed the lawn on the 19th of August. The only person that mowed the lawn in summer is,2019-03-20,20th of March,summer,2,winter,0,Rose
Jason,2019-08-08,Martin,2019-02-04,Matt,2019-07-04,"['Jason', 'Martin', 'Matt']",The following events take place in the southern hemisphere. Jason bought a new phone on the 8th of August. Martin bought a new phone on the 4th of February. Matt bought a new phone on the 4th of July. The only person that bought a new phone in summer is,2019-02-04,4th of February,summer,2,winter,0,Martin
Robert,2019-07-26,Ian,2019-02-09,Ryan,2019-04-04,"['Robert', 'Ian', 'Ryan']",The following events take place in the southern hemisphere. Robert alphabetized the bookshelf on the 26th of July. Ian alphabetized the bookshelf on the 9th of February. Ryan alphabetized the bookshelf on the 4th of April. The only person that alphabetized the bookshelf in winter is,2019-07-26,26th of July,winter,0,summer,2,Robert
Scott,2019-02-08,Blake,2019-04-12,Hunter,2019-07-11,"['Scott', 'Blake', 'Hunter']",The following events take place in the southern hemisphere. Scott moved to a new city on the 8th of February. Blake moved to a new city on the 12th of April. Hunter moved to a new city on the 11th of July. The only person that moved to a new city in summer is,2019-02-08,8th of February,summer,2,winter,0,Scott
Richard,2019-03-08,Dean,2019-08-15,Michael,2019-12-06,"['Richard', 'Dean', 'Michael']",The following events take place in the southern hemisphere. Richard called a friend on the 8th of March. Dean called a friend on the 15th of August. Michael called a friend on the 6th of December. The only person that called a friend in summer is,2019-03-08,8th of March,summer,2,winter,0,Richard
Grant,2019-07-13,Hope,2019-05-21,Scott,2019-06-25,"['Grant', 'Hope', 'Scott']",The following events take place in the southern hemisphere. Grant bought a new car on the 13th of July. Hope bought a new car on the 21st of May. Scott bought a new car on the 25th of June. The only person that bought a new car in fall is,2019-05-21,21st of May,fall,3,spring,1,Hope
Alex,2019-09-08,Laura,2019-03-09,Jason,2019-03-06,"['Alex', 'Laura', 'Jason']",The following events take place in the southern hemisphere. Alex visited a new country on the 8th of September. Laura visited a new country on the 9th of March. Jason visited a new country on the 6th of March. The only person that visited a new country in winter is,2019-09-08,8th of September,winter,0,summer,2,Alex
Leon,2019-03-02,Martin,2019-09-13,Luke,2019-12-10,"['Leon', 'Martin', 'Luke']",The following events take place in the southern hemisphere. Leon attended a wedding on the 2nd of March. Martin attended a wedding on the 13th of September. Luke attended a wedding on the 10th of December. The only person that attended a wedding in summer is,2019-03-02,2nd of March,summer,2,winter,0,Leon
Ryan,2019-08-26,Jason,2019-01-03,Alex,2019-09-25,"['Ryan', 'Jason', 'Alex']",The following events take place in the southern hemisphere. Ryan cooked lasagna on the 26th of August. Jason cooked lasagna on the 3rd of January. Alex cooked lasagna on the 25th of September. The only person that cooked lasagna in winter is,2019-08-26,26th of August,winter,0,summer,2,Ryan
Robert,2019-09-29,Grant,2019-02-01,Fred,2019-06-11,"['Robert', 'Grant', 'Fred']",The following events take place in the southern hemisphere. Robert went to a concert on the 29th of September. Grant went to a concert on the 1st of February. Fred went to a concert on the 11th of June. The only person that went to a concert in spring is,2019-09-29,29th of September,spring,1,fall,3,Robert
Walker,2019-06-23,Kevin,2019-08-13,Henry,2019-04-30,"['Walker', 'Kevin', 'Henry']",The following events take place in the southern hemisphere. Walker arrived in the US on the 23rd of June. Kevin arrived in the US on the 13th of August. Henry arrived in the US on the 30th of April. The only person that arrived in the US in fall is,2019-04-30,30th of April,fall,3,spring,1,Henry
Jason,2019-07-01,Hope,2019-11-18,Aaron,2019-03-04,"['Jason', 'Hope', 'Aaron']",The following events take place in the southern hemisphere. Jason sent a postcard on the 1st of July. Hope sent a postcard on the 18th of November. Aaron sent a postcard on the 4th of March. The only person that sent a postcard in winter is,2019-07-01,1st of July,winter,0,summer,2,Jason
Andrew,2019-06-28,Grant,2019-06-14,Hunter,2019-05-26,"['Andrew', 'Grant', 'Hunter']",The following events take place in the southern hemisphere. Andrew arrived in France on the 28th of June. Grant arrived in France on the 14th of June. Hunter arrived in France on the 26th of May. The only person that arrived in France in winter is,2019-06-28,28th of June,winter,0,summer,2,Andrew
Leon,2019-04-12,Walker,2019-07-29,April,2019-04-30,"['Leon', 'Walker', 'April']",The following events take place in the southern hemisphere. Leon attended a graduation on the 12th of April. Walker attended a graduation on the 29th of July. April attended a graduation on the 30th of April. The only person that attended a graduation in winter is,2019-07-29,29th of July,winter,0,summer,2,Walker
Maria,2019-12-09,Neil,2019-07-12,Bob,2019-10-12,"['Maria', 'Neil', 'Bob']",The following events take place in the southern hemisphere. Maria repotted the plants on the 9th of December. Neil repotted the plants on the 12th of July. Bob repotted the plants on the 12th of October. The only person that repotted the plants in winter is,2019-07-12,12th of July,winter,0,summer,2,Neil
Laura,2019-12-30,William,2019-01-27,Brandon,2019-06-25,"['Laura', 'William', 'Brandon']",The following events take place in the southern hemisphere. Laura bought a new phone on the 30th of December. William bought a new phone on the 27th of January. Brandon bought a new phone on the 25th of June. The only person that bought a new phone in winter is,2019-06-25,25th of June,winter,0,summer,2,Brandon
Hunter,2019-08-12,Robert,2019-05-08,Richard,2019-01-05,"['Hunter', 'Robert', 'Richard']",The following events take place in the southern hemisphere. Hunter watched a movie on the 12th of August. Robert watched a movie on the 8th of May. Richard watched a movie on the 5th of January. The only person that watched a movie in winter is,2019-08-12,12th of August,winter,0,summer,2,Hunter
Charlie,2019-02-17,Leon,2019-10-03,Jason,2019-05-18,"['Charlie', 'Leon', 'Jason']",The following events take place in the southern hemisphere. Charlie received a letter on the 17th of February. Leon received a letter on the 3rd of October. Jason received a letter on the 18th of May. The only person that received a letter in summer is,2019-02-17,17th of February,summer,2,winter,0,Charlie
Jerry,2019-11-30,Dallas,2019-01-11,Hunter,2019-05-20,"['Jerry', 'Dallas', 'Hunter']",The following events take place in the southern hemisphere. Jerry won a contest on the 30th of November. Dallas won a contest on the 11th of January. Hunter won a contest on the 20th of May. The only person that won a contest in spring is,2019-11-30,30th of November,spring,1,fall,3,Jerry
Laura,2019-07-10,Tyler,2019-09-07,Scott,2019-03-08,"['Laura', 'Tyler', 'Scott']",The following events take place in the southern hemisphere. Laura attended a wedding on the 10th of July. Tyler attended a wedding on the 7th of September. Scott attended a wedding on the 8th of March. The only person that attended a wedding in summer is,2019-03-08,8th of March,summer,2,winter,0,Scott
Max,2019-12-05,Robert,2019-05-08,Peter,2019-03-17,"['Max', 'Robert', 'Peter']",The following events take place in the southern hemisphere. Max attended a funeral on the 5th of December. Robert attended a funeral on the 8th of May. Peter attended a funeral on the 17th of March. The only person that attended a funeral in spring is,2019-12-05,5th of December,spring,1,fall,3,Max
Josh,2019-01-10,Hope,2019-01-20,Walker,2019-04-26,"['Josh', 'Hope', 'Walker']",The following events take place in the southern hemisphere. Josh attended a graduation on the 10th of January. Hope attended a graduation on the 20th of January. Walker attended a graduation on the 26th of April. The only person that attended a graduation in fall is,2019-04-26,26th of April,fall,3,spring,1,Walker
Matt,2019-12-04,Max,2019-01-17,Frank,2019-03-10,"['Matt', 'Max', 'Frank']",The following events take place in the southern hemisphere. Matt watered the plants on the 4th of December. Max watered the plants on the 17th of January. Frank watered the plants on the 10th of March. The only person that watered the plants in spring is,2019-12-04,4th of December,spring,1,fall,3,Matt
Jason,2019-07-01,April,2019-04-30,Emily,2019-12-03,"['Jason', 'April', 'Emily']",The following events take place in the southern hemisphere. Jason went camping on the 1st of July. April went camping on the 30th of April. Emily went camping on the 3rd of December. The only person that went camping in winter is,2019-07-01,1st of July,winter,0,summer,2,Jason
Peter,2019-08-08,Neil,2019-04-05,Walker,2019-05-14,"['Peter', 'Neil', 'Walker']",The following events take place in the southern hemisphere. Peter went to the gym on the 8th of August. Neil went to the gym on the 5th of April. Walker went to the gym on the 14th of May. The only person that went to the gym in winter is,2019-08-08,8th of August,winter,0,summer,2,Peter
Fred,2019-06-05,Rose,2019-08-20,Bob,2019-10-12,"['Fred', 'Rose', 'Bob']",The following events take place in the southern hemisphere. Fred bought a new car on the 5th of June. Rose bought a new car on the 20th of August. Bob bought a new car on the 12th of October. The only person that bought a new car in fall is,2019-06-05,5th of June,fall,3,spring,1,Fred
Marco,2019-12-27,Joy,2019-07-18,Josh,2019-03-26,"['Marco', 'Joy', 'Josh']",The following events take place in the southern hemisphere. Marco went to the cinema on the 27th of December. Joy went to the cinema on the 18th of July. Josh went to the cinema on the 26th of March. The only person that went to the cinema in summer is,2019-12-27,27th of December,summer,2,winter,0,Marco
Steve,2019-10-11,Frank,2019-07-01,George,2019-07-15,"['Steve', 'Frank', 'George']",The following events take place in the southern hemisphere. Steve arrived in the US on the 11th of October. Frank arrived in the US on the 1st of July. George arrived in the US on the 15th of July. The only person that arrived in the US in spring is,2019-10-11,11th of October,spring,1,fall,3,Steve
Ian,2019-01-26,Peter,2019-08-08,George,2019-09-24,"['Ian', 'Peter', 'George']",The following events take place in the southern hemisphere. Ian had a barbecue on the 26th of January. Peter had a barbecue on the 8th of August. George had a barbecue on the 24th of September. The only person that had a barbecue in summer is,2019-01-26,26th of January,summer,2,winter,0,Ian
Joy,2019-07-18,Brandon,2019-10-28,Mark,2019-02-08,"['Joy', 'Brandon', 'Mark']",The following events take place in the southern hemisphere. Joy took a taxi on the 18th of July. Brandon took a taxi on the 28th of October. Mark took a taxi on the 8th of February. The only person that took a taxi in winter is,2019-07-18,18th of July,winter,0,summer,2,Joy
Hope,2019-02-11,Kyle,2019-09-10,Andrew,2019-11-27,"['Hope', 'Kyle', 'Andrew']",The following events take place in the southern hemisphere. Hope washed the floors on the 11th of February. Kyle washed the floors on the 10th of September. Andrew washed the floors on the 27th of November. The only person that washed the floors in summer is,2019-02-11,11th of February,summer,2,winter,0,Hope
Grant,2019-11-08,Joy,2019-01-24,William,2019-02-20,"['Grant', 'Joy', 'William']",The following events take place in the southern hemisphere. Grant bought a new car on the 8th of November. Joy bought a new car on the 24th of January. William bought a new car on the 20th of February. The only person that bought a new car in spring is,2019-11-08,8th of November,spring,1,fall,3,Grant
Luke,2019-03-17,Neil,2019-05-09,Jason,2019-07-09,"['Luke', 'Neil', 'Jason']",The following events take place in the southern hemisphere. Luke took a ferry on the 17th of March. Neil took a ferry on the 9th of May. Jason took a ferry on the 9th of July. The only person that took a ferry in summer is,2019-03-17,17th of March,summer,2,winter,0,Luke
Rachel,2019-05-02,Andrew,2019-02-28,Grant,2019-12-26,"['Rachel', 'Andrew', 'Grant']",The following events take place in the southern hemisphere. Rachel donated blood on the 2nd of May. Andrew donated blood on the 28th of February. Grant donated blood on the 26th of December. The only person that donated blood in fall is,2019-05-02,2nd of May,fall,3,spring,1,Rachel
Jack,2019-07-02,Max,2019-04-24,George,2019-05-25,"['Jack', 'Max', 'George']",The following events take place in the southern hemisphere. Jack purchased a new laptop on the 2nd of July. Max purchased a new laptop on the 24th of April. George purchased a new laptop on the 25th of May. The only person that purchased a new laptop in winter is,2019-07-02,2nd of July,winter,0,summer,2,Jack
Steve,2019-01-23,Jack,2019-06-16,Richard,2019-12-15,"['Steve', 'Jack', 'Richard']",The following events take place in the southern hemisphere. Steve sent a postcard on the 23rd of January. Jack sent a postcard on the 16th of June. Richard sent a postcard on the 15th of December. The only person that sent a postcard in summer is,2019-01-23,23rd of January,summer,2,winter,0,Steve
Grant,2019-09-23,George,2019-08-16,William,2019-06-02,"['Grant', 'George', 'William']",The following events take place in the southern hemisphere. Grant donated toys on the 23rd of September. George donated toys on the 16th of August. William donated toys on the 2nd of June. The only person that donated toys in spring is,2019-09-23,23rd of September,spring,1,fall,3,Grant
Alex,2019-04-04,Brandon,2019-09-06,Michael,2019-11-05,"['Alex', 'Brandon', 'Michael']",The following events take place in the southern hemisphere. Alex repaired the bike on the 4th of April. Brandon repaired the bike on the 6th of September. Michael repaired the bike on the 5th of November. The only person that repaired the bike in fall is,2019-04-04,4th of April,fall,3,spring,1,Alex
George,2019-02-09,Brandon,2019-03-05,Bob,2019-08-21,"['George', 'Brandon', 'Bob']",The following events take place in the southern hemisphere. George refinanced the mortgage on the 9th of February. Brandon refinanced the mortgage on the 5th of March. Bob refinanced the mortgage on the 21st of August. The only person that refinanced the mortgage in winter is,2019-08-21,21st of August,winter,0,summer,2,Bob
Hunter,2019-05-20,Brandon,2019-08-04,Maria,2019-12-10,"['Hunter', 'Brandon', 'Maria']",The following events take place in the southern hemisphere. Hunter arrived in the US on the 20th of May. Brandon arrived in the US on the 4th of August. Maria arrived in the US on the 10th of December. The only person that arrived in the US in fall is,2019-05-20,20th of May,fall,3,spring,1,Hunter
Jason,2019-08-10,Marco,2019-08-08,Luke,2019-04-03,"['Jason', 'Marco', 'Luke']",The following events take place in the southern hemisphere. Jason had a barbecue on the 10th of August. Marco had a barbecue on the 8th of August. Luke had a barbecue on the 3rd of April. The only person that had a barbecue in fall is,2019-04-03,3rd of April,fall,3,spring,1,Luke
Kevin,2019-08-13,Jack,2019-01-23,Tyler,2019-03-02,"['Kevin', 'Jack', 'Tyler']",The following events take place in the southern hemisphere. Kevin took a taxi on the 13th of August. Jack took a taxi on the 23rd of January. Tyler took a taxi on the 2nd of March. The only person that took a taxi in winter is,2019-08-13,13th of August,winter,0,summer,2,Kevin
William,2019-01-27,Blake,2019-01-26,Kyle,2019-05-16,"['William', 'Blake', 'Kyle']",The following events take place in the southern hemisphere. William went to the gym on the 27th of January. Blake went to the gym on the 26th of January. Kyle went to the gym on the 16th of May. The only person that went to the gym in fall is,2019-05-16,16th of May,fall,3,spring,1,Kyle
Dallas,2019-09-26,Tyler,2019-08-10,Bob,2019-03-17,"['Dallas', 'Tyler', 'Bob']",The following events take place in the southern hemisphere. Dallas sent a postcard on the 26th of September. Tyler sent a postcard on the 10th of August. Bob sent a postcard on the 17th of March. The only person that sent a postcard in spring is,2019-09-26,26th of September,spring,1,fall,3,Dallas
Dean,2019-10-20,Jason,2019-08-13,John,2019-04-23,"['Dean', 'Jason', 'John']",The following events take place in the southern hemisphere. Dean went to the zoo on the 20th of October. Jason went to the zoo on the 13th of August. John went to the zoo on the 23rd of April. The only person that went to the zoo in spring is,2019-10-20,20th of October,spring,1,fall,3,Dean
Marco,2019-12-20,Michael,2019-07-15,Aaron,2019-12-24,"['Marco', 'Michael', 'Aaron']",The following events take place in the southern hemisphere. Marco got a raise on the 20th of December. Michael got a raise on the 15th of July. Aaron got a raise on the 24th of December. The only person that got a raise in spring is,2019-12-20,20th of December,spring,1,fall,3,Marco
Hunter,2019-03-02,Grant,2019-01-13,Matt,2019-05-08,"['Hunter', 'Grant', 'Matt']",The following events take place in the southern hemisphere. Hunter got a haircut on the 2nd of March. Grant got a haircut on the 13th of January. Matt got a haircut on the 8th of May. The only person that got a haircut in fall is,2019-05-08,8th of May,fall,3,spring,1,Matt
Bob,2019-01-07,Emily,2019-08-29,Scott,2019-05-19,"['Bob', 'Emily', 'Scott']",The following events take place in the southern hemisphere. Bob sent a package on the 7th of January. Emily sent a package on the 29th of August. Scott sent a package on the 19th of May. The only person that sent a package in summer is,2019-01-07,7th of January,summer,2,winter,0,Bob
Rose,2019-11-19,Grant,2019-07-26,George,2019-10-12,"['Rose', 'Grant', 'George']",The following events take place in the southern hemisphere. Rose washed the car on the 19th of November. Grant washed the car on the 26th of July. George washed the car on the 12th of October. The only person that washed the car in winter is,2019-07-26,26th of July,winter,0,summer,2,Grant
Peter,2019-04-12,Henry,2019-09-05,Connor,2019-11-28,"['Peter', 'Henry', 'Connor']",The following events take place in the southern hemisphere. Peter arrived in Germany on the 12th of April. Henry arrived in Germany on the 5th of September. Connor arrived in Germany on the 28th of November. The only person that arrived in Germany in fall is,2019-04-12,12th of April,fall,3,spring,1,Peter
Steve,2019-01-23,Andrew,2019-11-08,Frank,2019-01-08,"['Steve', 'Andrew', 'Frank']",The following events take place in the southern hemisphere. Steve repotted the plants on the 23rd of January. Andrew repotted the plants on the 8th of November. Frank repotted the plants on the 8th of January. The only person that repotted the plants in spring is,2019-11-08,8th of November,spring,1,fall,3,Andrew
William,2019-10-14,Dallas,2019-11-02,Jason,2019-03-11,"['William', 'Dallas', 'Jason']",The following events take place in the southern hemisphere. William donated toys on the 14th of October. Dallas donated toys on the 2nd of November. Jason donated toys on the 11th of March. The only person that donated toys in summer is,2019-03-11,11th of March,summer,2,winter,0,Jason
Alex,2019-11-06,Scott,2019-03-27,Max,2019-08-01,"['Alex', 'Scott', 'Max']",The following events take place in the southern hemisphere. Alex got surgery on the 6th of November. Scott got surgery on the 27th of March. Max got surgery on the 1st of August. The only person that got surgery in spring is,2019-11-06,6th of November,spring,1,fall,3,Alex
Michael,2019-06-08,Kevin,2019-10-24,Matt,2019-02-28,"['Michael', 'Kevin', 'Matt']",The following events take place in the southern hemisphere. Michael went to an Indian restaurant on the 8th of June. Kevin went to an Indian restaurant on the 24th of October. Matt went to an Indian restaurant on the 28th of February. The only person that went to an Indian restaurant in fall is,2019-06-08,8th of June,fall,3,spring,1,Michael
Jason,2019-10-07,Robert,2019-06-17,Peter,2019-05-06,"['Jason', 'Robert', 'Peter']",The following events take place in the southern hemisphere. Jason donated blood on the 7th of October. Robert donated blood on the 17th of June. Peter donated blood on the 6th of May. The only person that donated blood in spring is,2019-10-07,7th of October,spring,1,fall,3,Jason
Robert,2019-05-25,Grant,2019-07-08,George,2019-10-05,"['Robert', 'Grant', 'George']",The following events take place in the southern hemisphere. Robert won a prize on the 25th of May. Grant won a prize on the 8th of July. George won a prize on the 5th of October. The only person that won a prize in fall is,2019-05-25,25th of May,fall,3,spring,1,Robert
Charlie,2019-04-02,Peter,2019-05-25,John,2019-06-24,"['Charlie', 'Peter', 'John']",The following events take place in the southern hemisphere. Charlie went to the zoo on the 2nd of April. Peter went to the zoo on the 25th of May. John went to the zoo on the 24th of June. The only person that went to the zoo in winter is,2019-06-24,24th of June,winter,0,summer,2,John
Steve,2019-06-21,Luke,2019-09-23,Dallas,2019-06-28,"['Steve', 'Luke', 'Dallas']",The following events take place in the southern hemisphere. Steve passed an exam on the 21st of June. Luke passed an exam on the 23rd of September. Dallas passed an exam on the 28th of June. The only person that passed an exam in spring is,2019-09-23,23rd of September,spring,1,fall,3,Luke
Emily,2019-05-13,Leon,2019-06-12,William,2019-10-07,"['Emily', 'Leon', 'William']",The following events take place in the southern hemisphere. Emily attended a funeral on the 13th of May. Leon attended a funeral on the 12th of June. William attended a funeral on the 7th of October. The only person that attended a funeral in spring is,2019-10-07,7th of October,spring,1,fall,3,William
Richard,2019-03-09,Maria,2019-02-22,Ian,2019-11-12,"['Richard', 'Maria', 'Ian']",The following events take place in the southern hemisphere. Richard participated in a triathlon on the 9th of March. Maria participated in a triathlon on the 22nd of February. Ian participated in a triathlon on the 12th of November. The only person that participated in a triathlon in spring is,2019-11-12,12th of November,spring,1,fall,3,Ian
Hunter,2019-03-10,Alex,2019-08-22,Rose,2019-07-08,"['Hunter', 'Alex', 'Rose']",The following events take place in the southern hemisphere. Hunter visited their family on the 10th of March. Alex visited their family on the 22nd of August. Rose visited their family on the 8th of July. The only person that visited their family in summer is,2019-03-10,10th of March,summer,2,winter,0,Hunter
Andrew,2019-12-16,Hunter,2019-01-14,Walker,2019-01-26,"['Andrew', 'Hunter', 'Walker']",The following events take place in the southern hemisphere. Andrew painted a portrait on the 16th of December. Hunter painted a portrait on the 14th of January. Walker painted a portrait on the 26th of January. The only person that painted a portrait in spring is,2019-12-16,16th of December,spring,1,fall,3,Andrew
Michael,2019-11-01,Leon,2019-06-12,Charlie,2019-02-11,"['Michael', 'Leon', 'Charlie']",The following events take place in the southern hemisphere. Michael refinanced the mortgage on the 1st of November. Leon refinanced the mortgage on the 12th of June. Charlie refinanced the mortgage on the 11th of February. The only person that refinanced the mortgage in spring is,2019-11-01,1st of November,spring,1,fall,3,Michael
Fred,2019-06-11,Josh,2019-05-29,Walker,2019-08-04,"['Fred', 'Josh', 'Walker']",The following events take place in the southern hemisphere. Fred moved to a new city on the 11th of June. Josh moved to a new city on the 29th of May. Walker moved to a new city on the 4th of August. The only person that moved to a new city in winter is,2019-08-04,4th of August,winter,0,summer,2,Walker
Jason,2019-08-19,Hunter,2019-09-28,William,2019-02-20,"['Jason', 'Hunter', 'William']",The following events take place in the southern hemisphere. Jason renovated the bathroom on the 19th of August. Hunter renovated the bathroom on the 28th of September. William renovated the bathroom on the 20th of February. The only person that renovated the bathroom in winter is,2019-08-19,19th of August,winter,0,summer,2,Jason
Richard,2019-03-20,Charlie,2019-09-24,Henry,2019-11-26,"['Richard', 'Charlie', 'Henry']",The following events take place in the southern hemisphere. Richard cleaned the shed on the 20th of March. Charlie cleaned the shed on the 24th of September. Henry cleaned the shed on the 26th of November. The only person that cleaned the shed in summer is,2019-03-20,20th of March,summer,2,winter,0,Richard
Max,2019-05-11,Andrew,2019-04-20,Leon,2019-03-15,"['Max', 'Andrew', 'Leon']",The following events take place in the southern hemisphere. Max played chess on the 11th of May. Andrew played chess on the 20th of April. Leon played chess on the 15th of March. The only person that played chess in summer is,2019-03-15,15th of March,summer,2,winter,0,Leon
