context,correct_city,correct_country,correct_continent,correct_lat,correct_lon,correct_geodesic_dist,correct_through_earth_dist,correct_euclidean_dist,correct_answer,reference_city,reference_country,reference_continent,reference_lat,reference_lon,reference_name,name_1,city_1,country_1,continent_1,lat_1,lon_1,name_2,city_2,country_2,continent_2,lat_2,lon_2,name_3,city_3,country_3,continent_3,lat_3,lon_3
Scott lives in Kuressaare. Bob lives in Sovetsk. Alice lives in Greeley. The person who lives closest to Scott is,Sovetsk,Russia,Asia,57.5833,48.9833,1556.7628577624516,1552.8928058298243,26.508385256178844,Bob,Kuressaare,Estonia,Europe,58.25,22.4833,Scott,Scott,Kuressaare,Estonia,Europe,58.25,22.4833,Bob,Sovetsk,Russia,Asia,57.5833,48.9833,Alice,Greeley,United States,North America,40.4152,-104.7706
Connor lives in Santo Tomé. Max lives in Yingkou. April lives in Campos Belos. The person who lives closest to Connor is,Campos Belos,Brazil,South America,-13.0369,-46.7719,1974.1700937185744,1966.2813838040158,18.075934587732938,April,Santo Tomé,Argentina,South America,-28.55,-56.05,Connor,Connor,Santo Tomé,Argentina,South America,-28.55,-56.05,Max,Yingkou,China,Asia,40.625,122.219,April,Campos Belos,Brazil,South America,-13.0369,-46.7719
Bob lives in Guryevsk. John lives in Oğuz. Richard lives in Filipstad. The person who lives closest to Bob is,Filipstad,Sweden,Europe,59.7167,14.1667,671.2562591020904,670.9458186343709,8.120402425988509,Richard,Guryevsk,Russia,Asia,54.7833,20.6167,Bob,Bob,Guryevsk,Russia,Asia,54.7833,20.6167,John,Oğuz,Azerbaijan,Europe,41.0708,47.4583,Richard,Filipstad,Sweden,Europe,59.7167,14.1667
Walker lives in Kuala Belait. Grant lives in San Andrés Xecul. Emily lives in Belgrade. The person who lives closest to Walker is,Belgrade,Serbia,Europe,44.8178,20.4569,9942.187799728557,8963.622904396494,102.00532683644515,Emily,Kuala Belait,Brunei,Asia,4.5828,114.1918,Walker,Walker,Kuala Belait,Brunei,Asia,4.5828,114.1918,Grant,San Andrés Xecul,Guatemala,North America,14.9,-91.4833,Emily,Belgrade,Serbia,Europe,44.8178,20.4569
Neil lives in Betania. Luke lives in Lewisville. Frank lives in Cibitoke. The person who lives closest to Neil is,Lewisville,United States,North America,33.0454,-96.9815,3733.1522960527964,3679.9737392763163,34.44794159597928,Luke,Betania,Colombia,South America,5.75,-75.9667,Neil,Neil,Betania,Colombia,South America,5.75,-75.9667,Luke,Lewisville,United States,North America,33.0454,-96.9815,Frank,Cibitoke,Burundi,Africa,-2.8886,29.12
Rachel lives in Catbalogan. Peter lives in Igarassu. Walker lives in Puconci. The person who lives closest to Rachel is,Puconci,Slovenia,Europe,46.7067,16.1564,10434.03142404317,9306.424372064084,114.19586494199339,Walker,Catbalogan,Philippines,Asia,11.78,124.88,Rachel,Rachel,Catbalogan,Philippines,Asia,11.78,124.88,Peter,Igarassu,Brazil,South America,-7.8339,-34.9058,Walker,Puconci,Slovenia,Europe,46.7067,16.1564
Frank lives in Domokós. Charlie lives in Brasnorte. Dallas lives in Augustinópolis. The person who lives closest to Frank is,Augustinópolis,Brazil,South America,-5.4658,-47.8878,8714.310385151042,8050.704085356837,83.15892609726271,Dallas,Domokós,Greece,Europe,39.1333,22.3,Frank,Frank,Domokós,Greece,Europe,39.1333,22.3,Charlie,Brasnorte,Brazil,South America,-12.155,-57.9789,Dallas,Augustinópolis,Brazil,South America,-5.4658,-47.8878
Emily lives in Nogent-sur-Marne. Andrew lives in Cachoeira Alta. Brandon lives in Nuoro. The person who lives closest to Emily is,Nuoro,Italy,Europe,40.3201,9.3281,1090.2246923393957,1088.894964931316,10.926911265311896,Brandon,Nogent-sur-Marne,France,Europe,48.8375,2.4833,Emily,Emily,Nogent-sur-Marne,France,Europe,48.8375,2.4833,Andrew,Cachoeira Alta,Brazil,South America,-18.7628,-50.9419,Brandon,Nuoro,Italy,Europe,40.3201,9.3281
Jason lives in Cêrro Grande. Marco lives in Maruim. William lives in Américo Brasiliense. The person who lives closest to Jason is,Américo Brasiliense,Brazil,South America,-21.7361,-48.1114,1050.1643543458488,1048.975857960281,9.581656076587178,William,Cêrro Grande,Brazil,South America,-30.6,-51.75,Jason,Jason,Cêrro Grande,Brazil,South America,-30.6,-51.75,Marco,Maruim,Brazil,South America,-10.7378,-37.0819,William,Américo Brasiliense,Brazil,South America,-21.7361,-48.1114
Rachel lives in Huntsville. Henry lives in Jataí. Jason lives in Maków Mazowiecki. The person who lives closest to Rachel is,Jataí,Brazil,South America,-17.8808,-51.7139,6913.831320611006,6579.532776696586,63.122555481380815,Henry,Huntsville,United States,North America,34.6981,-86.6412,Rachel,Rachel,Huntsville,United States,North America,34.6981,-86.6412,Henry,Jataí,Brazil,South America,-17.8808,-51.7139,Jason,Maków Mazowiecki,Poland,Europe,52.8667,21.1
Ian lives in Bela Vista. Maria lives in Bonito. Joy lives in Urus-Martan. The person who lives closest to Ian is,Bonito,Brazil,South America,-11.9658,-41.2669,1972.7835541332024,1964.9114409604097,18.318404483469624,Maria,Bela Vista,Brazil,South America,-22.1089,-56.5208,Ian,Ian,Bela Vista,Brazil,South America,-22.1089,-56.5208,Maria,Bonito,Brazil,South America,-11.9658,-41.2669,Joy,Urus-Martan,Russia,Asia,43.1333,45.55
Neil lives in Tāybād. Tyler lives in Estahbān. Peter lives in Kukës. The person who lives closest to Neil is,Estahbān,Iran,Asia,29.1269,54.0394,890.702872210007,889.9776585118958,8.77158920891762,Tyler,Tāybād,Iran,Asia,34.7408,60.7792,Neil,Neil,Tāybād,Iran,Asia,34.7408,60.7792,Tyler,Estahbān,Iran,Asia,29.1269,54.0394,Peter,Kukës,Albania,Europe,42.0833,20.4167
Charlie lives in Lecherías. William lives in Cabimas. Hunter lives in La Resolana. The person who lives closest to Charlie is,Cabimas,Venezuela,South America,10.4,-71.45,739.6929953333799,739.2776064327502,6.761109472564402,William,Lecherías,Venezuela,South America,10.1917,-64.6921,Charlie,Charlie,Lecherías,Venezuela,South America,10.1917,-64.6921,William,Cabimas,Venezuela,South America,10.4,-71.45,Hunter,La Resolana,Mexico,North America,19.3425,-104.2878
Grant lives in Ibicoara. Andrew lives in Quilmes. Laura lives in Heyuan. The person who lives closest to Grant is,Quilmes,Argentina,South America,-34.7167,-58.2667,2920.0400850471688,2894.548342832463,27.24554109758146,Andrew,Ibicoara,Brazil,South America,-13.4108,-41.285,Grant,Grant,Ibicoara,Brazil,South America,-13.4108,-41.285,Andrew,Quilmes,Argentina,South America,-34.7167,-58.2667,Laura,Heyuan,China,Asia,23.7443,114.7002
Joy lives in Manaure. William lives in Kisumu. Steve lives in Weert. The person who lives closest to Joy is,Weert,Netherlands,Europe,51.251,5.709,8166.652201495343,7618.9034977639785,87.56002789972146,Steve,Manaure,Colombia,South America,11.7792,-72.4494,Joy,Joy,Manaure,Colombia,South America,11.7792,-72.4494,William,Kisumu,Kenya,Africa,-0.1,34.75,Steve,Weert,Netherlands,Europe,51.251,5.709
Grant lives in Yicheng. Michael lives in Ağrı. Hope lives in Eugenópolis. The person who lives closest to Grant is,Ağrı,Turkey,Europe,39.7186,43.0508,6156.966818552718,5920.155459820782,69.66677632989773,Michael,Yicheng,China,Asia,31.721,112.257,Grant,Grant,Yicheng,China,Asia,31.721,112.257,Michael,Ağrı,Turkey,Europe,39.7186,43.0508,Hope,Eugenópolis,Brazil,South America,-21.0989,-42.1869
Joy lives in Sīāhkal. Scott lives in Condado. Rose lives in Klintsy. The person who lives closest to Joy is,Klintsy,Russia,Asia,52.75,32.2333,2208.793943206589,2197.748411681982,23.544419334525962,Rose,Sīāhkal,Iran,Asia,37.1536,49.8711,Joy,Joy,Sīāhkal,Iran,Asia,37.1536,49.8711,Scott,Condado,Brazil,South America,-7.5858,-35.1058,Rose,Klintsy,Russia,Asia,52.75,32.2333
Frank lives in Kunduz. Bob lives in Svilajnac. Marco lives in Le Puy-en-Velay. The person who lives closest to Frank is,Svilajnac,Serbia,Europe,44.2167,21.2,4058.3801932239817,3990.1103942959667,48.252662094645096,Bob,Kunduz,Afghanistan,Asia,36.7286,68.8681,Frank,Frank,Kunduz,Afghanistan,Asia,36.7286,68.8681,Bob,Svilajnac,Serbia,Europe,44.2167,21.2,Marco,Le Puy-en-Velay,France,Europe,45.0444,3.8847
Dean lives in Conceição da Barra. Hope lives in Japurá. Rose lives in Achaguas. The person who lives closest to Dean is,Japurá,Brazil,South America,-1.8261,-66.5989,3470.9214939541375,3428.155703161177,31.669510856500448,Hope,Conceição da Barra,Brazil,South America,-18.5928,-39.7319,Dean,Dean,Conceição da Barra,Brazil,South America,-18.5928,-39.7319,Hope,Japurá,Brazil,South America,-1.8261,-66.5989,Rose,Achaguas,Venezuela,South America,7.7667,-68.2333
Kyle lives in Conselheiro Pena. Frank lives in Tacaratu. Dean lives in Nampula. The person who lives closest to Kyle is,Tacaratu,Brazil,South America,-9.1058,-38.15,1175.0466494307673,1173.3818795703671,10.600065510174925,Frank,Conselheiro Pena,Brazil,South America,-19.1719,-41.4719,Kyle,Kyle,Conselheiro Pena,Brazil,South America,-19.1719,-41.4719,Frank,Tacaratu,Brazil,South America,-9.1058,-38.15,Dean,Nampula,Mozambique,Africa,-15.1167,39.2667
Max lives in Bozova. Alex lives in São Miguel dos Campos. April lives in Nola. The person who lives closest to Max is,Nola,Central African Republic,Africa,3.5333,16.0667,4403.158557463458,4316.047532624944,40.6058771541756,April,Bozova,Turkey,Europe,37.3628,38.5256,Max,Max,Bozova,Turkey,Europe,37.3628,38.5256,Alex,São Miguel dos Campos,Brazil,South America,-9.7811,-36.0936,April,Nola,Central African Republic,Africa,3.5333,16.0667
Hope lives in Bell Ville. Marco lives in Ketapang. Henry lives in Doğubayazıt. The person who lives closest to Hope is,Doğubayazıt,Turkey,Europe,39.5472,44.0833,13571.51017478316,11147.180716286619,128.87641931637455,Henry,Bell Ville,Argentina,South America,-32.6333,-62.6833,Hope,Hope,Bell Ville,Argentina,South America,-32.6333,-62.6833,Marco,Ketapang,Indonesia,Asia,-1.85,109.9833,Henry,Doğubayazıt,Turkey,Europe,39.5472,44.0833
William lives in Saint-Brieuc. Blake lives in Anchorage. Grant lives in Aracati. The person who lives closest to William is,Aracati,Brazil,South America,-4.5619,-37.77,6808.360126767088,6488.98623805304,63.57938126735743,Grant,Saint-Brieuc,France,Europe,48.5136,-2.7653,William,William,Saint-Brieuc,France,Europe,48.5136,-2.7653,Blake,Anchorage,United States,North America,61.1508,-149.1091,Grant,Aracati,Brazil,South America,-4.5619,-37.77
Hunter lives in Sonsón. Richard lives in Bariadi. Connor lives in Terra Alta. The person who lives closest to Hunter is,Terra Alta,Brazil,South America,-1.0378,-47.9078,3133.8570412540867,3102.3579898818452,28.22150182484979,Connor,Sonsón,Colombia,South America,5.7097,-75.3108,Hunter,Hunter,Sonsón,Colombia,South America,5.7097,-75.3108,Richard,Bariadi,Tanzania,Africa,-2.7919,33.9894,Connor,Terra Alta,Brazil,South America,-1.0378,-47.9078
Michael lives in Do Gonbadān. Neil lives in Zandvoort. Connor lives in Kapenguria. The person who lives closest to Michael is,Kapenguria,Kenya,Africa,1.2389,35.1119,3635.9356963892856,3586.793581875013,33.070380239876286,Connor,Do Gonbadān,Iran,Asia,30.36,50.7839,Michael,Michael,Do Gonbadān,Iran,Asia,30.36,50.7839,Neil,Zandvoort,Netherlands,Europe,52.3667,4.5333,Connor,Kapenguria,Kenya,Africa,1.2389,35.1119
Alice lives in Kara-Suu. Josh lives in Jales. Blake lives in Trà Vinh. The person who lives closest to Alice is,Trà Vinh,Vietnam,Asia,9.9333,106.35,4743.011810505111,4634.237356567745,45.459980617901714,Blake,Kara-Suu,Kyrgyzstan,Asia,40.7,72.8833,Alice,Alice,Kara-Suu,Kyrgyzstan,Asia,40.7,72.8833,Josh,Jales,Brazil,South America,-20.2689,-50.5458,Blake,Trà Vinh,Vietnam,Asia,9.9333,106.35
Josh lives in Khalkhāl. Brandon lives in G’oliblar Qishlog’i. Richard lives in Butebo. The person who lives closest to Josh is,G’oliblar Qishlog’i,Uzbekistan,Asia,40.4953,67.8778,1697.3150448951258,1692.299990846171,19.559679172215475,Brandon,Khalkhāl,Iran,Asia,37.6147,48.5314,Josh,Josh,Khalkhāl,Iran,Asia,37.6147,48.5314,Brandon,G’oliblar Qishlog’i,Uzbekistan,Asia,40.4953,67.8778,Richard,Butebo,Uganda,Africa,1.1944,33.9222
Dean lives in Pütürge. Aaron lives in Tamarana. Steve lives in Aparecida. The person who lives closest to Dean is,Aparecida,Brazil,South America,-22.8469,-45.2297,11067.711083105945,9727.573226684963,103.91838230707789,Steve,Pütürge,Turkey,Europe,38.1967,38.8697,Dean,Dean,Pütürge,Turkey,Europe,38.1967,38.8697,Aaron,Tamarana,Brazil,South America,-23.7228,-51.0969,Steve,Aparecida,Brazil,South America,-22.8469,-45.2297
Leon lives in Pingxiang. Max lives in Borborema. Josh lives in Jyväskylä. The person who lives closest to Leon is,Jyväskylä,Finland,Europe,62.2417,25.7417,7216.978999035635,6837.25230634305,94.68662551480013,Josh,Pingxiang,China,Asia,27.659,113.887,Leon,Leon,Pingxiang,China,Asia,27.659,113.887,Max,Borborema,Brazil,South America,-21.62,-49.0739,Josh,Jyväskylä,Finland,Europe,62.2417,25.7417
Leon lives in Visaginas. Josh lives in Szigetszentmiklós. Hope lives in Cláudio. The person who lives closest to Leon is,Szigetszentmiklós,Hungary,Europe,47.3453,19.0483,1049.4372397550032,1048.2512097824201,11.076023523358911,Josh,Visaginas,Lithuania,Europe,55.6,26.4333,Leon,Leon,Visaginas,Lithuania,Europe,55.6,26.4333,Josh,Szigetszentmiklós,Hungary,Europe,47.3453,19.0483,Hope,Cláudio,Brazil,South America,-20.4428,-44.7658
Alice lives in Palé. Richard lives in Gutao. William lives in Guernica. The person who lives closest to Alice is,Guernica,Argentina,South America,-34.9167,-58.3833,7570.892337747899,7133.22364253357,72.25573289566718,William,Palé,Equatorial Guinea,Africa,-1.4069,5.6322,Alice,Alice,Palé,Equatorial Guinea,Africa,-1.4069,5.6322,Richard,Gutao,China,Asia,37.2,112.15,William,Guernica,Argentina,South America,-34.9167,-58.3833
Charlie lives in Ylöjärvi. Bob lives in Tolimán. Steve lives in Cancún. The person who lives closest to Charlie is,Cancún,Mexico,North America,21.1606,-86.8475,8968.905242898438,8246.423420136456,117.58514030692824,Steve,Ylöjärvi,Finland,Europe,61.55,23.5833,Charlie,Charlie,Ylöjärvi,Finland,Europe,61.55,23.5833,Bob,Tolimán,Mexico,North America,19.5333,-103.9,Steve,Cancún,Mexico,North America,21.1606,-86.8475
Henry lives in Monywa. Ryan lives in Atalaia. Brandon lives in Gölcük. The person who lives closest to Henry is,Gölcük,Turkey,Europe,40.7172,29.8228,6382.908017337839,6119.2878120638115,67.91796416574925,Brandon,Monywa,Burma,Asia,22.1083,95.1417,Henry,Henry,Monywa,Burma,Asia,22.1083,95.1417,Ryan,Atalaia,Brazil,South America,-9.5019,-36.0228,Brandon,Gölcük,Turkey,Europe,40.7172,29.8228
Steve lives in Koziatyn. Matt lives in Pacho. Josh lives in Yibin. The person who lives closest to Steve is,Yibin,China,Asia,28.752,104.643,6628.140006988176,6333.242603428168,78.65512863240387,Josh,Koziatyn,Ukraine,Europe,49.7167,28.8333,Steve,Steve,Koziatyn,Ukraine,Europe,49.7167,28.8333,Matt,Pacho,Colombia,South America,5.1306,-74.1583,Josh,Yibin,China,Asia,28.752,104.643
Dean lives in Guateque. Rose lives in Mława. William lives in Donghua. The person who lives closest to Dean is,Mława,Poland,Europe,53.1167,20.3667,9817.913365999113,8874.87311964139,105.45338826429428,Rose,Guateque,Colombia,South America,5.0056,-73.4722,Dean,Dean,Guateque,Colombia,South America,5.0056,-73.4722,Rose,Mława,Poland,Europe,53.1167,20.3667,William,Donghua,China,Asia,35.2167,106.6
Emily lives in Struer. Andrew lives in Singapore. Matt lives in Sanarate. The person who lives closest to Emily is,Sanarate,Guatemala,North America,14.795,-90.1922,9168.796076259396,8397.785950504514,107.23303748845315,Matt,Struer,Denmark,Europe,56.4862,8.6044,Emily,Emily,Struer,Denmark,Europe,56.4862,8.6044,Andrew,Singapore,Singapore,Asia,1.3,103.8,Matt,Sanarate,Guatemala,North America,14.795,-90.1922
Dallas lives in Gomīshān. Jason lives in Lucena. Leon lives in Marvdasht. The person who lives closest to Dallas is,Marvdasht,Iran,Asia,29.8786,52.8067,808.2531564229571,807.7112448780913,7.302714700712334,Leon,Gomīshān,Iran,Asia,37.07,54.0769,Dallas,Dallas,Gomīshān,Iran,Asia,37.07,54.0769,Jason,Lucena,Philippines,Asia,13.93,121.62,Leon,Marvdasht,Iran,Asia,29.8786,52.8067
George lives in Saloá. Kevin lives in Quatá. Grant lives in Castelli. The person who lives closest to George is,Quatá,Brazil,South America,-22.2475,-50.6983,2101.3845101404295,2091.871904049015,19.298500748503756,Kevin,Saloá,Brazil,South America,-8.9758,-36.6878,George,George,Saloá,Brazil,South America,-8.9758,-36.6878,Kevin,Quatá,Brazil,South America,-22.2475,-50.6983,Grant,Castelli,Argentina,South America,-25.95,-60.6167
Dallas lives in Matosinhos. Jerry lives in Aragua de Barcelona. Josh lives in Sucre. The person who lives closest to Dallas is,Aragua de Barcelona,Venezuela,South America,9.4575,-64.8261,6510.1833874835065,6230.618259354941,64.48746088605132,Jerry,Matosinhos,Portugal,Europe,41.1867,-8.6844,Dallas,Dallas,Matosinhos,Portugal,Europe,41.1867,-8.6844,Jerry,Aragua de Barcelona,Venezuela,South America,9.4575,-64.8261,Josh,Sucre,Colombia,South America,2.0383,-76.9253
Michael lives in Altay. Kevin lives in Aragua de Barcelona. Luke lives in Zalishchyky. The person who lives closest to Michael is,Zalishchyky,Ukraine,Europe,48.65,25.7333,5108.742094807112,4972.965734536253,70.56065554577847,Luke,Altay,Mongolia,Asia,46.3728,96.2572,Michael,Michael,Altay,Mongolia,Asia,46.3728,96.2572,Kevin,Aragua de Barcelona,Venezuela,South America,9.4575,-64.8261,Luke,Zalishchyky,Ukraine,Europe,48.65,25.7333
Peter lives in Hacılar. Charlie lives in Velingrad. Richard lives in Oudenaarde. The person who lives closest to Peter is,Velingrad,Bulgaria,Europe,42.0167,24.0,1039.2260872342226,1038.0743345756564,11.935076836367664,Charlie,Hacılar,Turkey,Europe,38.6497,35.4503,Peter,Peter,Hacılar,Turkey,Europe,38.6497,35.4503,Charlie,Velingrad,Bulgaria,Europe,42.0167,24.0,Richard,Oudenaarde,Belgium,Europe,50.85,3.6
Charlie lives in Paranã. April lives in Biritinga. Luke lives in Côn Đảo. The person who lives closest to Charlie is,Biritinga,Brazil,South America,-11.6169,-38.8,993.6220285392511,992.6153167930034,9.137475551266887,April,Paranã,Brazil,South America,-12.615,-47.8828,Charlie,Charlie,Paranã,Brazil,South America,-12.615,-47.8828,April,Biritinga,Brazil,South America,-11.6169,-38.8,Luke,Côn Đảo,Vietnam,Asia,8.6931,106.5767
Ian lives in Tocumen. Dean lives in Sukkur. Frank lives in Bocas del Toro. The person who lives closest to Ian is,Bocas del Toro,Panama,North America,9.3333,-82.25,315.8393138576398,315.80697246112885,2.8772561269376085,Frank,Tocumen,Panama,North America,9.0894,-79.3831,Ian,Ian,Tocumen,Panama,North America,9.0894,-79.3831,Dean,Sukkur,Pakistan,Asia,27.7061,68.8483,Frank,Bocas del Toro,Panama,North America,9.3333,-82.25
