name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_answer
Ian,2019-12-17,Michael,2019-03-14,Aaron,2019-09-28,"['Ian', 'Michael', 'Aaron']",Ian compiled the spreadsheet on the 17th of December. Michael compiled the spreadsheet on the 14th of March. Aaron compiled the spreadsheet on the 28th of September. The only person that compiled the spreadsheet in winter is,2019-03-14,14th of March,winter,0,Michael
Emily,2019-01-26,Ian,2019-06-16,Leon,2019-03-26,"['Emily', 'Ian', 'Leon']",Emily went to a concert on the 26th of January. Ian went to a concert on the 16th of June. Leon went to a concert on the 26th of March. The only person that went to a concert in winter is,2019-01-26,26th of January,winter,0,Emily
Laura,2019-04-22,Emily,2019-06-05,Blake,2019-09-26,"['Laura', 'Emily', 'Blake']",Laura cooked cheesecake on the 22nd of April. Emily cooked cheesecake on the 5th of June. Blake cooked cheesecake on the 26th of September. The only person that cooked cheesecake in fall is,2019-09-26,26th of September,fall,3,Blake
Max,2019-10-31,Jerry,2019-06-05,Richard,2019-09-11,"['Max', 'Jerry', 'Richard']",Max took a boat on the 31st of October. Jerry took a boat on the 5th of June. Richard took a boat on the 11th of September. The only person that took a boat in fall is,2019-10-31,31st of October,fall,3,Max
Connor,2019-06-28,Charlie,2019-02-06,Scott,2019-11-22,"['Connor', 'Charlie', 'Scott']",Connor built a desktop computer on the 28th of June. Charlie built a desktop computer on the 6th of February. Scott built a desktop computer on the 22nd of November. The only person that built a desktop computer in summer is,2019-06-28,28th of June,summer,2,Connor
Scott,2019-03-03,Dallas,2019-03-27,Ian,2019-10-20,"['Scott', 'Dallas', 'Ian']",Scott took a plane on the 3rd of March. Dallas took a plane on the 27th of March. Ian took a plane on the 20th of October. The only person that took a plane in winter is,2019-03-03,3rd of March,winter,0,Scott
Walker,2019-03-29,Alice,2019-02-19,Marco,2019-01-03,"['Walker', 'Alice', 'Marco']",Walker harvested a garden on the 29th of March. Alice harvested a garden on the 19th of February. Marco harvested a garden on the 3rd of January. The only person that harvested a garden in spring is,2019-03-29,29th of March,spring,1,Walker
Richard,2019-04-09,Charlie,2019-06-10,Tyler,2019-07-22,"['Richard', 'Charlie', 'Tyler']",Richard received a promotion on the 9th of April. Charlie received a promotion on the 10th of June. Tyler received a promotion on the 22nd of July. The only person that received a promotion in summer is,2019-07-22,22nd of July,summer,2,Tyler
Andrew,2019-03-24,Jason,2019-04-09,Kyle,2019-06-30,"['Andrew', 'Jason', 'Kyle']",Andrew got a haircut on the 24th of March. Jason got a haircut on the 9th of April. Kyle got a haircut on the 30th of June. The only person that got a haircut in summer is,2019-06-30,30th of June,summer,2,Kyle
April,2019-09-16,Fred,2019-10-04,Jack,2019-05-12,"['April', 'Fred', 'Jack']",April alphabetized the bookshelf on the 16th of September. Fred alphabetized the bookshelf on the 4th of October. Jack alphabetized the bookshelf on the 12th of May. The only person that alphabetized the bookshelf in summer is,2019-09-16,16th of September,summer,2,April
Maria,2019-07-05,Peter,2019-10-13,Max,2019-11-17,"['Maria', 'Peter', 'Max']",Maria took a ferry on the 5th of July. Peter took a ferry on the 13th of October. Max took a ferry on the 17th of November. The only person that took a ferry in summer is,2019-07-05,5th of July,summer,2,Maria
Ian,2019-03-09,Frank,2019-03-12,Luke,2019-09-08,"['Ian', 'Frank', 'Luke']",Ian arrived in Spain on the 9th of March. Frank arrived in Spain on the 12th of March. Luke arrived in Spain on the 8th of September. The only person that arrived in Spain in summer is,2019-09-08,8th of September,summer,2,Luke
Hope,2019-10-05,Luke,2019-05-26,Connor,2019-03-19,"['Hope', 'Luke', 'Connor']",Hope cleaned the windows on the 5th of October. Luke cleaned the windows on the 26th of May. Connor cleaned the windows on the 19th of March. The only person that cleaned the windows in fall is,2019-10-05,5th of October,fall,3,Hope
Henry,2019-12-18,Richard,2019-05-02,Fred,2019-12-26,"['Henry', 'Richard', 'Fred']",Henry donated blood on the 18th of December. Richard donated blood on the 2nd of May. Fred donated blood on the 26th of December. The only person that donated blood in fall is,2019-12-18,18th of December,fall,3,Henry
Jason,2019-05-27,Mark,2019-08-16,Marco,2019-04-17,"['Jason', 'Mark', 'Marco']",Jason visited a new country on the 27th of May. Mark visited a new country on the 16th of August. Marco visited a new country on the 17th of April. The only person that visited a new country in summer is,2019-08-16,16th of August,summer,2,Mark
Robert,2019-12-19,April,2019-10-21,Josh,2019-03-29,"['Robert', 'April', 'Josh']",Robert planted a tree on the 19th of December. April planted a tree on the 21st of October. Josh planted a tree on the 29th of March. The only person that planted a tree in spring is,2019-03-29,29th of March,spring,1,Josh
Henry,2019-03-11,Jerry,2019-12-18,Charlie,2019-03-24,"['Henry', 'Jerry', 'Charlie']",Henry cleaned the garage on the 11th of March. Jerry cleaned the garage on the 18th of December. Charlie cleaned the garage on the 24th of March. The only person that cleaned the garage in winter is,2019-03-11,11th of March,winter,0,Henry
Bob,2019-07-13,Brandon,2019-09-06,Jerry,2019-04-06,"['Bob', 'Brandon', 'Jerry']",Bob donated toys on the 13th of July. Brandon donated toys on the 6th of September. Jerry donated toys on the 6th of April. The only person that donated toys in spring is,2019-04-06,6th of April,spring,1,Jerry
Aaron,2019-01-26,Jack,2019-01-13,Laura,2019-05-03,"['Aaron', 'Jack', 'Laura']",Aaron went to an Indian restaurant on the 26th of January. Jack went to an Indian restaurant on the 13th of January. Laura went to an Indian restaurant on the 3rd of May. The only person that went to an Indian restaurant in spring is,2019-05-03,3rd of May,spring,1,Laura
Andrew,2019-11-04,Brandon,2019-03-04,Steve,2019-02-09,"['Andrew', 'Brandon', 'Steve']",Andrew painted a portrait on the 4th of November. Brandon painted a portrait on the 4th of March. Steve painted a portrait on the 9th of February. The only person that painted a portrait in fall is,2019-11-04,4th of November,fall,3,Andrew
Emily,2019-10-09,Fred,2019-06-15,Hunter,2019-11-10,"['Emily', 'Fred', 'Hunter']",Emily wrote a letter on the 9th of October. Fred wrote a letter on the 15th of June. Hunter wrote a letter on the 10th of November. The only person that wrote a letter in spring is,2019-06-15,15th of June,spring,1,Fred
Scott,2019-10-26,Laura,2019-03-05,Kyle,2019-06-30,"['Scott', 'Laura', 'Kyle']",Scott went to an Indian restaurant on the 26th of October. Laura went to an Indian restaurant on the 5th of March. Kyle went to an Indian restaurant on the 30th of June. The only person that went to an Indian restaurant in fall is,2019-10-26,26th of October,fall,3,Scott
Maria,2019-04-13,Grant,2019-11-25,Max,2019-06-30,"['Maria', 'Grant', 'Max']",Maria cooked cheesecake on the 13th of April. Grant cooked cheesecake on the 25th of November. Max cooked cheesecake on the 30th of June. The only person that cooked cheesecake in spring is,2019-04-13,13th of April,spring,1,Maria
Michael,2019-08-07,Henry,2019-12-01,Blake,2019-09-26,"['Michael', 'Henry', 'Blake']",Michael repotted the plants on the 7th of August. Henry repotted the plants on the 1st of December. Blake repotted the plants on the 26th of September. The only person that repotted the plants in summer is,2019-08-07,7th of August,summer,2,Michael
William,2019-08-17,Martin,2019-10-03,Laura,2019-11-08,"['William', 'Martin', 'Laura']",William cleaned the windows on the 17th of August. Martin cleaned the windows on the 3rd of October. Laura cleaned the windows on the 8th of November. The only person that cleaned the windows in summer is,2019-08-17,17th of August,summer,2,William
Peter,2019-02-19,Marco,2019-12-12,Josh,2019-11-24,"['Peter', 'Marco', 'Josh']",Peter cooked cheesecake on the 19th of February. Marco cooked cheesecake on the 12th of December. Josh cooked cheesecake on the 24th of November. The only person that cooked cheesecake in winter is,2019-02-19,19th of February,winter,0,Peter
Rachel,2019-03-12,George,2019-08-10,Josh,2019-08-18,"['Rachel', 'George', 'Josh']",Rachel washed the dog on the 12th of March. George washed the dog on the 10th of August. Josh washed the dog on the 18th of August. The only person that washed the dog in winter is,2019-03-12,12th of March,winter,0,Rachel
Rose,2019-02-04,Josh,2019-01-10,Bob,2019-12-09,"['Rose', 'Josh', 'Bob']",Rose took a boat on the 4th of February. Josh took a boat on the 10th of January. Bob took a boat on the 9th of December. The only person that took a boat in fall is,2019-12-09,9th of December,fall,3,Bob
Hunter,2019-05-18,Tyler,2019-03-22,Hope,2019-09-28,"['Hunter', 'Tyler', 'Hope']",Hunter ran a marathon on the 18th of May. Tyler ran a marathon on the 22nd of March. Hope ran a marathon on the 28th of September. The only person that ran a marathon in fall is,2019-09-28,28th of September,fall,3,Hope
Alex,2019-11-11,Henry,2019-03-09,Charlie,2019-09-04,"['Alex', 'Henry', 'Charlie']",Alex took an exam on the 11th of November. Henry took an exam on the 9th of March. Charlie took an exam on the 4th of September. The only person that took an exam in fall is,2019-11-11,11th of November,fall,3,Alex
Michael,2019-02-14,Fred,2019-09-28,Jerry,2019-01-14,"['Michael', 'Fred', 'Jerry']",Michael cleaned the basement on the 14th of February. Fred cleaned the basement on the 28th of September. Jerry cleaned the basement on the 14th of January. The only person that cleaned the basement in fall is,2019-09-28,28th of September,fall,3,Fred
Hope,2019-08-08,Neil,2019-06-13,Maria,2019-08-26,"['Hope', 'Neil', 'Maria']",Hope threw a party on the 8th of August. Neil threw a party on the 13th of June. Maria threw a party on the 26th of August. The only person that threw a party in spring is,2019-06-13,13th of June,spring,1,Neil
Steve,2019-02-09,Josh,2019-10-28,Fred,2019-10-25,"['Steve', 'Josh', 'Fred']",Steve attended a graduation on the 9th of February. Josh attended a graduation on the 28th of October. Fred attended a graduation on the 25th of October. The only person that attended a graduation in winter is,2019-02-09,9th of February,winter,0,Steve
Dean,2019-06-23,Jerry,2019-03-31,Kyle,2019-12-27,"['Dean', 'Jerry', 'Kyle']",Dean arrived in the US on the 23rd of June. Jerry arrived in the US on the 31st of March. Kyle arrived in the US on the 27th of December. The only person that arrived in the US in summer is,2019-06-23,23rd of June,summer,2,Dean
Tyler,2019-12-03,Alice,2019-07-19,Ian,2019-01-21,"['Tyler', 'Alice', 'Ian']",Tyler arrived in France on the 3rd of December. Alice arrived in France on the 19th of July. Ian arrived in France on the 21st of January. The only person that arrived in France in fall is,2019-12-03,3rd of December,fall,3,Tyler
Robert,2019-03-25,Blake,2019-01-17,John,2019-08-04,"['Robert', 'Blake', 'John']",Robert went to the cinema on the 25th of March. Blake went to the cinema on the 17th of January. John went to the cinema on the 4th of August. The only person that went to the cinema in spring is,2019-03-25,25th of March,spring,1,Robert
Bob,2019-05-21,Hunter,2019-02-04,Alice,2019-11-30,"['Bob', 'Hunter', 'Alice']",Bob had a barbecue on the 21st of May. Hunter had a barbecue on the 4th of February. Alice had a barbecue on the 30th of November. The only person that had a barbecue in spring is,2019-05-21,21st of May,spring,1,Bob
Alice,2019-04-04,William,2019-08-24,Connor,2019-09-26,"['Alice', 'William', 'Connor']",Alice received a letter on the 4th of April. William received a letter on the 24th of August. Connor received a letter on the 26th of September. The only person that received a letter in spring is,2019-04-04,4th of April,spring,1,Alice
Maria,2019-09-06,William,2019-07-14,Fred,2019-12-27,"['Maria', 'William', 'Fred']",Maria won a prize on the 6th of September. William won a prize on the 14th of July. Fred won a prize on the 27th of December. The only person that won a prize in winter is,2019-12-27,27th of December,winter,0,Fred
Robert,2019-01-18,Luke,2019-04-08,Alice,2019-12-24,"['Robert', 'Luke', 'Alice']",Robert donated toys on the 18th of January. Luke donated toys on the 8th of April. Alice donated toys on the 24th of December. The only person that donated toys in spring is,2019-04-08,8th of April,spring,1,Luke
Leon,2019-12-05,Ian,2019-11-03,Brandon,2019-09-05,"['Leon', 'Ian', 'Brandon']",Leon took an exam on the 5th of December. Ian took an exam on the 3rd of November. Brandon took an exam on the 5th of September. The only person that took an exam in summer is,2019-09-05,5th of September,summer,2,Brandon
Ryan,2019-03-03,Brandon,2019-09-05,Alice,2019-04-05,"['Ryan', 'Brandon', 'Alice']",Ryan donated toys on the 3rd of March. Brandon donated toys on the 5th of September. Alice donated toys on the 5th of April. The only person that donated toys in winter is,2019-03-03,3rd of March,winter,0,Ryan
Andrew,2019-09-09,Ian,2019-08-03,Emily,2019-01-26,"['Andrew', 'Ian', 'Emily']",Andrew went fishing on the 9th of September. Ian went fishing on the 3rd of August. Emily went fishing on the 26th of January. The only person that went fishing in winter is,2019-01-26,26th of January,winter,0,Emily
William,2019-11-25,Marco,2019-03-26,Jason,2019-02-01,"['William', 'Marco', 'Jason']",William reorganized the closet on the 25th of November. Marco reorganized the closet on the 26th of March. Jason reorganized the closet on the 1st of February. The only person that reorganized the closet in fall is,2019-11-25,25th of November,fall,3,William
William,2019-05-22,Jack,2019-12-08,Hunter,2019-10-18,"['William', 'Jack', 'Hunter']",William took a bus on the 22nd of May. Jack took a bus on the 8th of December. Hunter took a bus on the 18th of October. The only person that took a bus in spring is,2019-05-22,22nd of May,spring,1,William
Josh,2019-06-24,Laura,2019-02-22,Richard,2019-10-09,"['Josh', 'Laura', 'Richard']",Josh took a taxi on the 24th of June. Laura took a taxi on the 22nd of February. Richard took a taxi on the 9th of October. The only person that took a taxi in summer is,2019-06-24,24th of June,summer,2,Josh
Jack,2019-09-16,Michael,2019-11-20,Robert,2019-01-17,"['Jack', 'Michael', 'Robert']",Jack arrived in Italy on the 16th of September. Michael arrived in Italy on the 20th of November. Robert arrived in Italy on the 17th of January. The only person that arrived in Italy in summer is,2019-09-16,16th of September,summer,2,Jack
Jason,2019-04-09,Kevin,2019-03-24,Bob,2019-09-05,"['Jason', 'Kevin', 'Bob']",Jason renovated the bathroom on the 9th of April. Kevin renovated the bathroom on the 24th of March. Bob renovated the bathroom on the 5th of September. The only person that renovated the bathroom in summer is,2019-09-05,5th of September,summer,2,Bob
Steve,2019-08-18,Bob,2019-08-20,Brandon,2019-12-07,"['Steve', 'Bob', 'Brandon']",Steve washed the dog on the 18th of August. Bob washed the dog on the 20th of August. Brandon washed the dog on the 7th of December. The only person that washed the dog in fall is,2019-12-07,7th of December,fall,3,Brandon
William,2019-10-31,Luke,2019-05-26,Henry,2019-01-04,"['William', 'Luke', 'Henry']",William went camping on the 31st of October. Luke went camping on the 26th of May. Henry went camping on the 4th of January. The only person that went camping in fall is,2019-10-31,31st of October,fall,3,William
Neil,2019-11-03,Hunter,2019-02-04,Michael,2019-06-28,"['Neil', 'Hunter', 'Michael']",Neil left for vacation on the 3rd of November. Hunter left for vacation on the 4th of February. Michael left for vacation on the 28th of June. The only person that left for vacation in fall is,2019-11-03,3rd of November,fall,3,Neil
George,2019-12-16,Fred,2019-02-14,Henry,2019-12-01,"['George', 'Fred', 'Henry']",George arrived in the US on the 16th of December. Fred arrived in the US on the 14th of February. Henry arrived in the US on the 1st of December. The only person that arrived in the US in winter is,2019-02-14,14th of February,winter,0,Fred
Hunter,2019-05-20,Jack,2019-01-13,Peter,2019-10-13,"['Hunter', 'Jack', 'Peter']",Hunter went to a Chinese restaurant on the 20th of May. Jack went to a Chinese restaurant on the 13th of January. Peter went to a Chinese restaurant on the 13th of October. The only person that went to a Chinese restaurant in spring is,2019-05-20,20th of May,spring,1,Hunter
Andrew,2019-09-11,George,2019-08-01,Ryan,2019-05-29,"['Andrew', 'George', 'Ryan']",Andrew filled out the application on the 11th of September. George filled out the application on the 1st of August. Ryan filled out the application on the 29th of May. The only person that filled out the application in spring is,2019-05-29,29th of May,spring,1,Ryan
Matt,2019-04-07,William,2019-02-21,Richard,2019-10-09,"['Matt', 'William', 'Richard']",Matt went to an Indian restaurant on the 7th of April. William went to an Indian restaurant on the 21st of February. Richard went to an Indian restaurant on the 9th of October. The only person that went to an Indian restaurant in spring is,2019-04-07,7th of April,spring,1,Matt
Grant,2019-10-20,Connor,2019-05-19,Mark,2019-10-14,"['Grant', 'Connor', 'Mark']",Grant went to a French restaurant on the 20th of October. Connor went to a French restaurant on the 19th of May. Mark went to a French restaurant on the 14th of October. The only person that went to a French restaurant in spring is,2019-05-19,19th of May,spring,1,Connor
Ian,2019-04-23,Kyle,2019-02-24,Ryan,2019-07-11,"['Ian', 'Kyle', 'Ryan']",Ian washed the floors on the 23rd of April. Kyle washed the floors on the 24th of February. Ryan washed the floors on the 11th of July. The only person that washed the floors in spring is,2019-04-23,23rd of April,spring,1,Ian
Scott,2019-06-27,Mark,2019-12-28,Rachel,2019-12-03,"['Scott', 'Mark', 'Rachel']",Scott took a ferry on the 27th of June. Mark took a ferry on the 28th of December. Rachel took a ferry on the 3rd of December. The only person that took a ferry in summer is,2019-06-27,27th of June,summer,2,Scott
Laura,2019-01-26,Dean,2019-06-23,Steve,2019-09-23,"['Laura', 'Dean', 'Steve']",Laura went camping on the 26th of January. Dean went camping on the 23rd of June. Steve went camping on the 23rd of September. The only person that went camping in winter is,2019-01-26,26th of January,winter,0,Laura
Grant,2019-11-25,Aaron,2019-02-13,Walker,2019-06-27,"['Grant', 'Aaron', 'Walker']",Grant harvested a garden on the 25th of November. Aaron harvested a garden on the 13th of February. Walker harvested a garden on the 27th of June. The only person that harvested a garden in fall is,2019-11-25,25th of November,fall,3,Grant
Ryan,2019-08-26,Hunter,2019-02-04,Maria,2019-05-06,"['Ryan', 'Hunter', 'Maria']",Ryan alphabetized the bookshelf on the 26th of August. Hunter alphabetized the bookshelf on the 4th of February. Maria alphabetized the bookshelf on the 6th of May. The only person that alphabetized the bookshelf in summer is,2019-08-26,26th of August,summer,2,Ryan
Brandon,2019-11-05,Maria,2019-08-26,Walker,2019-12-04,"['Brandon', 'Maria', 'Walker']",Brandon went to the beach on the 5th of November. Maria went to the beach on the 26th of August. Walker went to the beach on the 4th of December. The only person that went to the beach in summer is,2019-08-26,26th of August,summer,2,Maria
Aaron,2019-05-03,Tyler,2019-04-17,Laura,2019-01-26,"['Aaron', 'Tyler', 'Laura']",Aaron alphabetized the bookshelf on the 3rd of May. Tyler alphabetized the bookshelf on the 17th of April. Laura alphabetized the bookshelf on the 26th of January. The only person that alphabetized the bookshelf in winter is,2019-01-26,26th of January,winter,0,Laura
Kevin,2019-10-01,Marco,2019-04-21,Dean,2019-07-19,"['Kevin', 'Marco', 'Dean']",Kevin threw a party on the 1st of October. Marco threw a party on the 21st of April. Dean threw a party on the 19th of July. The only person that threw a party in fall is,2019-10-01,1st of October,fall,3,Kevin
Emily,2019-10-09,Walker,2019-06-27,Grant,2019-06-29,"['Emily', 'Walker', 'Grant']",Emily went to the cinema on the 9th of October. Walker went to the cinema on the 27th of June. Grant went to the cinema on the 29th of June. The only person that went to the cinema in fall is,2019-10-09,9th of October,fall,3,Emily
Connor,2019-04-01,Josh,2019-07-21,Aaron,2019-02-13,"['Connor', 'Josh', 'Aaron']",Connor cleaned the attic on the 1st of April. Josh cleaned the attic on the 21st of July. Aaron cleaned the attic on the 13th of February. The only person that cleaned the attic in spring is,2019-04-01,1st of April,spring,1,Connor
Robert,2019-01-29,Martin,2019-09-12,Marco,2019-04-21,"['Robert', 'Martin', 'Marco']",Robert wrote a letter on the 29th of January. Martin wrote a letter on the 12th of September. Marco wrote a letter on the 21st of April. The only person that wrote a letter in winter is,2019-01-29,29th of January,winter,0,Robert
Henry,2019-03-11,Josh,2019-08-27,Alice,2019-12-24,"['Henry', 'Josh', 'Alice']",Henry threw a party on the 11th of March. Josh threw a party on the 27th of August. Alice threw a party on the 24th of December. The only person that threw a party in summer is,2019-08-27,27th of August,summer,2,Josh
Charlie,2019-06-10,Brandon,2019-11-13,Scott,2019-03-19,"['Charlie', 'Brandon', 'Scott']",Charlie arrived in Spain on the 10th of June. Brandon arrived in Spain on the 13th of November. Scott arrived in Spain on the 19th of March. The only person that arrived in Spain in spring is,2019-06-10,10th of June,spring,1,Charlie
Luke,2019-11-26,Dean,2019-04-07,John,2019-08-04,"['Luke', 'Dean', 'John']",Luke wrote a letter on the 26th of November. Dean wrote a letter on the 7th of April. John wrote a letter on the 4th of August. The only person that wrote a letter in fall is,2019-11-26,26th of November,fall,3,Luke
Fred,2019-06-15,Martin,2019-09-10,George,2019-12-16,"['Fred', 'Martin', 'George']",Fred cleaned the attic on the 15th of June. Martin cleaned the attic on the 10th of September. George cleaned the attic on the 16th of December. The only person that cleaned the attic in spring is,2019-06-15,15th of June,spring,1,Fred
Steve,2019-08-24,Grant,2019-04-17,Jerry,2019-07-15,"['Steve', 'Grant', 'Jerry']",Steve ran a marathon on the 24th of August. Grant ran a marathon on the 17th of April. Jerry ran a marathon on the 15th of July. The only person that ran a marathon in spring is,2019-04-17,17th of April,spring,1,Grant
Rose,2019-05-05,William,2019-02-21,Max,2019-11-06,"['Rose', 'William', 'Max']",Rose sold their car on the 5th of May. William sold their car on the 21st of February. Max sold their car on the 6th of November. The only person that sold their car in spring is,2019-05-05,5th of May,spring,1,Rose
Marco,2019-04-21,Dean,2019-02-26,Ryan,2019-05-22,"['Marco', 'Dean', 'Ryan']",Marco ironed the clothes on the 21st of April. Dean ironed the clothes on the 26th of February. Ryan ironed the clothes on the 22nd of May. The only person that ironed the clothes in winter is,2019-02-26,26th of February,winter,0,Dean
Scott,2019-02-24,Alice,2019-09-08,Marco,2019-01-27,"['Scott', 'Alice', 'Marco']",Scott went fishing on the 24th of February. Alice went fishing on the 8th of September. Marco went fishing on the 27th of January. The only person that went fishing in summer is,2019-09-08,8th of September,summer,2,Alice
Ian,2019-12-29,Fred,2019-04-07,Jason,2019-02-14,"['Ian', 'Fred', 'Jason']",Ian visited a new country on the 29th of December. Fred visited a new country on the 7th of April. Jason visited a new country on the 14th of February. The only person that visited a new country in spring is,2019-04-07,7th of April,spring,1,Fred
Dean,2019-02-06,Aaron,2019-07-28,Kyle,2019-08-13,"['Dean', 'Aaron', 'Kyle']",Dean played beer pong on the 6th of February. Aaron played beer pong on the 28th of July. Kyle played beer pong on the 13th of August. The only person that played beer pong in winter is,2019-02-06,6th of February,winter,0,Dean
George,2019-05-19,Ian,2019-11-03,Aaron,2019-02-19,"['George', 'Ian', 'Aaron']",George refinanced the mortgage on the 19th of May. Ian refinanced the mortgage on the 3rd of November. Aaron refinanced the mortgage on the 19th of February. The only person that refinanced the mortgage in spring is,2019-05-19,19th of May,spring,1,George
Jerry,2019-07-05,Connor,2019-09-22,Hunter,2019-02-21,"['Jerry', 'Connor', 'Hunter']",Jerry went to a Chinese restaurant on the 5th of July. Connor went to a Chinese restaurant on the 22nd of September. Hunter went to a Chinese restaurant on the 21st of February. The only person that went to a Chinese restaurant in winter is,2019-02-21,21st of February,winter,0,Hunter
Ryan,2019-05-22,Brandon,2019-02-14,Bob,2019-12-22,"['Ryan', 'Brandon', 'Bob']",Ryan washed the car on the 22nd of May. Brandon washed the car on the 14th of February. Bob washed the car on the 22nd of December. The only person that washed the car in spring is,2019-05-22,22nd of May,spring,1,Ryan
