sentence,datetime,date_idx_start,date_idx_end,event,verb,event_idx_start,event_idx_end,verb_idx_start,verb_idx_end
"The new law goes into effect on the 10th of October, changing several regulations",2019-10-10,29,51,law goes into effect,goes into effect,8,28,12,28
"I know they are leaving on the 10th of October, but I don't know when they will return",2019-10-10,24,46,leaving on the 10th of October,leaving,16,46,16,23
"The film came out on the 30th of January, receving a mixed reception",2019-01-30,18,40,film came out,came out,4,17,9,17
"The store is expected to restock the item on the 30th of December, according to their website",2019-12-30,42,65,store is expected to restock the item,expected to restock,4,41,13,32
I was watching a video on the 10th of March which explained the subject really well,2019-03-10,23,43,watching a video,watching,6,22,6,14
"The store is expected to restock the item on the 10th of April, according to their website",2019-04-10,42,62,restock the item,expected to restock,25,41,13,32
"The film came out on the 1st of August, receving a mixed reception",2019-08-01,18,38,film came out,came out,4,17,9,17
"We’re planning to visit them on the 10th of August, if everything goes as expected",2019-08-10,29,50,visit them,planning,18,28,6,14
I'll go buy groceries on the 20th of November,2019-11-20,22,45,buy groceries,go,8,21,5,7
"I met him for the first time on the 1st of December, and we immediately hit it off",2019-12-01,29,51,met him for the first time,met,2,28,2,5
"I last saw them on the 10th of February, and we had a great time catching up",2019-02-10,16,39,saw them,saw,7,15,7,10
We watched the movie together on the 1st of December,2019-12-01,30,52,watched the movie together,watched,3,29,3,10
"I know they are leaving on the 20th of August, but I don't know when they will return",2019-08-20,24,45,leaving,are leaving,16,23,12,23
I'll go buy groceries on the 30th of October,2019-10-30,22,44,buy groceries,go,8,21,5,7
Our meeting is set on the 20th of July,2019-07-20,19,38,meeting is set,is set,4,18,12,18
"I know they are leaving on the 30th of November, but I don't know when they will return",2019-11-30,24,47,leaving on the 30th of November,are leaving,16,47,12,23
"We’re planning to visit them on the 1st of April, if everything goes as expected",2019-04-01,29,48,visit them,planning,18,28,6,14
That matter was concluded on the 1st of April,2019-04-01,26,45,matter was concluded,was concluded,5,25,12,25
That matter was concluded on the 1st of February,2019-02-01,26,48,matter was concluded,was concluded,5,25,12,25
"We’re planning to visit them on the 30th of May, if everything goes as expected",2019-05-30,29,47,visit them,planning,18,28,6,14
Our meeting is set on the 30th of June,2019-06-30,19,38,meeting is set,is set,4,18,12,18
We watched the movie together on the 1st of June,2019-06-01,30,48,watched the movie together,watched,3,29,3,10
"The new law goes into effect on the 20th of June, changing several regulations",2019-06-20,29,48,new law goes into effect,goes,4,28,12,16
"His resignation was officially announced on the 20th of July, shocking many employees",2019-07-20,41,60,resignation was officially announced,was officially announced,4,40,16,40
"I know they are leaving on the 1st of July, but I don't know when they will return",2019-07-01,24,42,leaving,leaving,16,23,16,23
"The store is expected to restock the item on the 20th of March, according to their website",2019-03-20,42,62,restock the item,is expected to restock,25,41,10,32
"Their anniversary celebration took place on the 20th of May, and it was beautiful",2019-05-20,41,59,anniversary celebration took place,took place,6,40,30,40
I was watching a video on the 1st of September which explained the subject really well,2019-09-01,23,46,watching a video,was watching,6,22,2,14
Our meeting is set on the 30th of January,2019-01-30,19,41,meeting is set,is set,4,18,12,18
She went to the doctor on the 10th of January,2019-01-10,23,45,went to the doctor,went,4,22,4,8
We watched the movie together on the 30th of August,2019-08-30,30,51,watched the movie together,watched,3,29,3,10
He had to wait until on the 20th of January to get a table,2019-01-20,21,43,wait until on the 20th of January to get a table,wait,10,58,10,14
The product launched on the 10th of August and was a great success,2019-08-10,21,42,product launched,launched,4,20,12,20
"I'll call you back on the 30th of August, once I have more information",2019-08-30,19,40,call you back,call,5,18,5,9
We watched the movie together on the 1st of February,2019-02-01,30,52,watched the movie together,watched,3,29,3,10
"The new law goes into effect on the 20th of October, changing several regulations",2019-10-20,29,51,new law goes into effect,goes into effect,4,28,12,28
That matter was concluded on the 1st of March,2019-03-01,26,45,matter was concluded,was concluded,5,25,12,25
I'll go buy groceries on the 1st of October,2019-10-01,22,43,buy groceries,go,8,21,5,7
Our meeting is set on the 30th of May,2019-05-30,19,37,meeting is set,is set,4,18,12,18
I'll go buy groceries on the 20th of June,2019-06-20,22,41,buy groceries,go,8,21,5,7
The product launched on the 1st of October and was a great success,2019-10-01,21,42,product launched,launched,4,20,12,20
We watched the movie together on the 1st of September,2019-09-01,30,53,watched the movie together,watched,3,29,3,10
"I know they are leaving on the 20th of February, but I don't know when they will return",2019-02-20,24,47,leaving,leaving,16,23,16,23
Our meeting is set on the 30th of October,2019-10-30,19,41,meeting is set,is set,4,18,12,18
"The store is expected to restock the item on the 30th of April, according to their website",2019-04-30,42,62,restock the item,expected,25,41,13,21
"The concert was postponed to on the 10th of September, due to unexpected weather conditions",2019-09-10,29,53,concert was postponed,was postponed,4,25,12,25
"The film came out on the 20th of December, receving a mixed reception",2019-12-20,18,41,film came out,came out,4,17,9,17
"The film came out on the 20th of January, receving a mixed reception",2019-01-20,18,40,film came out,came out,4,17,9,17
"Their anniversary celebration took place on the 30th of October, and it was beautiful",2019-10-30,41,63,anniversary celebration took place,took place,6,40,30,40
"on the 10th of November, he finally talked to me",2019-11-10,0,23,talked to me,talked,36,48,36,42
"We’re planning to visit them on the 20th of July, if everything goes as expected",2019-07-20,29,48,visit them,planning,18,28,6,14
I'll go buy groceries on the 10th of September,2019-09-10,22,46,buy groceries,go,8,21,5,7
"on the 30th of June, he finally talked to me",2019-06-30,0,19,talked to me,talked,32,44,32,38
I was watching a video on the 1st of October which explained the subject really well,2019-10-01,23,44,watching a video,was watching,6,22,2,14
"The concert was postponed to on the 20th of September, due to unexpected weather conditions",2019-09-20,29,53,concert was postponed,was postponed,4,25,12,25
She went to the doctor on the 10th of November,2019-11-10,23,46,went to the doctor,went,4,22,4,8
"The film came out on the 1st of March, receving a mixed reception",2019-03-01,18,37,film came out,came out,4,17,9,17
"The concert was postponed to on the 1st of January, due to unexpected weather conditions",2019-01-01,29,50,concert was postponed,postponed,4,25,16,25
She went to the doctor on the 1st of July,2019-07-01,23,41,went to the doctor,went,4,22,4,8
He had to wait until on the 10th of December to get a table,2019-12-10,21,44,wait until on the 10th of December to get a table,wait,10,59,10,14
He had to wait until on the 10th of January to get a table,2019-01-10,21,43,wait until on the 10th of January to get a table,had to wait,10,58,3,14
"I last saw them on the 30th of December, and we had a great time catching up",2019-12-30,16,39,last saw them,saw,2,15,7,10
Our meeting is set on the 10th of November,2019-11-10,19,42,meeting is set,is set,4,18,12,18
He had to wait until on the 20th of May to get a table,2019-05-20,21,39,wait until on the 20th of May to get a table,had to wait,10,54,3,14
"on the 20th of September, he finally talked to me",2019-09-20,0,24,talked to me,talked,37,49,37,43
"His resignation was officially announced on the 30th of April, shocking many employees",2019-04-30,41,61,resignation was officially announced,was officially announced,4,40,16,40
"I met him for the first time on the 1st of October, and we immediately hit it off",2019-10-01,29,50,met him for the first time,met,2,28,2,5
"Their anniversary celebration took place on the 10th of March, and it was beautiful",2019-03-10,41,61,anniversary celebration took place,took place,6,40,30,40
"The store is expected to restock the item on the 30th of September, according to their website",2019-09-30,42,66,restock the item,expected to restock,25,41,13,32
"We’re planning to visit them on the 1st of November, if everything goes as expected",2019-11-01,29,51,visit them,planning,18,28,6,14
"I'll call you back on the 1st of June, once I have more information",2019-06-01,19,37,"call you back on the 1st of June, once I have more information",call,5,67,5,9
"I last saw them on the 20th of November, and we had a great time catching up",2019-11-20,16,39,last saw them,saw,2,15,7,10
The product launched on the 10th of November and was a great success,2019-11-10,21,44,product launched,launched,4,20,12,20
"I know they are leaving on the 10th of March, but I don't know when they will return",2019-03-10,24,44,leaving,are leaving,16,23,12,23
We watched the movie together on the 1st of July,2019-07-01,30,48,watched the movie together,watched,3,29,3,10
She went to the doctor on the 20th of March,2019-03-20,23,43,went to the doctor,went,4,22,4,8
"I last saw them on the 30th of March, and we had a great time catching up",2019-03-30,16,36,last saw them,saw,2,15,7,10
I'll go buy groceries on the 1st of July,2019-07-01,22,40,buy groceries,go,8,21,5,7
"We’re planning to visit them on the 30th of November, if everything goes as expected",2019-11-30,29,52,visit them,planning,18,28,6,14
I'll go buy groceries on the 10th of January,2019-01-10,22,44,buy groceries,go,8,21,5,7
I'll go buy groceries on the 1st of January,2019-01-01,22,43,buy groceries,go,8,21,5,7
"I met him for the first time on the 10th of July, and we immediately hit it off",2019-07-10,29,48,met him for the first time,met,2,28,2,5
I was watching a video on the 20th of October which explained the subject really well,2019-10-20,23,45,watching a video,was watching,6,22,2,14
"I'll call you back on the 1st of August, once I have more information",2019-08-01,19,39,call you back,call,5,18,5,9
"The new law goes into effect on the 1st of February, changing several regulations",2019-02-01,29,51,new law goes into effect,goes into effect,4,28,12,28
"The concert was postponed to on the 30th of August, due to unexpected weather conditions",2019-08-30,29,50,concert was postponed to,was postponed,4,28,12,25
"I met him for the first time on the 1st of June, and we immediately hit it off",2019-06-01,29,47,met him for the first time,met,2,28,2,5
That matter was concluded on the 10th of August,2019-08-10,26,47,matter was concluded,was concluded,5,25,12,25
That matter was concluded on the 10th of October,2019-10-10,26,48,matter was concluded,was concluded,5,25,12,25
I'll go buy groceries on the 30th of March,2019-03-30,22,42,buy groceries,go,8,21,5,7
I was watching a video on the 10th of January which explained the subject really well,2019-01-10,23,45,watching a video,was watching,6,22,2,14
"I'll call you back on the 20th of January, once I have more information",2019-01-20,19,41,call you back,call,5,18,5,9
That matter was concluded on the 1st of August,2019-08-01,26,46,matter was concluded,was concluded,5,25,12,25
I'll go buy groceries on the 20th of May,2019-05-20,22,40,buy groceries,go,8,21,5,7
I'll go buy groceries on the 30th of April,2019-04-30,22,42,buy groceries,go,8,21,5,7
He had to wait until on the 30th of August to get a table,2019-08-30,21,42,wait until on the 30th of August to get a table,had to wait,10,57,3,14
"Their anniversary celebration took place on the 1st of February, and it was beautiful",2019-02-01,41,63,anniversary celebration took place,took place,6,40,30,40
We watched the movie together on the 20th of October,2019-10-20,30,52,watched the movie together,watched,3,29,3,10
"The store is expected to restock the item on the 1st of April, according to their website",2019-04-01,42,61,restock the item,expected,25,41,13,21
Our meeting is set on the 10th of April,2019-04-10,19,39,meeting is set,is set,4,18,12,18
"on the 20th of August, he finally talked to me",2019-08-20,0,21,talked to me,talked,34,46,34,40
I was watching a video on the 1st of July which explained the subject really well,2019-07-01,23,41,watching a video,was watching,6,22,2,14
We watched the movie together on the 20th of September,2019-09-20,30,54,watched the movie together,watched,3,29,3,10
"Their anniversary celebration took place on the 10th of January, and it was beautiful",2019-01-10,41,63,anniversary celebration took place,took place,6,40,30,40
"The new law goes into effect on the 30th of September, changing several regulations",2019-09-30,29,53,law goes into effect,goes,8,28,12,16
She went to the doctor on the 1st of May,2019-05-01,23,40,went to the doctor,went,4,22,4,8
"Their anniversary celebration took place on the 20th of December, and it was beautiful",2019-12-20,41,64,anniversary celebration,took place,6,29,30,40
"The new law goes into effect on the 30th of January, changing several regulations",2019-01-30,29,51,new law goes into effect,goes,4,28,12,16
"on the 20th of February, he finally talked to me",2019-02-20,0,23,talked to me,talked,36,48,36,42
"I know they are leaving on the 20th of November, but I don't know when they will return",2019-11-20,24,47,leaving on the 20th of November,leaving,16,47,16,23
"The concert was postponed to on the 1st of December, due to unexpected weather conditions",2019-12-01,29,51,concert was postponed,was postponed,4,25,12,25
"The film came out on the 30th of August, receving a mixed reception",2019-08-30,18,39,film came out,came out,4,17,9,17
"on the 20th of December, he finally talked to me",2019-12-20,0,23,talked to me,talked,36,48,36,42
"Their anniversary celebration took place on the 1st of March, and it was beautiful",2019-03-01,41,60,anniversary celebration took place,took place,6,40,30,40
"on the 10th of February, he finally talked to me",2019-02-10,0,23,talked to me,talked,36,48,36,42
"I know they are leaving on the 1st of June, but I don't know when they will return",2019-06-01,24,42,leaving,leaving,16,23,16,23
"I know they are leaving on the 1st of January, but I don't know when they will return",2019-01-01,24,45,leaving on the 1st of January,leaving,16,45,16,23
"I last saw them on the 1st of February, and we had a great time catching up",2019-02-01,16,38,saw them,saw,7,15,7,10
I'll go buy groceries on the 1st of June,2019-06-01,22,40,buy groceries,go,8,21,5,7
"I met him for the first time on the 20th of July, and we immediately hit it off",2019-07-20,29,48,met him for the first time,met,2,28,2,5
I was watching a video on the 30th of May which explained the subject really well,2019-05-30,23,41,watching a video,was watching,6,22,2,14
"on the 1st of January, he finally talked to me",2019-01-01,0,21,talked to me,talked,34,46,34,40
I'll go buy groceries on the 10th of August,2019-08-10,22,43,buy groceries,go,8,21,5,7
Our meeting is set on the 10th of August,2019-08-10,19,40,meeting is set,is set,4,18,12,18
"on the 10th of June, he finally talked to me",2019-06-10,0,19,talked to me,talked,32,44,32,38
"on the 10th of December, he finally talked to me",2019-12-10,0,23,talked to me,talked,36,48,36,42
"I'll call you back on the 1st of July, once I have more information",2019-07-01,19,37,call you back,call,5,18,5,9
He had to wait until on the 1st of September to get a table,2019-09-01,21,44,wait until on the 1st of September to get a table,wait,10,59,10,14
The product launched on the 30th of April and was a great success,2019-04-30,21,41,product launched,launched,4,20,12,20
I was watching a video on the 20th of August which explained the subject really well,2019-08-20,23,44,watching a video,was watching,6,22,2,14
"I know they are leaving on the 30th of July, but I don't know when they will return",2019-07-30,24,43,leaving,are leaving,16,23,12,23
That matter was concluded on the 30th of April,2019-04-30,26,46,matter was concluded,was concluded,5,25,12,25
She went to the doctor on the 20th of September,2019-09-20,23,47,went to the doctor,went,4,22,4,8
"We’re planning to visit them on the 1st of September, if everything goes as expected",2019-09-01,29,52,visit them,planning,18,28,6,14
Our meeting is set on the 10th of July,2019-07-10,19,38,meeting is set,is set,4,18,12,18
The product launched on the 20th of April and was a great success,2019-04-20,21,41,product launched,launched,4,20,12,20
"I met him for the first time on the 20th of January, and we immediately hit it off",2019-01-20,29,51,met him for the first time,met,2,28,2,5
I was watching a video on the 1st of February which explained the subject really well,2019-02-01,23,45,watching a video,was watching,6,22,2,14
"I last saw them on the 1st of November, and we had a great time catching up",2019-11-01,16,38,saw them,saw,7,15,7,10
"The concert was postponed to on the 1st of August, due to unexpected weather conditions",2019-08-01,29,49,concert was postponed,was postponed,4,25,12,25
"His resignation was officially announced on the 1st of February, shocking many employees",2019-02-01,41,63,resignation was officially announced,was officially announced,4,40,16,40
The product launched on the 1st of May and was a great success,2019-05-01,21,38,product launched,launched,4,20,12,20
"I know they are leaving on the 10th of November, but I don't know when they will return",2019-11-10,24,47,leaving,are leaving,16,23,12,23
"The film came out on the 10th of August, receving a mixed reception",2019-08-10,18,39,film came out,came out,4,17,9,17
"The store is expected to restock the item on the 1st of March, according to their website",2019-03-01,42,61,restock the item,expected,25,41,13,21
"The film came out on the 20th of June, receving a mixed reception",2019-06-20,18,37,film came out,came out,4,17,9,17
"I met him for the first time on the 10th of March, and we immediately hit it off",2019-03-10,29,49,met him for the first time,met,2,28,2,5
We watched the movie together on the 1st of May,2019-05-01,30,47,watched the movie together,watched,3,29,3,10
I was watching a video on the 30th of April which explained the subject really well,2019-04-30,23,43,watching a video,was watching,6,22,2,14
"His resignation was officially announced on the 30th of July, shocking many employees",2019-07-30,41,60,resignation was officially announced,was officially announced,4,40,16,40
The product launched on the 20th of March and was a great success,2019-03-20,21,41,product launched,launched,4,20,12,20
"I met him for the first time on the 30th of April, and we immediately hit it off",2019-04-30,29,49,met him for the first time,met,2,28,2,5
"The new law goes into effect on the 30th of July, changing several regulations",2019-07-30,29,48,new law goes into effect,goes,4,28,12,16
"The concert was postponed to on the 1st of October, due to unexpected weather conditions",2019-10-01,29,50,concert was postponed,postponed,4,25,16,25
"on the 10th of April, he finally talked to me",2019-04-10,0,20,talked to me,talked,33,45,33,39
He had to wait until on the 10th of September to get a table,2019-09-10,21,45,wait until on the 10th of September to get a table,wait,10,60,10,14
"The concert was postponed to on the 1st of September, due to unexpected weather conditions",2019-09-01,29,52,concert was postponed to,was postponed,4,28,12,25
"We’re planning to visit them on the 10th of January, if everything goes as expected",2019-01-10,29,51,visit them,planning,18,28,6,14
Our meeting is set on the 10th of December,2019-12-10,19,42,meeting is set,is set,4,18,12,18
I'll go buy groceries on the 10th of June,2019-06-10,22,41,buy groceries,go,8,21,5,7
"The concert was postponed to on the 1st of April, due to unexpected weather conditions",2019-04-01,29,48,concert was postponed,was postponed,4,25,12,25
I'll go buy groceries on the 30th of November,2019-11-30,22,45,buy groceries,go,8,21,5,7
We watched the movie together on the 30th of October,2019-10-30,30,52,watched the movie together,watched,3,29,3,10
"I know they are leaving on the 30th of September, but I don't know when they will return",2019-09-30,24,48,leaving,are leaving,16,23,12,23
Our meeting is set on the 10th of February,2019-02-10,19,42,meeting is set,is set,4,18,12,18
"I know they are leaving on the 30th of August, but I don't know when they will return",2019-08-30,24,45,leaving on the 30th of August,leaving,16,45,16,23
"The store is expected to restock the item on the 1st of September, according to their website",2019-09-01,42,65,restock the item,expected,25,41,13,21
"His resignation was officially announced on the 20th of October, shocking many employees",2019-10-20,41,63,resignation was officially announced,was officially announced,4,40,16,40
Our meeting is set on the 10th of May,2019-05-10,19,37,meeting is set,is set,4,18,12,18
"on the 1st of April, he finally talked to me",2019-04-01,0,19,talked to me,talked,32,44,32,38
"I met him for the first time on the 1st of July, and we immediately hit it off",2019-07-01,29,47,met him for the first time,met,2,28,2,5
"The new law goes into effect on the 10th of December, changing several regulations",2019-12-10,29,52,new law goes into effect,goes,4,28,12,16
I was watching a video on the 30th of March which explained the subject really well,2019-03-30,23,43,watching a video,was watching,6,22,2,14
"We’re planning to visit them on the 30th of September, if everything goes as expected",2019-09-30,29,53,visit them,planning,18,28,6,14
"The film came out on the 20th of September, receving a mixed reception",2019-09-20,18,42,film came out,came out,4,17,9,17
"I last saw them on the 1st of October, and we had a great time catching up",2019-10-01,16,37,saw them,last,7,15,2,6
"on the 1st of September, he finally talked to me",2019-09-01,0,23,talked to me,talked,36,48,36,42
"I met him for the first time on the 20th of February, and we immediately hit it off",2019-02-20,29,52,met him for the first time,met,2,28,2,5
"Their anniversary celebration took place on the 30th of September, and it was beautiful",2019-09-30,41,65,anniversary celebration took place,took place,6,40,30,40
"The new law goes into effect on the 1st of June, changing several regulations",2019-06-01,29,47,new law goes into effect,goes into effect,4,28,12,28
I was watching a video on the 1st of January which explained the subject really well,2019-01-01,23,44,watching a video,watching,6,22,6,14
I was watching a video on the 10th of November which explained the subject really well,2019-11-10,23,46,watching a video,watching,6,22,6,14
The product launched on the 20th of May and was a great success,2019-05-20,21,39,product launched,launched,4,20,12,20
Our meeting is set on the 20th of February,2019-02-20,19,42,meeting is set,is set,4,18,12,18
"The film came out on the 20th of July, receving a mixed reception",2019-07-20,18,37,film came out,came out,4,17,9,17
The product launched on the 30th of June and was a great success,2019-06-30,21,40,product launched,launched,4,20,12,20
"I met him for the first time on the 20th of November, and we immediately hit it off",2019-11-20,29,52,met him for the first time,met,2,28,2,5
"The film came out on the 10th of September, receving a mixed reception",2019-09-10,18,42,film came out,came out,4,17,9,17
"His resignation was officially announced on the 10th of April, shocking many employees",2019-04-10,41,61,resignation was officially announced,was officially announced,4,40,16,40
I'll go buy groceries on the 20th of February,2019-02-20,22,45,buy groceries,go,8,21,5,7
We watched the movie together on the 20th of April,2019-04-20,30,50,watched the movie together,watched,3,29,3,10
She went to the doctor on the 1st of October,2019-10-01,23,44,went to the doctor,went,4,22,4,8
"The film came out on the 10th of January, receving a mixed reception",2019-01-10,18,40,film came out,came out,4,17,9,17
"I last saw them on the 20th of February, and we had a great time catching up",2019-02-20,16,39,"saw them on the 20th of February, and we had a great time catching up",last,7,76,2,6
I'll go buy groceries on the 20th of July,2019-07-20,22,41,buy groceries,go,8,21,5,7
We watched the movie together on the 10th of February,2019-02-10,30,53,watched the movie together,watched,3,29,3,10
"His resignation was officially announced on the 30th of March, shocking many employees",2019-03-30,41,61,resignation was officially announced,was officially announced,4,40,16,40
"The concert was postponed to on the 1st of May, due to unexpected weather conditions",2019-05-01,29,46,concert was postponed,was postponed,4,25,12,25
"I know they are leaving on the 20th of June, but I don't know when they will return",2019-06-20,24,43,leaving,are leaving,16,23,12,23
"I'll call you back on the 1st of September, once I have more information",2019-09-01,19,42,call you back,call,5,18,5,9
"His resignation was officially announced on the 10th of June, shocking many employees",2019-06-10,41,60,resignation was officially announced,was officially announced,4,40,16,40
"The new law goes into effect on the 10th of August, changing several regulations",2019-08-10,29,50,new law goes into effect,goes,4,28,12,16
"The film came out on the 10th of November, receving a mixed reception",2019-11-10,18,41,film came out,came out,4,17,9,17
She went to the doctor on the 30th of July,2019-07-30,23,42,went to the doctor,went,4,22,4,8
"We’re planning to visit them on the 20th of January, if everything goes as expected",2019-01-20,29,51,visit them,planning,18,28,6,14
"The film came out on the 30th of October, receving a mixed reception",2019-10-30,18,40,film came out,came out,4,17,9,17
She went to the doctor on the 1st of February,2019-02-01,23,45,went to the doctor,went,4,22,4,8
"His resignation was officially announced on the 30th of January, shocking many employees",2019-01-30,41,63,resignation was officially announced,was officially announced,4,40,16,40
"I last saw them on the 20th of August, and we had a great time catching up",2019-08-20,16,37,last saw them,saw,2,15,7,10
Our meeting is set on the 1st of September,2019-09-01,19,42,meeting is set,is set,4,18,12,18
"on the 1st of February, he finally talked to me",2019-02-01,0,22,talked to me,talked,35,47,35,41
"We’re planning to visit them on the 20th of October, if everything goes as expected",2019-10-20,29,51,visit them,planning,18,28,6,14
I was watching a video on the 10th of June which explained the subject really well,2019-06-10,23,42,watching a video,was watching,6,22,2,14
We watched the movie together on the 30th of July,2019-07-30,30,49,watched the movie together,watched,3,29,3,10
"We’re planning to visit them on the 10th of April, if everything goes as expected",2019-04-10,29,49,visit them,planning,18,28,6,14
"I know they are leaving on the 20th of January, but I don't know when they will return",2019-01-20,24,46,leaving,are leaving,16,23,12,23
"Their anniversary celebration took place on the 1st of May, and it was beautiful",2019-05-01,41,58,anniversary celebration took place,took place,6,40,30,40
"I met him for the first time on the 20th of March, and we immediately hit it off",2019-03-20,29,49,met him for the first time,met,2,28,2,5
"Their anniversary celebration took place on the 10th of June, and it was beautiful",2019-06-10,41,60,anniversary celebration,took place,6,29,30,40
"The film came out on the 10th of February, receving a mixed reception",2019-02-10,18,41,film came out,came out,4,17,9,17
"The concert was postponed to on the 10th of January, due to unexpected weather conditions",2019-01-10,29,51,concert was postponed to,was postponed,4,28,12,25
"The store is expected to restock the item on the 30th of March, according to their website",2019-03-30,42,62,restock the item,expected,25,41,13,21
"Their anniversary celebration took place on the 30th of August, and it was beautiful",2019-08-30,41,62,anniversary celebration took place,took place,6,40,30,40
The product launched on the 20th of January and was a great success,2019-01-20,21,43,product launched,launched,4,20,12,20
"The concert was postponed to on the 1st of June, due to unexpected weather conditions",2019-06-01,29,47,concert was postponed,was postponed,4,25,12,25
We watched the movie together on the 10th of May,2019-05-10,30,48,watched the movie together,watched,3,29,3,10
We watched the movie together on the 30th of January,2019-01-30,30,52,watched the movie together,watched,3,29,3,10
Our meeting is set on the 1st of May,2019-05-01,19,36,meeting is set,is set,4,18,12,18
He had to wait until on the 30th of September to get a table,2019-09-30,21,45,wait until on the 30th of September to get a table,had to wait,10,60,3,14
"I last saw them on the 20th of September, and we had a great time catching up",2019-09-20,16,40,saw them,last saw,7,15,2,10
"The concert was postponed to on the 1st of February, due to unexpected weather conditions",2019-02-01,29,51,concert was postponed,was postponed,4,25,12,25
The product launched on the 10th of October and was a great success,2019-10-10,21,43,product launched,launched,4,20,12,20
"The new law goes into effect on the 1st of December, changing several regulations",2019-12-01,29,51,new law goes into effect,goes,4,28,12,16
"His resignation was officially announced on the 10th of March, shocking many employees",2019-03-10,41,61,resignation was officially announced,was officially announced,4,40,16,40
She went to the doctor on the 10th of June,2019-06-10,23,42,went to the doctor,went,4,22,4,8
"I'll call you back on the 30th of May, once I have more information",2019-05-30,19,37,call you back,call,5,18,5,9
I'll go buy groceries on the 1st of February,2019-02-01,22,44,buy groceries,go,8,21,5,7
The product launched on the 1st of July and was a great success,2019-07-01,21,39,product launched,launched,4,20,12,20
"Their anniversary celebration took place on the 10th of October, and it was beautiful",2019-10-10,41,63,anniversary celebration took place,took place,6,40,30,40
He had to wait until on the 30th of November to get a table,2019-11-30,21,44,wait until on the 30th of November to get a table,had to wait,10,59,3,14
"We’re planning to visit them on the 1st of July, if everything goes as expected",2019-07-01,29,47,visit them,planning,18,28,6,14
He had to wait until on the 20th of October to get a table,2019-10-20,21,43,wait until on the 20th of October to get a table,had to wait,10,58,3,14
That matter was concluded on the 30th of December,2019-12-30,26,49,matter was concluded,was concluded,5,25,12,25
"I'll call you back on the 30th of July, once I have more information",2019-07-30,19,38,call you back,call,5,18,5,9
He had to wait until on the 20th of November to get a table,2019-11-20,21,44,wait until on the 20th of November to get a table,had to wait,10,59,3,14
